rough_geodist,Atlanta,Austin,Baltimore,Boston,Bronx,Brooklyn,Charlotte,Chicago,Cincinnati,Cleveland,Columbus,Dallas,Denver,Detroit,Houston,Indianapolis,Jacksonville,Kansas City,Las Vegas,Los Angeles,Louisville,Memphis,Miami,Milwaukee,Minneapolis,Nashville,New Orleans,New York,Oklahoma City,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Providence,Queens,Raleigh,Richmond,Riverside,Sacramento,Salt Lake City,San Antonio,San Diego,San Francisco,San Jose,Seattle,St. Louis,Tampa,Virginia Beach,Washington
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-11.7902777777778,-9.47,-9.31666666666667,-7.27272727272727,-7.975,-7.0375,-9.075,-7.63472222222222,-9.525,-6.85,-7.335,-9.48671096345515,-7.7375,-8.6421568627451,-8.89583333333333,-8.52857142857143,-8.34375,-10.4392857142857,-5.775,-7.25,-9.53928571428571,-8.16785714285714,-6.13076923076923,-8.61785714285714,-8.26071428571429,-10.8142857142857,-7.25714285714286,-8.39754098360656,-8.14,-10.04375,-6.60507246376812,-6.2,-6.63924050632911,-7.625,-8.05,-8.675,-7.69166666666667,-8.15833333333333,-5.25,-7.5,-5.85,-10.33125,-7.725,-6.85,-7.725,-5.375,-7.76071428571429,-11.215,-6.725,-7.60747663551402
2,-12.9288888888889,-9.71538461538461,-10.28125,-8.13,-10.9416666666667,-10.4208333333333,-9.84166666666667,-8.25888888888889,-8.79090909090909,-7.26204819277108,-7.29318181818182,-11.7931769722815,-10.621875,-8.02325581395349,-10.3844444444444,-8.19833333333333,-8.99821428571429,-9.38461538461539,-7.44,-8.7755905511811,-9.33,-8.03166666666667,-9.42765957446809,-8.41166666666667,-8.16702380952381,-10.53,-7.12166666666667,-10.9801829268293,-8.58653846153846,-10.7535714285714,-7.69198895027624,-6.775,-6.81366459627329,-9.725,-9.395,-12.2625,-9.09772727272727,-8.89375,-6.1,-7.6625,-7.21,-11.5892857142857,-8.395,-7.38125,-7.86875,-5.925,-7.6,-12.36,-7.634375,-8.11797752808989
3,-10.0733333333333,-13.9125,-13.5363636363636,-8.59090909090909,-13.2175,-13.525,-13.4583333333333,-6.75666666666667,-11.575,-9.61340206185567,-11.1833333333333,-11.4736842105263,-15.395,-11.6536144578313,-7.35666666666667,-8.24916666666667,-10.66875,-12.7875,-10.1737288135593,-10.9480337078652,-9.4925,-8.155,-8.29565217391304,-8.51666666666667,-8.07333333333333,-10.5675,-7.1725,-12.5666666666667,-12.34375,-13.14375,-9.37437185929648,-11.303125,-8.3925,-9.03333333333333,-11.4925,-15.5925,-11.534375,-10.9568181818182,-8.42,-9.24583333333333,-10.196875,-14.2875,-11.17,-9.405,-9.135,-6.07083333333333,-7.82833333333333,-15.7875,-9.74159663865546,-9.20215633423181
4,-13.1322222222222,-10.4933333333333,-10.4611111111111,-8.69268292682927,-11.9636363636364,-11.7727272727273,-10.5933333333333,-8.17666666666667,-9.66833333333333,-7.87610619469027,-8.285,-12.2488888888889,-12.0681818181818,-9.40748031496063,-10.9133333333333,-8.3,-9.19166666666667,-9.83666666666667,-10.5433884297521,-11.5011848341232,-9.655,-8.27833333333333,-9.26018518518518,-8.62166666666667,-8.16666666666667,-10.605,-7.22333333333333,-12.0294871794872,-9.09,-10.9816666666667,-9.01822916666667,-11.2557692307692,-7.11818181818182,-14.275,-10.865,-13.8295454545455,-9.65192307692308,-9.39090909090909,-9.50192307692308,-9.471875,-10.0931818181818,-11.8716666666667,-11.9826923076923,-9.72777777777778,-9.17222222222222,-10.7041666666667,-8.05666666666667,-12.87,-8.38288288288288,-8.56153846153846
5,-9.73666666666667,-7.10357142857143,-14.0208333333333,-8.78636363636364,-14.9,-15.096875,-10.5625,-6.71,-9.61166666666667,-9.89189189189189,-8.215,-9.84666666666667,-15.6625,-12.9347826086957,-9.74820143884892,-8.24333333333333,-7.92753623188406,-9.8225,-13.5194444444444,-13.094674556213,-9.68166666666667,-8.30916666666667,-9.11489361702128,-8.61083333333333,-8.26,-10.3975,-7.11333333333333,-13.5712121212121,-8.94,-9.92045454545454,-9.84892086330935,-14.634375,-9.10625,-11.4125,-12.31,-17.271875,-11.9875,-11.2125,-12.7472222222222,-10.8722222222222,-11.7125,-10.3416666666667,-15.1638888888889,-11.5305555555556,-10.2722222222222,-8.775,-8.23583333333333,-12.3192307692308,-10.14375,-8.22712418300654
6,-12.8022222222222,-12.91875,-11.875,-8.25571428571429,-11.8022727272727,-11.7431818181818,-10.5316666666667,-8.09111111111111,-9.555,-8.315,-8.145,-11.3716666666667,-12.2730769230769,-10.1366666666667,-9.38659793814433,-8.18666666666667,-10.0740740740741,-9.80833333333333,-11.0923076923077,-12.73,-9.70833333333333,-8.34,-6.57631578947368,-8.6,-8.39166666666667,-10.19,-7.29833333333333,-11.8378378378378,-8.79,-12.55625,-9.23383084577114,-11.1865384615385,-7.63666666666667,-15.1,-9.16785714285714,-14.0272727272727,-9.74833333333333,-9.78166666666667,-10.1423076923077,-10.1892857142857,-8.71666666666667,-13.7083333333333,-11.9038461538462,-10.4214285714286,-9.45892857142857,-12.6166666666667,-8.415,-16.525,-9.08,-9.66836734693878
7,-13.2677777777778,-10.8716666666667,-17.25,-9.09393939393939,-15.29375,-15.21875,-9.70212765957447,-7.20333333333333,-9.94333333333333,-8.965,-8.51583333333333,-14.45,-15.575,-10.5016666666667,-13.9216666666667,-8.43,-9.385,-9.87333333333333,-13.5583333333333,-12.9560810810811,-10.3433333333333,-8.96833333333333,-13.695,-9.045,-8.52333333333333,-10.6033333333333,-7.48333333333333,-14.1652173913043,-8.36111111111111,-10.975,-9.3459595959596,-13.1638888888889,-7.98583333333333,-11.95,-12.36875,-17.45625,-10.235,-10.1891666666667,-12.2952127659574,-11.2916666666667,-11.640625,-12.2716666666667,-13.2340909090909,-11.6583333333333,-10.2958333333333,-9.99545454545455,-9.06166666666667,-13.9233333333333,-9.48416666666667,-7.89525691699605
8,-14.3063888888889,-11.2583333333333,-12.805,-9.08888888888889,-13.7865384615385,-13.9076923076923,-11.9150485436893,-9.34166666666667,-10.3316666666667,-9.615,-8.88666666666667,-14.7725,-13.9366666666667,-10.8666666666667,-14.42,-8.67333333333333,-9.54833333333333,-9.93833333333333,-12.225,-15.8065217391304,-10.9783333333333,-9.12583333333333,-13.9694444444444,-9.49,-9.22083333333333,-11.0166666666667,-7.565,-14.5572519083969,-9.29787234042553,-11.1383333333333,-11.9516666666667,-14.2625,-8.335,-14.675,-11.3600917431193,-16.4384615384615,-10.7216666666667,-10.5966666666667,-12.0572916666667,-11.1269230769231,-9.78636363636364,-12.5,-13.296875,-11.4480769230769,-10.0634615384615,-11.3458333333333,-9.70833333333333,-14.4741666666667,-9.88833333333333,-10.8344827586207
9,-15.345,-11.645,-13.05,-9.875,-15.4625,-15.2,-11.7683333333333,-9.56666666666667,-10.52,-9.92416666666667,-9.13583333333333,-15.095,-14.2183333333333,-11.1691666666667,-14.9183333333333,-8.83166666666667,-9.71166666666667,-10.2016666666667,-13.0821428571429,-15.9347826086957,-11.3241666666667,-9.28333333333333,-14.8416666666667,-9.69,-9.91833333333333,-11.1766666666667,-7.64666666666667,-16.5394736842105,-9.48833333333333,-11.3016666666667,-12.2425,-14.1522727272727,-8.44416666666667,-12.4977678571429,-12.6341463414634,-17.25,-11.1076923076923,-12.1451612903226,-12.5802752293578,-11.6541666666667,-11.69375,-12.7283333333333,-13.0477272727273,-11.8,-10.7037037037037,-10.2285714285714,-10.27,-15.025,-10.5464285714286,-7.26262626262626
