City,Sample,rank,geodist,Latitude,Longitude
Atlanta,1,21,9.7,33.7744655640328,-84.4431198372258
Atlanta,1,20,9.7,33.7847919548852,-84.4431198372258
Atlanta,1,7,9.7,33.7951183457377,-84.4431198372258
Atlanta,1,7,9.7,33.8054447365901,-84.4431198372258
Atlanta,1,7,9.7,33.8157711274426,-84.4431198372258
Atlanta,1,7,9.7,33.8260975182951,-84.4431198372258
Atlanta,1,7,9.7,33.8364239091475,-84.4431198372258
Atlanta,1,7,9.7,33.8467503,-84.4431198372258
Atlanta,1,6,9.7,33.8570766908525,-84.4431198372258
Atlanta,1,5,9.7,33.8674030817049,-84.4431198372258
Atlanta,1,4,9.7,33.8777294725574,-84.4431198372258
Atlanta,1,5,9.7,33.8880558634099,-84.4431198372258
Atlanta,1,4,9.7,33.8983822542623,-84.4431198372258
Atlanta,1,13,9.7,33.9087086451148,-84.4431198372258
Atlanta,1,17,9.7,33.9190350359672,-84.4431198372258
Atlanta,1,21,8.3,33.7744655640328,-84.4306863461936
Atlanta,1,21,8.3,33.7847919548852,-84.4306863461936
Atlanta,1,7,8.3,33.7951183457377,-84.4306863461936
Atlanta,1,7,8.3,33.8054447365901,-84.4306863461936
Atlanta,1,7,8.3,33.8157711274426,-84.4306863461936
Atlanta,1,7,8.3,33.8260975182951,-84.4306863461936
Atlanta,1,7,8.3,33.8364239091475,-84.4306863461936
Atlanta,1,6,8.3,33.8467503,-84.4306863461936
Atlanta,1,6,8.3,33.8570766908525,-84.4306863461936
Atlanta,1,5,8.3,33.8674030817049,-84.4306863461936
Atlanta,1,4,8.3,33.8777294725574,-84.4306863461936
Atlanta,1,4,8.3,33.8880558634099,-84.4306863461936
Atlanta,1,4,8.3,33.8983822542623,-84.4306863461936
Atlanta,1,13,8.3,33.9087086451148,-84.4306863461936
Atlanta,1,16,8.3,33.9190350359672,-84.4306863461936
Atlanta,1,21,7,33.7744655640328,-84.4182528551613
Atlanta,1,21,6.9,33.7847919548852,-84.4182528551613
Atlanta,1,7,6.9,33.7951183457377,-84.4182528551613
Atlanta,1,7,6.9,33.8054447365901,-84.4182528551613
Atlanta,1,7,6.9,33.8157711274426,-84.4182528551613
Atlanta,1,21,6.9,33.8260975182951,-84.4182528551613
Atlanta,1,7,6.9,33.8364239091475,-84.4182528551613
Atlanta,1,6,6.9,33.8467503,-84.4182528551613
Atlanta,1,6,6.9,33.8570766908525,-84.4182528551613
Atlanta,1,5,6.9,33.8674030817049,-84.4182528551613
Atlanta,1,4,6.9,33.8777294725574,-84.4182528551613
Atlanta,1,4,6.9,33.8880558634099,-84.4182528551613
Atlanta,1,4,6.9,33.8983822542623,-84.4182528551613
Atlanta,1,11,6.9,33.9087086451148,-84.4182528551613
Atlanta,1,14,7,33.9190350359672,-84.4182528551613
Atlanta,1,21,5.6,33.7744655640328,-84.405819364129
Atlanta,1,21,5.6,33.7847919548852,-84.405819364129
Atlanta,1,9,5.6,33.7951183457377,-84.405819364129
Atlanta,1,7,5.5,33.8054447365901,-84.405819364129
Atlanta,1,7,5.5,33.8157711274426,-84.405819364129
Atlanta,1,7,5.5,33.8260975182951,-84.405819364129
Atlanta,1,21,5.5,33.8364239091475,-84.405819364129
Atlanta,1,6,5.5,33.8467503,-84.405819364129
Atlanta,1,6,5.5,33.8570766908525,-84.405819364129
