City,Sample,drop,geodist,rank,Latitude,Longitude
Atlanta,01,20,9.705,21,33.7744655640328,-84.4431198372258
Atlanta,01,19,9.696,20,33.7847919548852,-84.4431198372258
Atlanta,01,6,9.689,7,33.7951183457377,-84.4431198372258
Atlanta,01,6,9.683,7,33.8054447365901,-84.4431198372258
Atlanta,01,6,9.678,7,33.8157711274426,-84.4431198372258
Atlanta,01,6,9.675,7,33.8260975182951,-84.4431198372258
Atlanta,01,6,9.673,7,33.8364239091475,-84.4431198372258
Atlanta,01,6,9.672,7,33.8467503,-84.4431198372258
Atlanta,01,5,9.673,6,33.8570766908525,-84.4431198372258
Atlanta,01,4,9.675,5,33.8674030817049,-84.4431198372258
Atlanta,01,3,9.678,4,33.8777294725574,-84.4431198372258
Atlanta,01,4,9.683,5,33.8880558634099,-84.4431198372258
Atlanta,01,3,9.689,4,33.8983822542623,-84.4431198372258
Atlanta,01,12,9.696,13,33.9087086451148,-84.4431198372258
Atlanta,01,16,9.705,17,33.9190350359672,-84.4431198372258
Atlanta,01,20,8.328,21,33.7744655640328,-84.4306863461936
Atlanta,01,20,8.318,21,33.7847919548852,-84.4306863461936
Atlanta,01,6,8.31,7,33.7951183457377,-84.4306863461936
Atlanta,01,6,8.303,7,33.8054447365901,-84.4306863461936
Atlanta,01,6,8.298,7,33.8157711274426,-84.4306863461936
Atlanta,01,6,8.294,7,33.8260975182951,-84.4306863461936
Atlanta,01,6,8.291,7,33.8364239091475,-84.4306863461936
Atlanta,01,5,8.291,6,33.8467503,-84.4306863461936
Atlanta,01,5,8.291,6,33.8570766908525,-84.4306863461936
Atlanta,01,4,8.294,5,33.8674030817049,-84.4306863461936
Atlanta,01,3,8.298,4,33.8777294725574,-84.4306863461936
Atlanta,01,3,8.303,4,33.8880558634099,-84.4306863461936
Atlanta,01,3,8.31,4,33.8983822542623,-84.4306863461936
Atlanta,01,12,8.318,13,33.9087086451148,-84.4306863461936
Atlanta,01,15,8.328,16,33.9190350359672,-84.4306863461936
Atlanta,01,20,6.954,21,33.7744655640328,-84.4182528551613
Atlanta,01,20,6.942,21,33.7847919548852,-84.4182528551613
Atlanta,01,6,6.932,7,33.7951183457377,-84.4182528551613
Atlanta,01,6,6.924,7,33.8054447365901,-84.4182528551613
Atlanta,01,6,6.917,7,33.8157711274426,-84.4182528551613
Atlanta,01,20,6.913,21,33.8260975182951,-84.4182528551613
Atlanta,01,6,6.91,7,33.8364239091475,-84.4182528551613
Atlanta,01,5,6.909,6,33.8467503,-84.4182528551613
Atlanta,01,5,6.91,6,33.8570766908525,-84.4182528551613
Atlanta,01,4,6.913,5,33.8674030817049,-84.4182528551613
Atlanta,01,3,6.917,4,33.8777294725574,-84.4182528551613
Atlanta,01,3,6.924,4,33.8880558634099,-84.4182528551613
Atlanta,01,3,6.932,4,33.8983822542623,-84.4182528551613
Atlanta,01,10,6.942,11,33.9087086451148,-84.4182528551613
Atlanta,01,13,6.954,14,33.9190350359672,-84.4182528551613
Atlanta,01,20,5.583,21,33.7744655640328,-84.405819364129
Atlanta,01,20,5.568,21,33.7847919548852,-84.405819364129
Atlanta,01,8,5.556,9,33.7951183457377,-84.405819364129
Atlanta,01,6,5.545,7,33.8054447365901,-84.405819364129
Atlanta,01,6,5.537,7,33.8157711274426,-84.405819364129
Atlanta,01,6,5.532,7,33.8260975182951,-84.405819364129
Atlanta,01,20,5.528,21,33.8364239091475,-84.405819364129
Atlanta,01,5,5.527,6,33.8467503,-84.405819364129
Atlanta,01,5,5.528,6,33.8570766908525,-84.405819364129
Atlanta,01,4,5.532,5,33.8674030817049,-84.405819364129
Atlanta,01,4,5.537,5,33.8777294725574,-84.405819364129
Atlanta,01,5,5.545,6,33.8880558634099,-84.405819364129
Atlanta,01,4,5.556,5,33.8983822542623,-84.405819364129
Atlanta,01,10,5.568,11,33.9087086451148,-84.405819364129
Atlanta,01,13,5.583,14,33.9190350359672,-84.405819364129
Atlanta,01,20,4.22,21,33.7744655640328,-84.3933858730968
Atlanta,01,20,4.2,21,33.7847919548852,-84.3933858730968
Atlanta,01,11,4.184,12,33.7951183457377,-84.3933858730968
Atlanta,01,6,4.17,7,33.8054447365901,-84.3933858730968
Atlanta,01,7,4.159,8,33.8157711274426,-84.3933858730968
Atlanta,01,7,4.151,8,33.8260975182951,-84.3933858730968
Atlanta,01,6,4.147,7,33.8364239091475,-84.3933858730968
Atlanta,01,5,4.145,6,33.8467503,-84.3933858730968
Atlanta,01,5,4.147,6,33.8570766908525,-84.3933858730968
Atlanta,01,5,4.151,6,33.8674030817049,-84.3933858730968
Atlanta,01,4,4.159,5,33.8777294725574,-84.3933858730968
Atlanta,01,5,4.17,6,33.8880558634099,-84.3933858730968
Atlanta,01,5,4.184,6,33.8983822542623,-84.3933858730968
Atlanta,01,10,4.2,11,33.9087086451148,-84.3933858730968
Atlanta,01,16,4.22,17,33.9190350359672,-84.3933858730968
Atlanta,01,20,2.874,21,33.7744655640328,-84.3809523820645
Atlanta,01,20,2.845,21,33.7847919548852,-84.3809523820645
Atlanta,01,9,2.821,10,33.7951183457377,-84.3809523820645
Atlanta,01,6,2.8,7,33.8054447365901,-84.3809523820645
Atlanta,01,7,2.784,8,33.8157711274426,-84.3809523820645
Atlanta,01,6,2.773,7,33.8260975182951,-84.3809523820645
Atlanta,01,5,2.766,6,33.8364239091475,-84.3809523820645
Atlanta,01,4,2.764,5,33.8467503,-84.3809523820645
Atlanta,01,4,2.766,5,33.8570766908525,-84.3809523820645
Atlanta,01,4,2.773,5,33.8674030817049,-84.3809523820645
Atlanta,01,4,2.784,5,33.8777294725574,-84.3809523820645
Atlanta,01,5,2.8,6,33.8880558634099,-84.3809523820645
Atlanta,01,5,2.821,6,33.8983822542623,-84.3809523820645
Atlanta,01,9,2.845,10,33.9087086451148,-84.3809523820645
Atlanta,01,15,2.874,16,33.9190350359672,-84.3809523820645
Atlanta,01,20,1.592,21,33.7744655640328,-84.3685188910323
Atlanta,01,20,1.539,21,33.7847919548852,-84.3685188910323
Atlanta,01,7,1.493,8,33.7951183457377,-84.3685188910323
Atlanta,01,8,1.454,9,33.8054447365901,-84.3685188910323
Atlanta,01,9,1.423,10,33.8157711274426,-84.3685188910323
Atlanta,01,6,1.4,7,33.8260975182951,-84.3685188910323
Atlanta,01,20,1.386,21,33.8364239091475,-84.3685188910323
Atlanta,01,4,1.382,5,33.8467503,-84.3685188910323
Atlanta,01,4,1.386,5,33.8570766908525,-84.3685188910323
Atlanta,01,2,1.4,3,33.8674030817049,-84.3685188910323
Atlanta,01,4,1.423,5,33.8777294725574,-84.3685188910323
Atlanta,01,5,1.454,6,33.8880558634099,-84.3685188910323
Atlanta,01,5,1.493,6,33.8983822542623,-84.3685188910323
Atlanta,01,9,1.539,10,33.9087086451148,-84.3685188910323
Atlanta,01,16,1.592,17,33.9190350359672,-84.3685188910323
Atlanta,01,20,0.79,21,33.7744655640328,-84.3560854
Atlanta,01,20,0.677,21,33.7847919548852,-84.3560854
Atlanta,01,7,0.564,8,33.7951183457377,-84.3560854
Atlanta,01,8,0.451,9,33.8054447365901,-84.3560854
Atlanta,01,9,0.339,10,33.8157711274426,-84.3560854
Atlanta,01,7,0.226,8,33.8260975182951,-84.3560854
Atlanta,01,4,0.113,5,33.8364239091475,-84.3560854
Atlanta,01,0,0,1,33.8467503,-84.3560854
Atlanta,01,2,0.113,3,33.8570766908525,-84.3560854
Atlanta,01,2,0.226,3,33.8674030817049,-84.3560854
Atlanta,01,3,0.339,4,33.8777294725574,-84.3560854
Atlanta,01,5,0.451,6,33.8880558634099,-84.3560854
Atlanta,01,20,0.564,21,33.8983822542623,-84.3560854
Atlanta,01,11,0.677,12,33.9087086451148,-84.3560854
Atlanta,01,16,0.79,17,33.9190350359672,-84.3560854
Atlanta,01,20,1.592,21,33.7744655640328,-84.3436519089678
Atlanta,01,19,1.539,20,33.7847919548852,-84.3436519089678
Atlanta,01,7,1.493,8,33.7951183457377,-84.3436519089678
Atlanta,01,8,1.454,9,33.8054447365901,-84.3436519089678
Atlanta,01,8,1.423,9,33.8157711274426,-84.3436519089678
Atlanta,01,7,1.4,8,33.8260975182951,-84.3436519089678
Atlanta,01,4,1.386,5,33.8364239091475,-84.3436519089678
Atlanta,01,2,1.382,3,33.8467503,-84.3436519089678
Atlanta,01,3,1.386,4,33.8570766908525,-84.3436519089678
Atlanta,01,2,1.4,3,33.8674030817049,-84.3436519089678
Atlanta,01,3,1.423,4,33.8777294725574,-84.3436519089678
Atlanta,01,3,1.454,4,33.8880558634099,-84.3436519089678
Atlanta,01,3,1.493,4,33.8983822542623,-84.3436519089678
