"Business:","John Foy & Associates,3343 Peachtree Rd NE #350, Atlanta, GA 30326"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 07:56:03
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","5.42"
"ATRP:","6.32"
"SoLV:","33.33"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"16","33.77434866403276","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.77434866403276,33.77434866403276","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","T. Madden & Associates, P.C. | Injury & Accident Attorneys","The Kalka Law Group","Atlanta Car Accident Lawyer","Spaulding Injury Law","Christopher Simon Attorney at Law","Law Offices of Gary Martin Hays & Associates, P.C.","Morgan & Morgan","Greathouse Trial Law, LLC","The Millar Law Firm","McCalep Injury Attorneys, LLC","Kenneth S. Nugent, P.C.","The Mabra Law Firm","Van Sant Law, LLC","John Foy & Associates","Council & Associates, LLC","Bethune Law Firm, LLC","The Weinstein Firm","Ted A Greve & Associates PA",
"8","33.78467505488522","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.78467505488522,33.78467505488522","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","The Kalka Law Group","Bethune Law Firm, LLC","Law Offices of Gary Martin Hays & Associates, P.C.","Morgan & Morgan","John Foy & Associates","Greathouse Trial Law, LLC","McCalep Injury Attorneys, LLC","Kenneth S. Nugent, P.C.","The Millar Law Firm","The Mabra Law Firm","Van Sant Law, LLC","Council & Associates, LLC","Butler Law Firm","Spaulding Injury Law","Atlanta Car Accident Lawyer","Hornsby Law Group","Murphy Law Firm, LLC",
"6","33.79500144573768","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.79500144573768,33.79500144573768","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","The Kalka Law Group","John Foy & Associates","Bethune Law Firm, LLC","Law Offices of Gary Martin Hays & Associates, P.C.","Spaulding Injury Law","The Millar Law Firm","Morgan & Morgan","Greathouse Trial Law, LLC","Kenneth S. Nugent, P.C.","McCalep Injury Attorneys, LLC","The Mabra Law Firm","Van Sant Law, LLC","Katz Personal Injury Lawyers","T. Madden & Associates, P.C. | Injury & Accident Attorneys","The Brown Firm","Council & Associates, LLC",
"5","33.805327836590145","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.805327836590145,33.805327836590145","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","The Kalka Law Group","John Foy & Associates","Bethune Law Firm, LLC","Atlanta Car Accident Lawyer","Law Offices of Gary Martin Hays & Associates, P.C.","Morgan & Morgan","Greathouse Trial Law, LLC","Van Sant Law, LLC","The Millar Law Firm","The Mabra Law Firm","Kenneth S. Nugent, P.C.","McCalep Injury Attorneys, LLC","The Angell Law Firm, LLC","Council & Associates, LLC","Butler Law Firm","The Brown Firm","Spaulding Injury Law",
"5","33.81565422744261","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.81565422744261,33.81565422744261","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","The Kalka Law Group","Bethune Law Firm, LLC","Hasner Law, P.C.","Law Offices of Gary Martin Hays & Associates, P.C.","The Millar Law Firm","Greathouse Trial Law, LLC","Kenneth S. Nugent, P.C.","Katz Personal Injury Lawyers","McCalep Injury Attorneys, LLC","The Brown Firm","The Mabra Law Firm","Van Sant Law, LLC","Murphy Law Firm, LLC","Allen & Scofield Injury Lawyers, LLC","Tobin Injury Law",
"5","33.82598061829508","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.82598061829508,33.82598061829508","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","The Kalka Law Group","Bethune Law Firm, LLC","Tobin Injury Law","Hasner Law, P.C.","Tobin Injury Law","Law Offices of Gary Martin Hays & Associates, P.C.","Katz Personal Injury Lawyers","The Millar Law Firm","Kenneth S. Nugent, P.C.","McCalep Injury Attorneys, LLC","Allen & Scofield Injury Lawyers, LLC","The Mabra Law Firm","Murphy Law Firm, LLC","Van Sant Law, LLC","The Brown Firm",
"5","33.83630700914754","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.83630700914754,33.83630700914754","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","The Kalka Law Group","Bethune Law Firm, LLC","Tobin Injury Law","Hasner Law, P.C.","Tobin Injury Law","Katz Personal Injury Lawyers","Allen & Scofield Injury Lawyers, LLC","Kenneth S. Nugent, P.C.","The Millar Law Firm","The Mabra Law Firm","The Angell Law Firm, LLC","Van Sant Law, LLC","Butler Law Firm","The Brown Firm","The Weinstein Firm",
"5","33.8466334","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.8466334,33.8466334","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","The Kalka Law Group","Hasner Law, P.C.","Tobin Injury Law","Bethune Law Firm, LLC","Tobin Injury Law","The Weinstein Firm","Katz Personal Injury Lawyers","Allen & Scofield Injury Lawyers, LLC","Kenneth S. Nugent, P.C.","The Brown Firm","The Angell Law Firm, LLC","Butler Law Firm","Kaufman Law, P.C.","The Auto Accident Attorneys Group","Henningsen Injury Attorneys, P.C.",
"5","33.856959790852464","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.856959790852464,33.856959790852464","Atlanta Car Accident Lawyer","Georgia Auto Law: Auto Accident Attorneys","Rafi Law Firm – Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","Hasner Law, P.C.","Tobin Injury Law","Bethune Law Firm, LLC","Tobin Injury Law","The Weinstein Firm","The Kalka Law Group","Henningsen Injury Attorneys, P.C.","Katz Personal Injury Lawyers","Kaufman Law, P.C.","Allen & Scofield Injury Lawyers, LLC","The Angell Law Firm, LLC","The Auto Accident Attorneys Group","The Brown Firm","Butler Law Firm","Murphy Law Firm, LLC",
"5","33.86728618170493","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.86728618170493,33.86728618170493","Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","Georgia Auto Law: Auto Accident Attorneys","Hasner Law, P.C.","John Foy & Associates","Henningsen Injury Attorneys, P.C.","Tobin Injury Law","Rafi Law Firm – Atlanta Car Accident Lawyer","Tobin Injury Law","Bethune Law Firm, LLC","The Weinstein Firm","Kaufman Law, P.C.","Katz Personal Injury Lawyers","Allen & Scofield Injury Lawyers, LLC","The Auto Accident Attorneys Group","The Brown Firm","The Angell Law Firm, LLC","The Kalka Law Group","The Kalka Law Group","Butler Law Firm",
"3","33.877612572557396","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.877612572557396,33.877612572557396","Atlanta Car Accident Lawyer","Christopher Simon Attorney at Law","John Foy & Associates","Hasner Law, P.C.","Georgia Auto Law: Auto Accident Attorneys","Henningsen Injury Attorneys, P.C.","Tobin Injury Law","Kaufman Law, P.C.","Tobin Injury Law","Bethune Law Firm, LLC","The Weinstein Firm","Rafi Law Firm – Atlanta Car Accident Lawyer","The Auto Accident Attorneys Group","Katz Personal Injury Lawyers","The Kalka Law Group","Allen & Scofield Injury Lawyers, LLC","The Brown Firm","The Angell Law Firm, LLC","The Goldman Firm","Butler Law Firm",
"2","33.88793896340986","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.88793896340986,33.88793896340986","Atlanta Car Accident Lawyer","John Foy & Associates","Christopher Simon Attorney at Law","Kaufman Law, P.C.","Henningsen Injury Attorneys, P.C.","Hasner Law, P.C.","Tobin Injury Law","Tobin Injury Law","The Kalka Law Group","Georgia Auto Law: Auto Accident Attorneys","The Auto Accident Attorneys Group","The Weinstein Firm","Bethune Law Firm, LLC","Katz Personal Injury Lawyers","The Champion Firm, P.C.","Rafi Law Firm – Atlanta Car Accident Lawyer","The Poe Law Firm","Allen & Scofield Injury Lawyers, LLC","The Angell Law Firm, LLC","The Brown Firm",
"2","33.89826535426232","-84.45409521813977","https://www.google.com/maps/search/?api=1&query=33.89826535426232,33.89826535426232","Atlanta Car Accident Lawyer","John Foy & Associates","Henningsen Injury Attorneys, P.C.","The Auto Accident Attorneys Group","Tobin Injury Law","The Kalka Law Group","Tobin Injury Law","The Weinstein Firm","Kaufman Law, P.C.","Hasner Law, P.C.","Georgia Auto Law: Auto Accident Attorneys","The Poe Law Firm","Christopher Simon Attorney at Law","The Champion Firm, P.C.","Katz Personal Injury Lawyers","Allen & Scofield Injury Lawyers, LLC","Rafi Law Firm – Atlanta Car Accident Lawyer","The Goldman Firm","The Brown Firm","The Angell Law Firm, LLC",
