"Business:","McMinn Law Firm,502 W 14th St, Austin, TX 78701"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:39:53
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","4.84"
"ATRP:","4.84"
"SoLV:","43.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"4","30.133015128065505","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.133015128065505,30.133015128065505","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","Wayne Wright, LLP Austin","Funk & Associates","Colley Firm, P.C.","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Ramos James Law, PLLC","David Komie Law","Reyna Law Firm","Gibson Hill, P.C., Austin Accident Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers",
"4","30.153667909770434","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.153667909770434,30.153667909770434","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Wayne Wright, LLP Austin","Colley Firm, P.C.","Funk & Associates","Leonard B. Gabbay, P.C.","David Komie Law","Carabin & Shaw P.C., Attorneys At Law","Reyna Law Firm","Ramos James Law, PLLC","Gibson Hill, P.C., Austin Accident Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers",
"5","30.174320691475362","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.174320691475362,30.174320691475362","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Colley Firm, P.C.","The Stewart Law Firm, PLLC","David Komie Law","Wayne Wright, LLP Austin","Funk & Associates","Zinda Law Group","Leonard B. Gabbay, P.C.","Reyna Law Firm","Gibson Hill, P.C., Austin Accident Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Carabin & Shaw P.C., Attorneys At Law",
"8","30.194973473180287","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.194973473180287,30.194973473180287","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","David Komie Law","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","McMinn Law Firm","Terry & Kelly, PLLC","Joe Lopez Law","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Zinda Law Group","Funk & Associates","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Gibson Hill, P.C., Austin Accident Injury Lawyers","Carabin & Shaw P.C., Attorneys At Law",
"8","30.215626254885215","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.215626254885215,30.215626254885215","Lorenz & Lorenz, L.L.P.","FVF Law","Carabin & Shaw P.C., Attorneys At Law","Robson Law Firm Injury Lawyer","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","David Komie Law","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Reyna Law Firm","Wayne Wright, LLP Austin","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Lovins Trosclair, PLLC","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"8","30.236279036590144","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.236279036590144,30.236279036590144","Robson Law Firm Injury Lawyer","Lorenz & Lorenz, L.L.P.","David Komie Law","FVF Law","Carabin & Shaw P.C., Attorneys At Law","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Wayne Wright, LLP Austin","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","The Cagle Law Firm, P.C.","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.","Lovins Trosclair, PLLC","Carabin & Shaw P.C., Attorneys At Law",
"8","30.25693181829507","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.25693181829507,30.25693181829507","Robson Law Firm Injury Lawyer","Lorenz & Lorenz, L.L.P.","FVF Law","David Komie Law","Carabin & Shaw P.C., Attorneys At Law","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Reyna Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Amaro Law Firm Injury & Accident Lawyers","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Zinda Law Group","The Cagle Law Firm, P.C.","Leonard B. Gabbay, P.C.","Wayne Wright, LLP Austin","Lovins Trosclair, PLLC",
"8","30.277584599999997","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.277584599999997,30.277584599999997","Robson Law Firm Injury Lawyer","Lorenz & Lorenz, L.L.P.","FVF Law","David Komie Law","Colley Firm, P.C.","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","Carabin & Shaw P.C., Attorneys At Law","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Funk & Associates","The Stewart Law Firm, PLLC","The Cagle Law Firm, P.C.","Zinda Law Group","Zinda Law Group","Leonard B. Gabbay, P.C.","Lee, Gober & Reyna, PLLC",
"9","30.298237381704926","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.298237381704926,30.298237381704926","Robson Law Firm Injury Lawyer","Lorenz & Lorenz, L.L.P.","FVF Law","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","David Komie Law","Amaro Law Firm Injury & Accident Lawyers","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Carabin & Shaw P.C., Attorneys At Law","Funk & Associates","Zinda Law Group","The Zimmerman Law Firm, P.C.","Lee, Gober & Reyna, PLLC","The Cagle Law Firm, P.C.","Zinda Law Group","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.",
"7","30.31889016340985","-97.91206686189747","https://www.google.com/maps/search/?api=1&query=30.31889016340985,30.31889016340985","Robson Law Firm Injury Lawyer","Lorenz & Lorenz, L.L.P.","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","FVF Law","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Terry & Kelly, PLLC","David Komie Law","Funk & Associates","Colley Firm, P.C.","Lee, Gober & Reyna, PLLC","Zinda Law Group","Wayne Wright, LLP Austin","The Cagle Law Firm, P.C.","Carabin & Shaw P.C., Attorneys At Law","The Law Office of Carl Knickerbocker, P.C.","The Stewart Law Firm, PLLC",
