"Business:","Lee, Gober & Reyna, PLLC,11940 Jollyville Rd suite 220-s, Austin, TX 78759"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:42:49
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","5.41"
"ATRP:","7.63"
"SoLV:","36.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"16","30.280448928065507","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.280448928065507,30.280448928065507","Lorenz & Lorenz, L.L.P.","Reyna Law Firm","FVF Law","Robson Law Firm Injury Lawyer","David Komie Law","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Carabin & Shaw P.C., Attorneys At Law","Terry & Kelly, PLLC","Funk & Associates","Wayne Wright, LLP Austin","Lee, Gober & Reyna, PLLC","The Stewart Law Firm, PLLC","Zinda Law Group","Leonard B. Gabbay, P.C.","The Law Office of Carl Knickerbocker, P.C.",
"15","30.301101709770435","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.301101709770435,30.301101709770435","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","David Komie Law","Colley Firm, P.C.","Amaro Law Firm Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Terry & Kelly, PLLC","Funk & Associates","Carabin & Shaw P.C., Attorneys At Law","Lee, Gober & Reyna, PLLC","Wayne Wright, LLP Austin","The Stewart Law Firm, PLLC","Zinda Law Group","Leonard B. Gabbay, P.C.","The Law Office of Carl Knickerbocker, P.C.",
"13","30.321754491475364","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.321754491475364,30.321754491475364","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","David Komie Law","Funk & Associates","Lee, Gober & Reyna, PLLC","Colley Firm, P.C.","Wayne Wright, LLP Austin","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law","The Law Office of Carl Knickerbocker, P.C.","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.",
"10","30.34240727318029","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.34240727318029,30.34240727318029","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Lee, Gober & Reyna, PLLC","Zinda Law Group","Funk & Associates","Daspit Law Firm","Zinda Law Group","Law Offices Of Vic Feazell, P.C.","Colley Firm, P.C.","The Law Office of Carl Knickerbocker, P.C.","The Stewart Law Firm, PLLC","Carabin & Shaw P.C., Attorneys At Law","The Zimmerman Law Firm, P.C.",
"8","30.363060054885217","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.363060054885217,30.363060054885217","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Lee, Gober & Reyna, PLLC","Joe Lopez Law","Terry & Kelly, PLLC","Zinda Law Group","Daspit Law Firm","Funk & Associates","Law Offices Of Vic Feazell, P.C.","The Law Office of Carl Knickerbocker, P.C.","Zinda Law Group","The Stewart Law Firm, PLLC","Colley Firm, P.C.","Carabin & Shaw P.C., Attorneys At Law","DC Law",
"8","30.383712836590146","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.383712836590146,30.383712836590146","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Lee, Gober & Reyna, PLLC","Joe Lopez Law","Zinda Law Group","Daspit Law Firm","Terry & Kelly, PLLC","Funk & Associates","Law Offices Of Vic Feazell, P.C.","The Law Office of Carl Knickerbocker, P.C.","The Valentine Law Firm","Zinda Law Group","The Traub Law Office P.C.","Zinda Law Group","The Stewart Law Firm, PLLC",
"5","30.40436561829507","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.40436561829507,30.40436561829507","Amaro Law Firm Injury & Accident Lawyers","FVF Law","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","Lee, Gober & Reyna, PLLC","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Zinda Law Group","Daspit Law Firm","Joe Lopez Law","Law Offices Of Vic Feazell, P.C.","Funk & Associates","Terry & Kelly, PLLC","The Valentine Law Firm","The Law Office of Carl Knickerbocker, P.C.","Zinda Law Group","Zinda Law Group","DC Law","The Traub Law Office P.C.",
"4","30.4250184","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.4250184,30.4250184","Amaro Law Firm Injury & Accident Lawyers","FVF Law","Lorenz & Lorenz, L.L.P.","Lee, Gober & Reyna, PLLC","Reyna Law Firm","The Valentine Law Firm","Robson Law Firm Injury Lawyer","McMinn Law Firm","Daspit Law Firm","Zinda Law Group","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Law Offices Of Vic Feazell, P.C.","Terry & Kelly, PLLC","Funk & Associates","Zinda Law Group","The Law Office of Carl Knickerbocker, P.C.","Zinda Law Group","The Traub Law Office P.C.","DC Law",
"5","30.445671181704927","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.445671181704927,30.445671181704927","Amaro Law Firm Injury & Accident Lawyers","The Valentine Law Firm","FVF Law","Lorenz & Lorenz, L.L.P.","Lee, Gober & Reyna, PLLC","Reyna Law Firm","Zinda Law Group","Daspit Law Firm","McMinn Law Firm","Robson Law Firm Injury Lawyer","Law Offices Of Vic Feazell, P.C.","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Funk & Associates","Terry & Kelly, PLLC","Zinda Law Group","The Law Office of Carl Knickerbocker, P.C.","The Traub Law Office P.C.","Zinda Law Group","DC Law",
"4","30.466323963409852","-97.92603448953423","https://www.google.com/maps/search/?api=1&query=30.466323963409852,30.466323963409852","The Valentine Law Firm","Amaro Law Firm Injury & Accident Lawyers","FVF Law","Lee, Gober & Reyna, PLLC","Lorenz & Lorenz, L.L.P.","Zinda Law Group","McMinn Law Firm","Funk & Associates","Joe Lopez Law","Robson Law Firm Injury Lawyer","The Carlson Law Firm","Terry & Kelly, PLLC","Zinda Law Group","DC Law","The Law Office of Carl Knickerbocker, P.C.","Daniel Stark Law P.C.","Reyna Law Firm","The Carlson Law Firm","The Law Office of Carl Knickerbocker, P.C.","The Traub Law Office P.C.",
