"Business:","Terry & Kelly, PLLC,1002 Rio Grande St, Austin, TX 78701"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:43:33
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","8.78"
"ATRP:","9.22"
"SoLV:","7.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"7","30.129550528065508","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.129550528065508,30.129550528065508","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Joe Lopez Law","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Wayne Wright, LLP Austin","Zinda Law Group","Funk & Associates","Colley Firm, P.C.","Leonard B. Gabbay, P.C.","Ramos James Law, PLLC","Gibson Hill, P.C., Austin Accident Injury Lawyers","David Komie Law","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers",
"8","30.150203309770436","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.150203309770436,30.150203309770436","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Zinda Law Group","Colley Firm, P.C.","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","David Komie Law","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Ramos James Law, PLLC","Carabin & Shaw P.C., Attorneys At Law",
"9","30.170856091475365","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.170856091475365,30.170856091475365","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Wayne Wright, LLP Austin","David Komie Law","Colley Firm, P.C.","Funk & Associates","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Ramos James Law, PLLC",
"10","30.19150887318029","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.19150887318029,30.19150887318029","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Colley Firm, P.C.","David Komie Law","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers","Ramos James Law, PLLC",
"11","30.212161654885218","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.212161654885218,30.212161654885218","Lorenz & Lorenz, L.L.P.","FVF Law","Carabin & Shaw P.C., Attorneys At Law","David Komie Law","Robson Law Firm Injury Lawyer","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Terry & Kelly, PLLC","Wayne Wright, LLP Austin","Funk & Associates","The Stewart Law Firm, PLLC","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers","Lee, Gober & Reyna, PLLC",
"11","30.232814436590147","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.232814436590147,30.232814436590147","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","David Komie Law","Carabin & Shaw P.C., Attorneys At Law","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Wayne Wright, LLP Austin","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","The Stewart Law Firm, PLLC","The Cagle Law Firm, P.C.","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Lovins Trosclair, PLLC",
"11","30.25346721829507","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.25346721829507,30.25346721829507","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","David Komie Law","Carabin & Shaw P.C., Attorneys At Law","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Terry & Kelly, PLLC","Reyna Law Firm","Funk & Associates","Wayne Wright, LLP Austin","Amaro Law Firm Injury & Accident Lawyers","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.","The Cagle Law Firm, P.C.","Lee, Gober & Reyna, PLLC","Carabin & Shaw P.C., Attorneys At Law",
"12","30.27412","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.27412,30.27412","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","Colley Firm, P.C.","David Komie Law","Sutliff & Stout Injury & Accident Law Firm","Reyna Law Firm","McMinn Law Firm","Carabin & Shaw P.C., Attorneys At Law","Amaro Law Firm Injury & Accident Lawyers","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Funk & Associates","The Stewart Law Firm, PLLC","Leonard B. Gabbay, P.C.","The Cagle Law Firm, P.C.","Lee, Gober & Reyna, PLLC","Zinda Law Group","Wayne Wright, LLP Austin",
"11","30.29477278170493","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.29477278170493,30.29477278170493","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","FVF Law","Reyna Law Firm","Colley Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","David Komie Law","Amaro Law Firm Injury & Accident Lawyers","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Carabin & Shaw P.C., Attorneys At Law","Funk & Associates","The Zimmerman Law Firm, P.C.","Zinda Law Group","Lee, Gober & Reyna, PLLC","Zinda Law Group","The Stewart Law Firm, PLLC","The Cagle Law Firm, P.C.","Leonard B. Gabbay, P.C.",
"7","30.315425563409853","-97.9156387524727","https://www.google.com/maps/search/?api=1&query=30.315425563409853,30.315425563409853","Lorenz & Lorenz, L.L.P.","FVF Law","Amaro Law Firm Injury & Accident Lawyers","Robson Law Firm Injury Lawyer","McMinn Law Firm","Reyna Law Firm","Terry & Kelly, PLLC","Joe Lopez Law","Zinda Law Group","Funk & Associates","Lee, Gober & Reyna, PLLC","Zinda Law Group","The Cagle Law Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","Wayne Wright, LLP Austin","The Stewart Law Firm, PLLC","DC Law","The Zimmerman Law Firm, P.C.","David Komie Law","The Law Office of Carl Knickerbocker, P.C.",
