"Business:","The Zimmerman Law Firm, P.C.,4009 Banister Ln Ste 420, Austin, TX 78704"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:49:14
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","9.26"
"ATRP:","12.49"
"SoLV:","6.67"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"10","30.084404428065508","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.084404428065508,30.084404428065508","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Carabin & Shaw P.C., Attorneys At Law","Robson Law Firm Injury Lawyer","Joe Lopez Law","Sutliff & Stout Injury & Accident Law Firm","The Stewart Law Firm, PLLC","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Funk & Associates","Wayne Wright, LLP Austin","Zinda Law Group","Leonard B. Gabbay, P.C.","Amaro Law Firm Injury & Accident Lawyers","Colley Firm, P.C.","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","Ramos James Law, PLLC","Zinda Law Group",
"10","30.105057209770436","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.105057209770436,30.105057209770436","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Wayne Wright, LLP Austin","Funk & Associates","Colley Firm, P.C.","Reyna Law Firm","Leonard B. Gabbay, P.C.","Amaro Law Firm Injury & Accident Lawyers","The Carlson Law Firm","Carabin & Shaw P.C., Attorneys At Law","David Komie Law","Ramos James Law, PLLC",
"10","30.125709991475365","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.125709991475365,30.125709991475365","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Wayne Wright, LLP Austin","Funk & Associates","Colley Firm, P.C.","Reyna Law Firm","Leonard B. Gabbay, P.C.","David Komie Law","Amaro Law Firm Injury & Accident Lawyers","Carabin & Shaw P.C., Attorneys At Law","Ramos James Law, PLLC","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"9","30.14636277318029","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.14636277318029,30.14636277318029","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Colley Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Wayne Wright, LLP Austin","David Komie Law","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Ramos James Law, PLLC","Fleming Law, P.C.",
"7","30.167015554885218","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.167015554885218,30.167015554885218","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Terry & Kelly, PLLC","David Komie Law","Wayne Wright, LLP Austin","Colley Firm, P.C.","Funk & Associates","The Stewart Law Firm, PLLC","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers","Lee, Gober & Reyna, PLLC",
"13","30.187668336590146","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.187668336590146,30.187668336590146","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","McMinn Law Firm","David Komie Law","Joe Lopez Law","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","Zinda Law Group","The Zimmerman Law Firm, P.C.","Reyna Law Firm","Funk & Associates","Leonard B. Gabbay, P.C.","Wayne Wright, LLP Austin","Amaro Law Firm Injury & Accident Lawyers","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"13","30.20832111829507","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.20832111829507,30.20832111829507","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Reyna Law Firm","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","Zinda Law Group","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"14","30.2289739","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.2289739,30.2289739","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Zinda Law Group","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Zinda Law Group","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"15","30.249626681704928","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.249626681704928,30.249626681704928","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Reyna Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Zinda Law Group","Wayne Wright, LLP Austin","Zinda Law Group","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law",
"15","30.270279463409853","-97.94408534267089","https://www.google.com/maps/search/?api=1&query=30.270279463409853,30.270279463409853","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","Colley Firm, P.C.","David Komie Law","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Zinda Law Group","Zinda Law Group","Wayne Wright, LLP Austin","Lee, Gober & Reyna, PLLC","Leonard B. Gabbay, P.C.",
