"Business:","Leonard B. Gabbay, P.C.,3001 S Lamar Blvd #220, Austin, TX 78704"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:49:51
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","14.18"
"ATRP:","17.03"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"15","30.097533928065506","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.097533928065506,30.097533928065506","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","The Zimmerman Law Firm, P.C.","Joe Lopez Law","Robson Law Firm Injury Lawyer","Terry & Kelly, PLLC","Sutliff & Stout Injury & Accident Law Firm","Wayne Wright, LLP Austin","Funk & Associates","The Stewart Law Firm, PLLC","Zinda Law Group","David Komie Law","Leonard B. Gabbay, P.C.","Colley Firm, P.C.","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Ramos James Law, PLLC","Carabin & Shaw P.C., Attorneys At Law",
"18","30.118186709770434","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.118186709770434,30.118186709770434","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Joe Lopez Law","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Funk & Associates","Wayne Wright, LLP Austin","Zinda Law Group","Colley Firm, P.C.","David Komie Law","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Gibson Hill, P.C., Austin Accident Injury Lawyers","Ramos James Law, PLLC",
"17","30.138839491475363","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.138839491475363,30.138839491475363","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Colley Firm, P.C.","Funk & Associates","David Komie Law","Wayne Wright, LLP Austin","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Ramos James Law, PLLC","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"17","30.159492273180287","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.159492273180287,30.159492273180287","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","The Zimmerman Law Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Wayne Wright, LLP Austin","David Komie Law","Funk & Associates","Colley Firm, P.C.","The Stewart Law Firm, PLLC","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Gibson Hill, P.C., Austin Accident Injury Lawyers","Lee, Gober & Reyna, PLLC",
"18","30.180145054885216","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.180145054885216,30.180145054885216","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Colley Firm, P.C.","Terry & Kelly, PLLC","Joe Lopez Law","David Komie Law","The Zimmerman Law Firm, P.C.","Funk & Associates","Reyna Law Firm","The Stewart Law Firm, PLLC","Zinda Law Group","Wayne Wright, LLP Austin","Amaro Law Firm Injury & Accident Lawyers","Leonard B. Gabbay, P.C.","Gibson Hill, P.C., Austin Accident Injury Lawyers","Zinda Law Group",
"18","30.200797836590144","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.200797836590144,30.200797836590144","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","The Stewart Law Firm, PLLC","Reyna Law Firm","The Zimmerman Law Firm, P.C.","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","Zinda Law Group","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law","Fleming Law, P.C.",
"18","30.22145061829507","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.22145061829507,30.22145061829507","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Zinda Law Group","Wayne Wright, LLP Austin","Leonard B. Gabbay, P.C.","Zinda Law Group","Gibson Hill, P.C., Austin Accident Injury Lawyers",
"20","30.242103399999998","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.242103399999998,30.242103399999998","Carabin & Shaw P.C., Attorneys At Law","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","David Komie Law","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Reyna Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Zinda Law Group","Zinda Law Group","Wayne Wright, LLP Austin","Lee, Gober & Reyna, PLLC","Leonard B. Gabbay, P.C.",
"19","30.262756181704926","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.262756181704926,30.262756181704926","Lorenz & Lorenz, L.L.P.","FVF Law","David Komie Law","Carabin & Shaw P.C., Attorneys At Law","Colley Firm, P.C.","Robson Law Firm Injury Lawyer","Reyna Law Firm","Sutliff & Stout Injury & Accident Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Terry & Kelly, PLLC","Funk & Associates","Wayne Wright, LLP Austin","The Stewart Law Firm, PLLC","Lee, Gober & Reyna, PLLC","Zinda Law Group","Leonard B. Gabbay, P.C.","Carabin & Shaw P.C., Attorneys At Law",
"20+","30.28340896340985","-97.95004739176667","https://www.google.com/maps/search/?api=1&query=30.28340896340985,30.28340896340985","Reyna Law Firm","Lorenz & Lorenz, L.L.P.","FVF Law","Colley Firm, P.C.","Robson Law Firm Injury Lawyer","David Komie Law","Amaro Law Firm Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Carabin & Shaw P.C., Attorneys At Law","McMinn Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Lee, Gober & Reyna, PLLC","Zinda Law Group","Zinda Law Group","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","The Law Office of Carl Knickerbocker, P.C.","Wayne Wright, LLP Austin",
