"Business:","David Komie Law,7703 N Lamar Blvd #410, Austin, TX 78752"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 03:50:36
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.93"
"ATRP:","16.08"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"16","30.107266528065505","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.107266528065505,30.107266528065505","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Reyna Law Firm","Funk & Associates","Amaro Law Firm Injury & Accident Lawyers","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Colley Firm, P.C.","Wayne Wright, LLP Austin","David Komie Law","Lee, Gober & Reyna, PLLC","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law","The Law Office of Carl Knickerbocker, P.C.",
"14","30.127919309770434","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.127919309770434,30.127919309770434","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","Joe Lopez Law","The Zimmerman Law Firm, P.C.","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Funk & Associates","Reyna Law Firm","Wayne Wright, LLP Austin","Amaro Law Firm Injury & Accident Lawyers","David Komie Law","Colley Firm, P.C.","The Stewart Law Firm, PLLC","Lee, Gober & Reyna, PLLC","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law","The Law Office of Carl Knickerbocker, P.C.",
"16","30.148572091475362","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.148572091475362,30.148572091475362","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Reyna Law Firm","Terry & Kelly, PLLC","Amaro Law Firm Injury & Accident Lawyers","Funk & Associates","Colley Firm, P.C.","Avera Law Firm, P.L.L.C.","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","David Komie Law","Wayne Wright, LLP Austin","Lee, Gober & Reyna, PLLC","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law",
"12","30.169224873180287","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.169224873180287,30.169224873180287","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","Reyna Law Firm","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Amaro Law Firm Injury & Accident Lawyers","Terry & Kelly, PLLC","Colley Firm, P.C.","David Komie Law","Avera Law Firm, P.L.L.C.","Funk & Associates","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Lee, Gober & Reyna, PLLC","Wayne Wright, LLP Austin","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law",
"13","30.189877654885215","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.189877654885215,30.189877654885215","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","McMinn Law Firm","Robson Law Firm Injury Lawyer","Reyna Law Firm","Joe Lopez Law","Sutliff & Stout Injury & Accident Law Firm","Amaro Law Firm Injury & Accident Lawyers","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Funk & Associates","David Komie Law","Avera Law Firm, P.L.L.C.","Wayne Wright, LLP Austin","Colley Firm, P.C.","Lee, Gober & Reyna, PLLC","The Stewart Law Firm, PLLC","Zinda Law Group","Carabin & Shaw P.C., Attorneys At Law",
"14","30.210530436590144","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.210530436590144,30.210530436590144","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Robson Law Firm Injury Lawyer","Reyna Law Firm","McMinn Law Firm","Amaro Law Firm Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Colley Firm, P.C.","Zinda Law Group","David Komie Law","Zinda Law Group","Lee, Gober & Reyna, PLLC","Avera Law Firm, P.L.L.C.","The Stewart Law Firm, PLLC","The Zimmerman Law Firm, P.C.","Wayne Wright, LLP Austin",
"13","30.23118321829507","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.23118321829507,30.23118321829507","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Reyna Law Firm","Robson Law Firm Injury Lawyer","Amaro Law Firm Injury & Accident Lawyers","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Colley Firm, P.C.","Funk & Associates","David Komie Law","Zinda Law Group","Zinda Law Group","Lee, Gober & Reyna, PLLC","Avera Law Firm, P.L.L.C.","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Wayne Wright, LLP Austin",
"13","30.251835999999997","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.251835999999997,30.251835999999997","Carabin & Shaw P.C., Attorneys At Law","Reyna Law Firm","FVF Law","Lorenz & Lorenz, L.L.P.","Amaro Law Firm Injury & Accident Lawyers","Robson Law Firm Injury Lawyer","McMinn Law Firm","Sutliff & Stout Injury & Accident Law Firm","Joe Lopez Law","Terry & Kelly, PLLC","Funk & Associates","Colley Firm, P.C.","David Komie Law","Zinda Law Group","Lee, Gober & Reyna, PLLC","Zinda Law Group","The Zimmerman Law Firm, P.C.","The Stewart Law Firm, PLLC","Sutliff & Stout Injury & Accident Law Firm","The Law Office of Carl Knickerbocker, P.C.",
"13","30.272488781704926","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.272488781704926,30.272488781704926","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","FVF Law","Lorenz & Lorenz, L.L.P.","Amaro Law Firm Injury & Accident Lawyers","Robson Law Firm Injury Lawyer","McMinn Law Firm","Joe Lopez Law","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","The Zimmerman Law Firm, P.C.","Funk & Associates","David Komie Law","Lee, Gober & Reyna, PLLC","Colley Firm, P.C.","Wayne Wright, LLP Austin","Zinda Law Group","Sutliff & Stout Injury & Accident Law Firm","The Stewart Law Firm, PLLC","The Law Office of Carl Knickerbocker, P.C.",
"13","30.29314156340985","-98.0606195681695","https://www.google.com/maps/search/?api=1&query=30.29314156340985,30.29314156340985","Reyna Law Firm","Amaro Law Firm Injury & Accident Lawyers","FVF Law","Lorenz & Lorenz, L.L.P.","Carabin & Shaw P.C., Attorneys At Law","Robson Law Firm Injury Lawyer","McMinn Law Firm","Joe Lopez Law","Sutliff & Stout Injury & Accident Law Firm","Terry & Kelly, PLLC","Funk & Associates","The Zimmerman Law Firm, P.C.","David Komie Law","Lee, Gober & Reyna, PLLC","Colley Firm, P.C.","Wayne Wright, LLP Austin","Zinda Law Group","Sutliff & Stout Injury & Accident Law Firm","The Law Office of Carl Knickerbocker, P.C.","The Stewart Law Firm, PLLC",
