"Business:","Attorney Bob Katz,233 E Redwood St, Baltimore, MD 21202"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-15 01:10:05
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","5.79"
"ATRP:","5.86"
"SoLV:","26.22"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"6","39.13920472806551","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.13920472806551,39.13920472806551","Portner & Shure, P.A.","McGowan & Cecil, LLC","Clark & Steinhorn, LLC","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Lebowitz & Mzhen Personal Injury Lawyers","Attorney Bob Katz","Plaxen Adler Muncy, P.A.","Jonathan Scott Smith","Lebowitz & Mzhen Personal Injury Lawyers","The Law Offices of Robinson & Associates","Eric T. Kirk, Attorney","William G. Kolodner Personal Injury Lawyers","D'Amore Personal Injury Law, LLC","Goldberg Finnegan","Benjamin D. Stirling, Esq","Cohen & Cohen, P.C.","Price Benowitz LLP","Miller & Zois, Attorneys at Law","Price Benowitz LLP","Greenberg & Bederman, LLC",
"11","39.15985750977043","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.15985750977043,39.15985750977043","Portner & Shure, P.A.","McGowan & Cecil, LLC","The Law Offices of Robinson & Associates","The Law Office of Thomas E. Pyles, P.A.","Lebowitz & Mzhen Personal Injury Lawyers","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Jonathan Scott Smith","Plaxen Adler Muncy, P.A.","Jimeno & Gray, P.A.","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Attorney Bob Katz","The Law Office of Jermaine D. Hammonds","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Clark & Steinhorn, LLC","D'Amore Personal Injury Law, LLC","Lebowitz & Mzhen Personal Injury Lawyers","Eric T. Kirk, Attorney","Mike Slocumb Law Firm","Benjamin D. Stirling, Esq",
"12","39.18051029147536","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.18051029147536,39.18051029147536","Portner & Shure, P.A.","The Law Offices of Robinson & Associates","The Law Office of Thomas E. Pyles, P.A.","Lebowitz & Mzhen Personal Injury Lawyers","Plaxen Adler Muncy, P.A.","Jonathan Scott Smith","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Jimeno & Gray, P.A.","McGowan & Cecil, LLC","Killian Law","Maryland Accident Center","Attorney Bob Katz","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Lebowitz & Mzhen Personal Injury Lawyers","D'Amore Personal Injury Law, LLC","Price Benowitz LLP","Lloyd J. Eisenberg & Associates, P.A","Eric T. Kirk, Attorney",
"12","39.20116307318029","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.20116307318029,39.20116307318029","Portner & Shure, P.A.","The Law Offices of Robinson & Associates","The Law Office of Thomas E. Pyles, P.A.","Lebowitz & Mzhen Personal Injury Lawyers","Plaxen Adler Muncy, P.A.","Jonathan Scott Smith","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Jimeno & Gray, P.A.","Price Benowitz LLP","Killian Law","Maryland Accident Center","Attorney Bob Katz","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","McGowan & Cecil, LLC","Lebowitz & Mzhen Personal Injury Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","D'Amore Personal Injury Law, LLC","Lloyd J. Eisenberg & Associates, P.A","Eric T. Kirk, Attorney",
"12","39.221815854885214","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.221815854885214,39.221815854885214","Portner & Shure, P.A.","The Law Offices of Robinson & Associates","Lebowitz & Mzhen Personal Injury Lawyers","Price Benowitz LLP","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Plaxen Adler Muncy, P.A.","Jonathan Scott Smith","Jimeno & Gray, P.A.","The Law Office of Thomas E. Pyles, P.A.","Killian Law","Maryland Accident Center","Attorney Bob Katz","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Lebowitz & Mzhen Personal Injury Lawyers","D'Amore Personal Injury Law, LLC","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Benjamin D. Stirling, Esq","Eric T. Kirk, Attorney","William G. Kolodner Personal Injury Lawyers",
"9","39.24246863659014","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.24246863659014,39.24246863659014","The Law Offices of Robinson & Associates","Lebowitz & Mzhen Personal Injury Lawyers","Portner & Shure, P.A.","Price Benowitz LLP","Plaxen Adler Muncy, P.A.","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Jonathan Scott Smith","Killian Law","Attorney Bob Katz","Lebowitz & Mzhen Personal Injury Lawyers","Law Offices of Raymond Carignan","Jimeno & Gray, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Maryland Injury Guys","Maryland Accident Center","D'Amore Personal Injury Law, LLC","Eric T. Kirk, Attorney","Benjamin D. Stirling, Esq","William G. Kolodner Personal Injury Lawyers",
"16","39.26312141829507","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.26312141829507,39.26312141829507","Maryland Injury Guys","The Law Offices of Robinson & Associates","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Lebowitz & Mzhen Personal Injury Lawyers","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","LeViness, Tolzman & Hamilton, P.A.","Price Benowitz LLP","Plaxen Adler Muncy, P.A.","Portner & Shure, P.A.","Lebowitz & Mzhen Personal Injury Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Jimeno & Gray, P.A.","Jonathan Scott Smith","Maryland Accident Center","Law Offices of Raymond Carignan","Attorney Bob Katz","Killian Law","The Law Office of Thomas E. Pyles, P.A.","Eric T. Kirk, Attorney","Benjamin D. Stirling, Esq",
"9","39.283774199999996","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.283774199999996,39.283774199999996","Maryland Injury Guys","Lebowitz & Mzhen Personal Injury Lawyers","The Law Offices of Robinson & Associates","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Price Benowitz LLP","Lebowitz & Mzhen Personal Injury Lawyers","Maryland Accident Center","Law Offices of Raymond Carignan","Attorney Bob Katz","Portner & Shure, P.A.","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","D'Amore Personal Injury Law, LLC","Benjamin D. Stirling, Esq","Eric T. Kirk, Attorney","William G. Kolodner Personal Injury Lawyers","Plaxen Adler Muncy, P.A.","LeViness, Tolzman & Hamilton, P.A.","Plaxen Adler Muncy, P.A.","Mike Slocumb Law Firm",
"4","39.30442698170492","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.30442698170492,39.30442698170492","Lebowitz & Mzhen Personal Injury Lawyers","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Lebowitz & Mzhen Personal Injury Lawyers","Attorney Bob Katz","Benjamin D. Stirling, Esq","William G. Kolodner Personal Injury Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Eric T. Kirk, Attorney","Portner & Shure, P.A.","Law Offices Of Larry B Litt","D'Amore Personal Injury Law, LLC","Price Benowitz LLP","Miller & Zois, Attorneys at Law","Plaxen Adler Muncy, P.A.","Plaxen Adler Muncy, P.A.","Mike Slocumb Law Firm","The Yost Legal Group","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Law Offices of Raymond Carignan","Jonathan Scott Smith",
"7","39.32507976340985","-76.78623854623224","https://www.google.com/maps/search/?api=1&query=39.32507976340985,39.32507976340985","Lebowitz & Mzhen Personal Injury Lawyers","Maryland Injury Guys","The Law Office Of Marc J. Atas, Injury & Accident Attorneys","Lebowitz & Mzhen Personal Injury Lawyers","Law Offices Of Larry B Litt","Law Offices of Raymond Carignan","Attorney Bob Katz","Attorney Steven H. Heisler: Injury, Accident, and Workers Compensation Lawyers","Maryland Accident Center","Benjamin D. Stirling, Esq","The Law Offices of Robinson & Associates","D'Amore Personal Injury Law, LLC","William G. Kolodner Personal Injury Lawyers","Cohen, Snyder, Eisenberg & Katzenberg, P.A.","Mike Slocumb Law Firm","Vadim A. Mzhen","Portner & Shure, P.A.","Miller & Zois, Attorneys at Law","LeViness, Tolzman & Hamilton, P.A.","Plaxen Adler Muncy, P.A.",
