"Business:","Macaluso & Fafinski, P.C.,1 Fordham Plaza #1002, The Bronx, NY 10458"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 06:49:34
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","6.28"
"ATRP:","10.07"
"SoLV:","24.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.71588072806551","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.71588072806551,40.71588072806551","CourtLaw Injury Lawyers","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Console and Associates P.C.","Krivitzky, Springer & Feldman","Ajlouny Injury Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Schreck Personal Injury Lawyers","The Law Office of Richard M. Kenny","Gersowitz Libo & Korek, P.C.","David Resnick & Associates, P.C.","Mark Chalfin, Attorney At Law","Michael J. Redenburg, Esq. P.C.","Clark Law Firm, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","The Perecman Firm, P.L.L.C.","Team Law","Hill & Moin LLP - Accident Attorneys",
"20+","40.73653350977043","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.73653350977043,40.73653350977043","CourtLaw Injury Lawyers","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Console and Associates P.C.","Krivitzky, Springer & Feldman","Ajlouny Injury Law","The Law Office of Richard M. Kenny","Schreck Personal Injury Lawyers","David Resnick & Associates, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Gersowitz Libo & Korek, P.C.","Clark Law Firm, P.C.","Michael J. Redenburg, Esq. P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","The Law Offices of Michael S. Lamonsoff, PLLC","Team Law","The Perecman Firm, P.L.L.C.","Hill & Moin LLP - Accident Attorneys","Raphaelson & Levine Law Firm, P.C.",
"20+","40.75718629147536","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.75718629147536,40.75718629147536","CourtLaw Injury Lawyers","The Platta Law Firm - Construction and Car Accident Attorneys","Console and Associates P.C.","Mirman, Markovits & Landau, PC","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Krivitzky, Springer & Feldman","Schreck Personal Injury Lawyers","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Gersowitz Libo & Korek, P.C.","Clark Law Firm, P.C.","Ajlouny Injury Law","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Team Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Hill & Moin LLP - Accident Attorneys","Robert A. Solomon, P.C.","Michael J. Redenburg, Esq. P.C.",
"20+","40.77783907318029","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.77783907318029,40.77783907318029","Console and Associates P.C.","CourtLaw Injury Lawyers","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Schreck Personal Injury Lawyers","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","Krivitzky, Springer & Feldman","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","Wingate, Russotti, Shapiro & Halperin, LLP","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Law Offices of Jay S. Knispel Personal Injury Lawyers","Maggiano, DiGirolamo & Lizzi P.C.","Hach & Rose, LLP","Clark Law Firm, P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Team Law",
"20+","40.798491854885214","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.798491854885214,40.798491854885214","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Console and Associates P.C.","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Jay S. Knispel Personal Injury Lawyers","Wingate, Russotti, Shapiro & Halperin, LLP","Ajlouny Injury Law","Greenstein & Milbauer, LLP","Hach & Rose, LLP","Mirman, Markovits & Landau, PC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Yampaglia Law P.C.","The Law Offices of Ivan M. Diamond","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers",
"20+","40.81914463659014","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.81914463659014,40.81914463659014","The Grossman Law Firm, LLC","The Perecman Firm, P.L.L.C.","Schreck Personal Injury Lawyers","Console and Associates P.C.","The Law Office of Richard M. Kenny","CourtLaw Injury Lawyers","Yampaglia Law P.C.","David Resnick & Associates, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Brandon J. Broderick, Personal Injury Attorney at Law","Clark Law Firm, P.C.","Greenstein & Milbauer, LLP","The Law Offices of Ivan M. Diamond","Davis, Saperstein & Salomon, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Corradino and Papa, LLC","Law Office of William L. Teitler",
"20+","40.83979741829507","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.83979741829507,40.83979741829507","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Davis, Saperstein & Salomon, P.C.","The Grossman Law Firm, LLC","Brandon J. Broderick, Personal Injury Attorney at Law","The Reinartz Law Firm, LLC","Maggiano, DiGirolamo & Lizzi P.C.","Bergen Law Personal Injury Lawyers","Yampaglia Law P.C.","Schreck Personal Injury Lawyers","The Perecman Firm, P.L.L.C.","Greenstein & Milbauer, LLP","Clark Law Firm, P.C.","David Resnick & Associates, P.C.","Console and Associates P.C.","Peter N. Davis & Associates, LLC","The Law Office of Richard M. Kenny","The Law Offices of Ivan M. Diamond","CourtLaw Injury Lawyers","The Platta Law Firm - Construction and Car Accident Attorneys","Corradino and Papa, LLC",
"20+","40.860450199999995","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.860450199999995,40.860450199999995","Brandon J. Broderick, Personal Injury Attorney at Law","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Bergen Law Personal Injury Lawyers","Davis, Saperstein & Salomon, P.C.","The Grossman Law Firm, LLC","The Grossman Law Firm, LLC","Peter N. Davis & Associates, LLC","The Reinartz Law Firm, LLC","Maggiano, DiGirolamo & Lizzi P.C.","Di Giovanni & Ephraim","The Rothenberg Law Firm LLP","Greenstein & Milbauer, LLP","The Law Offices of Ivan M. Diamond","Corradino and Papa, LLC","CourtLaw.com","The Law Office of Silverman & Roedel","Keith Zaid Law","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","Clark Law Firm, P.C.",
"20+","40.88110298170492","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.88110298170492,40.88110298170492","Brandon J. Broderick, Personal Injury Attorney at Law","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Bergen Law Personal Injury Lawyers","The Grossman Law Firm, LLC","Peter N. Davis & Associates, LLC","Davis, Saperstein & Salomon, P.C.","The Grossman Law Firm, LLC","The Reinartz Law Firm, LLC","The Rothenberg Law Firm LLP","Di Giovanni & Ephraim","Maggiano, DiGirolamo & Lizzi P.C.","CourtLaw.com","Law Office of Peter Briskin, P.C.","Eisbrouch Marsh, LLC","The Law Office of Silverman & Roedel","The Law Offices of Ivan M. Diamond","Greenstein & Milbauer, LLP","Corradino and Papa, LLC","Keith Zaid Law","The Epstein Law Firm, P.A.",
"19","40.90175576340985","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.90175576340985,40.90175576340985","Bergen Law Personal Injury Lawyers","Brandon J. Broderick, Personal Injury Attorney at Law","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","The Grossman Law Firm, LLC","Davis, Saperstein & Salomon, P.C.","Peter N. Davis & Associates, LLC","The Grossman Law Firm, LLC","The Reinartz Law Firm, LLC","The Rothenberg Law Firm LLP","Di Giovanni & Ephraim","CourtLaw.com","The Epstein Law Firm, P.A.","Law Office of Peter Briskin, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","Keith Zaid Law","The Law Office of Silverman & Roedel","The Law Offices of Ivan M. Diamond","Corradino and Papa, LLC","Macaluso & Fafinski, P.C.","Eisbrouch Marsh, LLC",
