"Business:","Oresky & Associates, pllc,149 E 149th St, The Bronx, NY 10451"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 06:50:26
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.02"
"ATRP:","16.57"
"SoLV:","3.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.67431532806551","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.67431532806551,40.67431532806551","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Clark Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Hughes Mathews Legal Group","Console and Associates P.C.","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Hughes Mathews Legal Group","Ajlouny Injury Law","Mirman, Markovits & Landau, PC","Robert A. Solomon, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Law Offices of Stuart DiMartini","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","The Law Office of Richard M. Kenny","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.",
"20+","40.694968109770436","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.694968109770436,40.694968109770436","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Robert A. Solomon, P.C.","Hughes Mathews Legal Group","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","Beninato & Matrafajlo Law","Ajlouny Injury Law","Law Office of Peter Briskin, P.C.","Mirman, Markovits & Landau, PC","Rinaldo Law Group LLC","Mark Chalfin, Attorney At Law","The Law Office of Richard M. Kenny","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Law Offices of Stuart DiMartini",
"20+","40.71562089147536","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.71562089147536,40.71562089147536","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Robert A. Solomon, P.C.","Krivitzky, Springer & Feldman","Hughes Mathews Legal Group","Law Office of Peter Briskin, P.C.","Ajlouny Injury Law","Goldstein & Goldstein, LLP","Law Office of Peter Briskin, P.C.","Mirman, Markovits & Landau, PC","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Rinaldo Law Group LLC","The Law Office of Richard M. Kenny","Oliveri & Schwartz P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.",
"20+","40.73627367318029","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.73627367318029,40.73627367318029","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","Robert A. Solomon, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","Hughes Mathews Legal Group","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Goldstein & Goldstein, LLP","Ajlouny Injury Law","Mirman, Markovits & Landau, PC","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","The Law Office of Richard M. Kenny","Team Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Law Offices of Stuart DiMartini",
"20+","40.75692645488522","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.75692645488522,40.75692645488522","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","Robert A. Solomon, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","Ajlouny Injury Law","Goldstein & Goldstein, LLP","David Resnick & Associates, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Hughes Mathews Legal Group","Team Law","Law Offices of Stuart DiMartini",
"20+","40.77757923659014","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.77757923659014,40.77757923659014","Schreck Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","The Law Office of Richard M. Kenny","Goldstein & Goldstein, LLP","Clark Law Firm, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Ajlouny Injury Law","Robert A. Solomon, P.C.","CourtLaw Injury Lawyers","Yampaglia Law P.C.",
"20+","40.798232018295074","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.798232018295074,40.798232018295074","Console and Associates P.C.","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Goldstein & Goldstein, LLP","The Law Office of Richard M. Kenny","The Platta Law Firm - Construction and Car Accident Attorneys","Yampaglia Law P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Clark Law Firm, P.C.","David Resnick & Associates, P.C.","The Grossman Law Firm, LLC","CourtLaw Injury Lawyers","Corradino and Papa, LLC","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","Maggiano, DiGirolamo & Lizzi P.C.","Brandon J. Broderick, Personal Injury Attorney at Law","Clark Law Firm, P.C.","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Wingate, Russotti, Shapiro & Halperin, LLP",
"20+","40.8188848","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.8188848,40.8188848","The Grossman Law Firm, LLC","Clark Law Firm, P.C.","Yampaglia Law P.C.","Corradino and Papa, LLC","Schreck Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","Brandon J. Broderick, Personal Injury Attorney at Law","Goldstein & Goldstein, LLP","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Garruto & Calabria, Attorneys at Law","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","David Resnick & Associates, P.C.","Davis, Saperstein & Salomon, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","Bergen Law Personal Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw Injury Lawyers","Maggiano, DiGirolamo & Lizzi P.C.",
"20+","40.839537581704924","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.839537581704924,40.839537581704924","The Grossman Law Firm, LLC","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Corradino and Papa, LLC","Brandon J. Broderick, Personal Injury Attorney at Law","Bergen Law Personal Injury Lawyers","Yampaglia Law P.C.","Clark Law Firm, P.C.","The Reinartz Law Firm, LLC","Schreck Personal Injury Lawyers","Console and Associates P.C.","The Law Office of Silverman & Roedel","Davis, Saperstein & Salomon, P.C.","Peter N. Davis & Associates, LLC","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","Di Giovanni & Ephraim","The Perecman Firm, P.L.L.C.","The Grossman Law Firm, LLC","Garruto & Calabria, Attorneys at Law",
"20+","40.860190363409856","-74.11881685274817","https://www.google.com/maps/search/?api=1&query=40.860190363409856,40.860190363409856","Brandon J. Broderick, Personal Injury Attorney at Law","The Grossman Law Firm, LLC","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Bergen Law Personal Injury Lawyers","The Grossman Law Firm, LLC","Peter N. Davis & Associates, LLC","Di Giovanni & Ephraim","Corradino and Papa, LLC","The Law Office of Silverman & Roedel","The Reinartz Law Firm, LLC","The Rothenberg Law Firm LLP","Davis, Saperstein & Salomon, P.C.","CourtLaw.com","Maggiano, DiGirolamo & Lizzi P.C.","Schreck Personal Injury Lawyers","Clark Law Firm, P.C.","The Perecman Firm, P.L.L.C.","Console and Associates P.C.","CourtLaw Injury Lawyers","Yampaglia Law P.C.",
