"Business:","The Law Offices of Thomas J. Lavin,3559 E Tremont Ave, The Bronx, NY 10465"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 06:53:24
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.17"
"ATRP:","16.00"
"SoLV:","8.89"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.68548322806551","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.68548322806551,40.68548322806551","Ajlouny Injury Law","The Platta Law Firm - Construction and Car Accident Attorneys","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Oliveri & Schwartz P.C., Injury & Accident Attorneys","CourtLaw Injury Lawyers","Anthony A. Ferrante, Attorney at Law","Mirman, Markovits & Landau, PC","Gersowitz Libo & Korek, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Kaplan Lawyers, PC: Injury and Accident Lawyers","Michael J. Redenburg, Esq. P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Frekhtman & Associates Attorneys at Law","Law Offices of David J. Hernandez & Associates","Hill & Moin LLP - Accident Attorneys","Kaplan Lawyers PC: Injury & Accident Lawyers","Weinstein, Chase, Messinger & Peters","John M. DeProspo & Associates","Dansker & Aspromonte Associates",
"20+","40.70613600977043","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.70613600977043,40.70613600977043","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Ajlouny Injury Law","Gersowitz Libo & Korek, P.C.","Michael J. Redenburg, Esq. P.C.","Mirman, Markovits & Landau, PC","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Law Offices of Michael S. Lamonsoff, PLLC","Hill & Moin LLP - Accident Attorneys","CourtLaw Injury Lawyers","Mark Chalfin, Attorney At Law","The Law Office of Richard M. Kenny","Anthony A. Ferrante, Attorney at Law","David Resnick & Associates, P.C.","Kaplan Lawyers PC: Injury & Accident Lawyers","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Dansker & Aspromonte Associates","Kaplan Lawyers, PC: Injury and Accident Lawyers","Wingate, Russotti, Shapiro & Halperin, LLP",
"20+","40.72678879147536","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.72678879147536,40.72678879147536","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","The Law Office of Richard M. Kenny","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Perecman Firm, P.L.L.C.","Gersowitz Libo & Korek, P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Michael J. Redenburg, Esq. P.C.","Raphaelson & Levine Law Firm, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Wingate, Russotti, Shapiro & Halperin, LLP","Hach & Rose, LLP","Hill & Moin LLP - Accident Attorneys","Dansker & Aspromonte Associates","Kaplan Lawyers PC: Injury & Accident Lawyers","Kaplan Lawyers, PC: Injury and Accident Lawyers",
"20+","40.74744157318029","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.74744157318029,40.74744157318029","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw Injury Lawyers","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","Mirman, Markovits & Landau, PC","Hach & Rose, LLP","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Ajlouny Injury Law","Wingate, Russotti, Shapiro & Halperin, LLP","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Oliveri & Schwartz P.C., Injury & Accident Attorneys","F&A Injury Lawyers","The Law Offices of Darren T. Moore PC",
"20+","40.768094354885214","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.768094354885214,40.768094354885214","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","CourtLaw Injury Lawyers","Greenstein & Milbauer, LLP","Law Office of William L. Teitler","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","Hach & Rose, LLP","Law Offices of Jay S. Knispel Personal Injury Lawyers","The Platta Law Firm - Construction and Car Accident Attorneys","Mirman, Markovits & Landau, PC","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Marc S. Albert Injury & Accident Attorney","The Law Offices of Ivan M. Diamond","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","F&A Injury Lawyers","Oresky & Associates, pllc",
"20+","40.78874713659014","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.78874713659014,40.78874713659014","The Perecman Firm, P.L.L.C.","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Greenstein & Milbauer, LLP","Law Office of William L. Teitler","Maggiano, DiGirolamo & Lizzi P.C.","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","The Law Offices of Ivan M. Diamond","Hach & Rose, LLP","Oresky & Associates, pllc","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","F&A Injury Lawyers","Law Offices of Marc S. Albert Injury & Accident Attorney","Law Offices of Jay S. Knispel Personal Injury Lawyers","Law Offices of Michael P. Burakoff, P.A.","CourtLaw Injury Lawyers","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","The Law Offices of Darren T. Moore PC",
"20+","40.80939991829507","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.80939991829507,40.80939991829507","The Perecman Firm, P.L.L.C.","Greenstein & Milbauer, LLP","Maggiano, DiGirolamo & Lizzi P.C.","The Law Offices of Ivan M. Diamond","Oresky & Associates, pllc","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Law Offices of Marc S. Albert Injury & Accident Attorney","Maggiano, DiGirolamo & Lizzi P.C.","Macaluso & Fafinski, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","F&A Injury Lawyers","CourtLaw Injury Lawyers","Law Offices of Michael P. Burakoff, P.A.","Raphaelson & Levine Law Firm, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","Frekhtman & Associates","Khorozian Law Group","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office",
"20+","40.830052699999996","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.830052699999996,40.830052699999996","Maggiano, DiGirolamo & Lizzi P.C.","Greenstein & Milbauer, LLP","The Law Offices of Ivan M. Diamond","Oresky & Associates, pllc","The Perecman Firm, P.L.L.C.","Maggiano, DiGirolamo & Lizzi P.C.","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Macaluso & Fafinski, P.C.","The Reinartz Law Firm, LLC","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Khorozian Law Group","Frekhtman & Associates","Law Offices of Marc S. Albert Injury & Accident Attorney","Brandon J. Broderick, Personal Injury Attorney at Law","Davis, Saperstein & Salomon, P.C.","Law Office Of Evan W. Kohn","Wingate, Russotti, Shapiro & Halperin, LLP","CourtLaw Injury Lawyers","Bergen Law Personal Injury Lawyers",
"20+","40.85070548170492","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.85070548170492,40.85070548170492","Maggiano, DiGirolamo & Lizzi P.C.","Greenstein & Milbauer, LLP","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Davis, Saperstein & Salomon, P.C.","The Law Offices of Ivan M. Diamond","Oresky & Associates, pllc","Brandon J. Broderick, Personal Injury Attorney at Law","The Reinartz Law Firm, LLC","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Maggiano, DiGirolamo & Lizzi P.C.","Bergen Law Personal Injury Lawyers","Khorozian Law Group","The Rothenberg Law Firm LLP","Macaluso & Fafinski, P.C.","Frekhtman & Associates","Keith Zaid Law","The Perecman Firm, P.L.L.C.","Law Offices of Sobo & Sobo L.L.P.","Law Office Of Evan W. Kohn","David Resnick & Associates, P.C.",
"20+","40.87135826340985","-74.01634862395296","https://www.google.com/maps/search/?api=1&query=40.87135826340985,40.87135826340985","Brandon J. Broderick, Personal Injury Attorney at Law","Davis, Saperstein & Salomon, P.C.","Bergen Law Personal Injury Lawyers","Maggiano, DiGirolamo & Lizzi P.C.","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","The Law Offices of Ivan M. Diamond","Keith Zaid Law","The Reinartz Law Firm, LLC","The Rothenberg Law Firm LLP","Oresky & Associates, pllc","Macaluso & Fafinski, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","Greenstein & Milbauer, LLP","Frekhtman & Associates","Khorozian Law Group","Eisbrouch Marsh, LLC","Law Office Of Evan W. Kohn","Law Offices of Jeffrey I. Amtman","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Injury Lawyer News",
