"Business:","Vozza & Huguenot,2435 Eastchester Rd, The Bronx, NY 10469"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 06:58:27
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","14.00"
"ATRP:","20.91"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.71745012806551","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.71745012806551,40.71745012806551","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Stuart DiMartini","CourtLaw Injury Lawyers","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","The Law Office of Richard M. Kenny","Mark Chalfin, Attorney At Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.","Gersowitz Libo & Korek, P.C.","The Perecman Firm, P.L.L.C.","Michael J. Redenburg, Esq. P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","The Law Offices of Michael S. Lamonsoff, PLLC","Wingate, Russotti, Shapiro & Halperin, LLP","Hill & Moin LLP - Accident Attorneys","Krivitzky, Springer & Feldman","Dansker & Aspromonte Associates","Kaplan Lawyers, PC: Injury and Accident Lawyers",
"20+","40.73810290977043","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.73810290977043,40.73810290977043","The Platta Law Firm - Construction and Car Accident Attorneys","CourtLaw Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Law Office of Richard M. Kenny","Ajlouny Injury Law","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","Gersowitz Libo & Korek, P.C.","Raphaelson & Levine Law Firm, P.C.","Krivitzky, Springer & Feldman","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Hach & Rose, LLP","Law Offices of David J. Hernandez & Associates","Kaplan Lawyers, PC: Injury and Accident Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney",
"20+","40.75875569147536","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.75875569147536,40.75875569147536","CourtLaw Injury Lawyers","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction and Car Accident Attorneys","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Gersowitz Libo & Korek, P.C.","Hach & Rose, LLP","Ajlouny Injury Law","Law Offices of Jay S. Knispel Personal Injury Lawyers","F&A Injury Lawyers","Krivitzky, Springer & Feldman","Greenstein & Milbauer, LLP","Law Office of William L. Teitler","The Law Offices of Darren T. Moore PC","Oliveri & Schwartz P.C., Injury & Accident Attorneys",
"20+","40.77940847318029","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.77940847318029,40.77940847318029","The Perecman Firm, P.L.L.C.","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","Raphaelson & Levine Law Firm, P.C.","CourtLaw Injury Lawyers","Hach & Rose, LLP","Maggiano, DiGirolamo & Lizzi P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Greenstein & Milbauer, LLP","F&A Injury Lawyers","Krivitzky, Springer & Feldman","The Platta Law Firm - Construction and Car Accident Attorneys","Law Office of William L. Teitler","Rosen Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Mirman, Markovits & Landau, PC","The Law Offices of Darren T. Moore PC",
"20+","40.800061254885215","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.800061254885215,40.800061254885215","The Perecman Firm, P.L.L.C.","David Resnick & Associates, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","The Law Office of Richard M. Kenny","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Greenstein & Milbauer, LLP","Law Offices of Jay S. Knispel Personal Injury Lawyers","Law Office of William L. Teitler","CourtLaw Injury Lawyers","The Law Offices of Ivan M. Diamond","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Law Offices of Marc S. Albert Injury & Accident Attorney","The Platta Law Firm - Construction and Car Accident Attorneys","Michael Gunzburg, P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Law Offices of Michael P. Burakoff, P.A.","Oresky & Associates, pllc","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Hach & Rose, LLP",
"20+","40.82071403659014","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.82071403659014,40.82071403659014","Maggiano, DiGirolamo & Lizzi P.C.","The Perecman Firm, P.L.L.C.","Greenstein & Milbauer, LLP","The Law Offices of Ivan M. Diamond","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Oresky & Associates, pllc","Law Offices of Marc S. Albert Injury & Accident Attorney","CourtLaw Injury Lawyers","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Brandon J. Broderick, Personal Injury Attorney at Law","Maggiano, DiGirolamo & Lizzi P.C.","Khorozian Law Group","Macaluso & Fafinski, P.C.","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Wingate, Russotti, Shapiro & Halperin, LLP","Schreck Personal Injury Lawyers","Davis, Saperstein & Salomon, P.C.","Bergen Law Personal Injury Lawyers","Frekhtman & Associates",
"20+","40.84136681829507","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.84136681829507,40.84136681829507","Maggiano, DiGirolamo & Lizzi P.C.","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Davis, Saperstein & Salomon, P.C.","Greenstein & Milbauer, LLP","Brandon J. Broderick, Personal Injury Attorney at Law","The Reinartz Law Firm, LLC","Bergen Law Personal Injury Lawyers","The Law Offices of Ivan M. Diamond","The Perecman Firm, P.L.L.C.","Khorozian Law Group","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Macaluso & Fafinski, P.C.","The Law Office of Richard M. Kenny","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.","Frekhtman & Associates","Law Offices of Marc S. Albert Injury & Accident Attorney","The Platta Law Firm - Construction and Car Accident Attorneys","CourtLaw Injury Lawyers",
"20+","40.862019599999996","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.862019599999996,40.862019599999996","Brandon J. Broderick, Personal Injury Attorney at Law","Bergen Law Personal Injury Lawyers","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Maggiano, DiGirolamo & Lizzi P.C.","Davis, Saperstein & Salomon, P.C.","The Reinartz Law Firm, LLC","Keith Zaid Law","Greenstein & Milbauer, LLP","The Rothenberg Law Firm LLP","The Law Offices of Ivan M. Diamond","Khorozian Law Group","Macaluso & Fafinski, P.C.","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Eisbrouch Marsh, LLC","Frekhtman & Associates","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Peter N. Davis & Associates, LLC","Injury Lawyer News","The Perecman Firm, P.L.L.C.",
"20+","40.88267238170492","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.88267238170492,40.88267238170492","Brandon J. Broderick, Personal Injury Attorney at Law","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Bergen Law Personal Injury Lawyers","Davis, Saperstein & Salomon, P.C.","The Reinartz Law Firm, LLC","The Rothenberg Law Firm LLP","Maggiano, DiGirolamo & Lizzi P.C.","Keith Zaid Law","Eisbrouch Marsh, LLC","The Law Offices of Ivan M. Diamond","Khorozian Law Group","Injury Lawyer News","Macaluso & Fafinski, P.C.","Greenstein & Milbauer, LLP","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Parisi & Gerlanc, Attorneys at Law","Peter N. Davis & Associates, LLC","Law Office of Peter Briskin, P.C.","Law Offices of Jeffrey I. Amtman",
"20+","40.90332516340985","-74.03479411061845","https://www.google.com/maps/search/?api=1&query=40.90332516340985,40.90332516340985","Brandon J. Broderick, Personal Injury Attorney at Law","Bergen Law Personal Injury Lawyers","The Rothenberg Law Firm LLP","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Davis, Saperstein & Salomon, P.C.","Keith Zaid Law","The Reinartz Law Firm, LLC","The Grossman Law Firm, LLC","Rogan & Associates LLC","Maggiano, DiGirolamo & Lizzi P.C.","The Law Offices of Ivan M. Diamond","Macaluso & Fafinski, P.C.","Khorozian Law Group","Frekhtman & Associates","Eisbrouch Marsh, LLC","Peter N. Davis & Associates, LLC","Law Office of Peter Briskin, P.C.","Greenstein & Milbauer, LLP","Law Offices of Jeffrey I. Amtman","Oresky & Associates, pllc",
