"Business:","Law Office of Daniel Levy, LLP,3144 E Tremont Ave, The Bronx, NY 10461"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 07:00:36
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","16.80"
"ATRP:","20.91"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.69320252806551","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.69320252806551,40.69320252806551","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","CourtLaw Injury Lawyers","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Mirman, Markovits & Landau, PC","Gersowitz Libo & Korek, P.C.","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Law Offices of David J. Hernandez & Associates","Kaplan Lawyers, PC: Injury and Accident Lawyers","Hill & Moin LLP - Accident Attorneys","Anthony A. Ferrante, Attorney at Law","Law Offices of Gary R. Weinberg, P.C.","The Law Office of Richard M. Kenny","Dansker & Aspromonte Associates","Kaplan Lawyers PC: Injury & Accident Lawyers","Weinstein, Chase, Messinger & Peters",
"20+","40.71385530977044","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.71385530977044,40.71385530977044","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","CourtLaw Injury Lawyers","Gersowitz Libo & Korek, P.C.","Mark Chalfin, Attorney At Law","The Law Office of Richard M. Kenny","Oliveri & Schwartz P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Hill & Moin LLP - Accident Attorneys","Law Offices of Stuart DiMartini","Wingate, Russotti, Shapiro & Halperin, LLP","Dansker & Aspromonte Associates","Kaplan Lawyers PC: Injury & Accident Lawyers","The Perecman Firm, P.L.L.C.","Anthony A. Ferrante, Attorney at Law",
"20+","40.73450809147536","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.73450809147536,40.73450809147536","The Platta Law Firm - Construction and Car Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw Injury Lawyers","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","David Resnick & Associates, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Perecman Firm, P.L.L.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Gersowitz Libo & Korek, P.C.","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Michael J. Redenburg, Esq. P.C.","Hach & Rose, LLP","The Law Offices of Michael S. Lamonsoff, PLLC","Hill & Moin LLP - Accident Attorneys","Law Offices of David J. Hernandez & Associates","Kaplan Lawyers, PC: Injury and Accident Lawyers","Law Offices of Jay S. Knispel Personal Injury Lawyers",
"20+","40.755160873180294","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.755160873180294,40.755160873180294","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","The Platta Law Firm - Construction and Car Accident Attorneys","CourtLaw Injury Lawyers","The Perecman Firm, P.L.L.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Raphaelson & Levine Law Firm, P.C.","Mirman, Markovits & Landau, PC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","Greenstein & Milbauer, LLP","Gersowitz Libo & Korek, P.C.","Hach & Rose, LLP","Law Offices of Jay S. Knispel Personal Injury Lawyers","Michael J. Redenburg, Esq. P.C.","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Ajlouny Injury Law","F&A Injury Lawyers","Law Office of William L. Teitler","The Law Offices of Darren T. Moore PC",
"20+","40.77581365488522","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.77581365488522,40.77581365488522","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","Greenstein & Milbauer, LLP","Team Law","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","Hach & Rose, LLP","CourtLaw Injury Lawyers","F&A Injury Lawyers","Law Offices of Jay S. Knispel Personal Injury Lawyers","Law Office of William L. Teitler","Law Offices of Raffi T. Khorozian, P.C.","The Law Offices of Darren T. Moore PC","Law Offices of Jeffrey S. Hasson, P.C.","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Rosen Injury Lawyers","The Law Offices of Ivan M. Diamond",
"20+","40.796466436590144","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.796466436590144,40.796466436590144","The Perecman Firm, P.L.L.C.","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","Greenstein & Milbauer, LLP","Maggiano, DiGirolamo & Lizzi P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Raphaelson & Levine Law Firm, P.C.","The Law Offices of Ivan M. Diamond","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Law Office of William L. Teitler","Law Offices of Jay S. Knispel Personal Injury Lawyers","F&A Injury Lawyers","CourtLaw Injury Lawyers","Hach & Rose, LLP","Law Offices of Marc S. Albert Injury & Accident Attorney","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers","Oresky & Associates, pllc","Law Offices of Michael P. Burakoff, P.A.","The Law Offices of Darren T. Moore PC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office",
"20+","40.817119218295076","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.817119218295076,40.817119218295076","Maggiano, DiGirolamo & Lizzi P.C.","Greenstein & Milbauer, LLP","The Perecman Firm, P.L.L.C.","The Law Offices of Ivan M. Diamond","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.","Oresky & Associates, pllc","The Law Office of Richard M. Kenny","Law Offices of Marc S. Albert Injury & Accident Attorney","CourtLaw Injury Lawyers","Macaluso & Fafinski, P.C.","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Khorozian Law Group","Frekhtman & Associates","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Brandon J. Broderick, Personal Injury Attorney at Law","Law Offices of Michael P. Burakoff, P.A.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","The Platta Law Firm - Construction and Car Accident Attorneys",
"20+","40.837772","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.837772,40.837772","Maggiano, DiGirolamo & Lizzi P.C.","Greenstein & Milbauer, LLP","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","The Law Offices of Ivan M. Diamond","Davis, Saperstein & Salomon, P.C.","The Reinartz Law Firm, LLC","Brandon J. Broderick, Personal Injury Attorney at Law","Oresky & Associates, pllc","The Perecman Firm, P.L.L.C.","Macaluso & Fafinski, P.C.","Khorozian Law Group","Bergen Law Personal Injury Lawyers","The Law Office of Richard M. Kenny","Frekhtman & Associates","David Resnick & Associates, P.C.","Law Offices of Marc S. Albert Injury & Accident Attorney","Law Office of William L. Teitler","Law Office Of Evan W. Kohn","Wingate, Russotti, Shapiro & Halperin, LLP","The Platta Law Firm - Construction and Car Accident Attorneys",
"20+","40.858424781704926","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.858424781704926,40.858424781704926","Maggiano, DiGirolamo & Lizzi P.C.","Brandon J. Broderick, Personal Injury Attorney at Law","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Davis, Saperstein & Salomon, P.C.","Bergen Law Personal Injury Lawyers","Greenstein & Milbauer, LLP","The Law Offices of Ivan M. Diamond","The Reinartz Law Firm, LLC","Macaluso & Fafinski, P.C.","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","The Rothenberg Law Firm LLP","Keith Zaid Law","Khorozian Law Group","Frekhtman & Associates","Oliveri & Schwartz, P.C., Injury & Accident Attorneys","Law Office Of Evan W. Kohn","David Resnick & Associates, P.C.","The Perecman Firm, P.L.L.C.","Law Offices of Marc S. Albert Injury & Accident Attorney",
"20+","40.87907756340986","-74.02598117140451","https://www.google.com/maps/search/?api=1&query=40.87907756340986,40.87907756340986","Brandon J. Broderick, Personal Injury Attorney at Law","Davis, Saperstein & Salomon, P.C.","Bergen Law Personal Injury Lawyers","Albert F. A. Carilli Esq., LLC | Criminal Lawyer in Hackensack, Workers Compensation Lawyer/ Work Accident Lawyer Hackensack NJ, Car Accident Lawyer in Hackensack NJ | 알버트 커릴리 변호사 | 뉴저지 사고상해 변호사, 뉴저지 교통","Maggiano, DiGirolamo & Lizzi P.C.","The Reinartz Law Firm, LLC","Keith Zaid Law","The Rothenberg Law Firm LLP","The Law Offices of Ivan M. Diamond","Macaluso & Fafinski, P.C.","Maggiano, DiGirolamo & Lizzi P.C.","Khorozian Law Group","Oresky & Associates, pllc","Eisbrouch Marsh, LLC","Greenstein & Milbauer, LLP","Frekhtman & Associates","Injury Lawyer News","Law Office Of Evan W. Kohn","Law Offices of Jeffrey I. Amtman","Law Office of Peter Briskin, P.C.",
