"Business:","Koenigsberg & Associates Law Offices,1213 Avenue U, Brooklyn, NY 11229"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 06:42:05
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","4.53"
"ATRP:","9.88"
"SoLV:","36.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"5","40.45405852806551","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.45405852806551,40.45405852806551","CourtLaw Injury Lawyers","The Barillari Law Firm, P.C.","The Grossman Law Firm, LLC","The O'Connor Law Firm","Koenigsberg & Associates Law Offices","Goldstein and Bashner","The Rybak Firm, PLLC","Frekhtman & Associates","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","The Grossman Law Firm, LLC","Anthony A. Ferrante, Attorney at Law","Schreck Personal Injury Lawyers","Cohen & Cohen Personal Injury Lawyers, P.C.","CourtLaw Injury Lawyers","Macaluso & Fafinski, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Drazin and Warshaw, P.C.",
"4","40.474711309770434","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.474711309770434,40.474711309770434","The Barillari Law Firm, P.C.","CourtLaw Injury Lawyers","The O'Connor Law Firm","Koenigsberg & Associates Law Offices","Frekhtman & Associates","The Rybak Firm, PLLC","Goldstein and Bashner","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","Anthony A. Ferrante, Attorney at Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Schreck Personal Injury Lawyers","Anthony Bisignano, Esq.","CourtLaw Injury Lawyers","Jonathan D'Agostino & Associates","Palmisano & Goodman, P.A.","Macaluso & Fafinski, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"4","40.49536409147536","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.49536409147536,40.49536409147536","The Barillari Law Firm, P.C.","The O'Connor Law Firm","CourtLaw Injury Lawyers","Koenigsberg & Associates Law Offices","Frekhtman & Associates","Anthony Bisignano, Esq.","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","Goldstein and Bashner","Jonathan D'Agostino & Associates","Mark Chalfin, Attorney At Law","Ajlouny Injury Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Anthony A. Ferrante, Attorney at Law","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Michael J. Gaffney, Attorney at Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Beninato & Matrafajlo Law",
"6","40.51601687318029","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.51601687318029,40.51601687318029","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Jonathan D'Agostino & Associates","Frekhtman & Associates","CourtLaw Injury Lawyers","Koenigsberg & Associates Law Offices","Goldstein and Bashner","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Ajlouny Injury Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Macaluso & Fafinski, P.C.","Frekhtman & Associates Attorneys at Law","Chelli & Bush","Frekhtman & Associates","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Palmisano & Goodman, P.A.",
"10","40.536669654885216","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.536669654885216,40.536669654885216","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Anthony Bisignano, Esq.","Jonathan D'Agostino & Associates","Frekhtman & Associates","Cohen & Cohen Personal Injury Lawyers, P.C.","Chelli & Bush","Michael J. Gaffney, Attorney at Law","The Rybak Firm, PLLC","Koenigsberg & Associates Law Offices","Mark Chalfin, Attorney At Law","Personal Injury Lawyer - Tanya Gendelman, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Ajlouny Injury Law","Goldstein and Bashner","CourtLaw Injury Lawyers","Anthony A. Ferrante, Attorney at Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"13","40.55732243659014","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.55732243659014,40.55732243659014","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Anthony Bisignano, Esq.","Jonathan D'Agostino & Associates","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","The Bisignano Law Firm","Frekhtman & Associates","Chelli & Bush","Law Office Of Timothy M. O'Donovan","Mark Chalfin, Attorney At Law","The Rybak Firm, PLLC","Koenigsberg & Associates Law Offices","Ajlouny Injury Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Personal Injury Lawyer - Tanya Gendelman, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Anthony A. Ferrante, Attorney at Law","Goldstein and Bashner",
"20+","40.57797521829507","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.57797521829507,40.57797521829507","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Jonathan D'Agostino & Associates","Anthony Bisignano, Esq.","Law Offices of Louis Grandelli, P.C.","Chelli & Bush","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Ajlouny Injury Law","CourtLaw Injury Lawyers","The Rybak Firm, PLLC","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Schreck Personal Injury Lawyers","Anthony A. Ferrante, Attorney at Law","Jacoby & Meyers, LLP","Personal Injury Lawyer - Tanya Gendelman, P.C.",
"20","40.598628","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.598628,40.598628","Cohen & Cohen Personal Injury Lawyers, P.C.","The Barillari Law Firm, P.C.","Michael J. Gaffney, Attorney at Law","The O'Connor Law Firm","Law Offices of Louis Grandelli, P.C.","Jonathan D'Agostino & Associates","Hughes Mathews Legal Group","Beninato & Matrafajlo Law","Anthony Bisignano, Esq.","Di Giovanni & Ephraim Personal Injury Lawyers","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","CourtLaw Injury Lawyers","Jacoby & Meyers, LLP","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Chelli & Bush","Schreck Personal Injury Lawyers","Koenigsberg & Associates Law Offices",
"20+","40.61928078170492","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.61928078170492,40.61928078170492","Cohen & Cohen Personal Injury Lawyers, P.C.","Beninato & Matrafajlo Law","Michael J. Gaffney, Attorney at Law","Di Giovanni & Ephraim Personal Injury Lawyers","Law Offices of Louis Grandelli, P.C.","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","Ajlouny Injury Law","The Barillari Law Firm, P.C.","Schreck Personal Injury Lawyers","Jacoby & Meyers, LLP","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","The O'Connor Law Firm","The Platta Law Firm - Construction Accident Attorneys","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Mintz & Geftic, LLC","Rispoli & Borneo, P.C.",
"20+","40.639933563409855","-74.1501636436248","https://www.google.com/maps/search/?api=1&query=40.639933563409855,40.639933563409855","Beninato & Matrafajlo Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Mintz & Geftic, LLC","Schreck Personal Injury Lawyers","Law Offices of Louis Grandelli, P.C.","Hughes Mathews Legal Group","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Platta Law Firm - Construction Accident Attorneys","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","Mirman, Markovits & Landau, PC","Console and Associates P.C.","Rispoli & Borneo, P.C.","Hughes Mathews Legal Group","Clark Law Firm, P.C.",
