"Business:","LEVITSKY LAW FIRM,3163 Coney Island Ave 2nd Floor, Brooklyn, NY 11235"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 06:49:44
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","14.71"
"ATRP:","20.80"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.43434212806551","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.43434212806551,40.43434212806551","The Grossman Law Firm, LLC","CourtLaw Injury Lawyers","Koenigsberg & Associates Law Offices","The Rybak Firm, PLLC","The Barillari Law Firm, P.C.","Frekhtman & Associates","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Grossman Law Firm, LLC","The O'Connor Law Firm","Drazin and Warshaw, P.C.","Judd Shaw Injury Law","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","Anthony A. Ferrante, Attorney at Law","Rudnick, Addonizio, Pappa & Casazza PC","Schreck Personal Injury Lawyers","Drazin and Warshaw, P.C.","Macaluso & Fafinski, P.C.","CourtLaw Injury Lawyers",
"20+","40.454994909770434","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.454994909770434,40.454994909770434","CourtLaw Injury Lawyers","The Barillari Law Firm, P.C.","Goldstein and Bashner","Koenigsberg & Associates Law Offices","Frekhtman & Associates","Personal Injury Lawyer - Tanya Gendelman, P.C.","The O'Connor Law Firm","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Ajlouny Injury Law","Macaluso & Fafinski, P.C.","CourtLaw Injury Lawyers","Frekhtman & Associates","The Grossman Law Firm, LLC","Drazin and Warshaw, P.C.","Judd Shaw Injury Law","Mark Chalfin, Attorney At Law","Frekhtman & Associates Attorneys at Law","Jonathan D'Agostino & Associates","The Law Office of Richard M. Kenny",
"20+","40.47564769147536","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.47564769147536,40.47564769147536","The Barillari Law Firm, P.C.","CourtLaw Injury Lawyers","The O'Connor Law Firm","Koenigsberg & Associates Law Offices","Frekhtman & Associates","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Goldstein and Bashner","Personal Injury Lawyer - Tanya Gendelman, P.C.","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","Anthony A. Ferrante, Attorney at Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Anthony Bisignano, Esq.","Jonathan D'Agostino & Associates","Palmisano & Goodman, P.A.","Macaluso & Fafinski, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.49630047318029","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.49630047318029,40.49630047318029","The Barillari Law Firm, P.C.","The O'Connor Law Firm","CourtLaw Injury Lawyers","Frekhtman & Associates","Koenigsberg & Associates Law Offices","Goldstein and Bashner","Jonathan D'Agostino & Associates","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Ajlouny Injury Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Macaluso & Fafinski, P.C.","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Frekhtman & Associates Attorneys at Law","Palmisano & Goodman, P.A.","The Law Office of Richard M. Kenny","Oresky & Associates, pllc",
"20+","40.516953254885216","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.516953254885216,40.516953254885216","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Jonathan D'Agostino & Associates","Frekhtman & Associates","CourtLaw Injury Lawyers","Koenigsberg & Associates Law Offices","Goldstein and Bashner","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Ajlouny Injury Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Macaluso & Fafinski, P.C.","Chelli & Bush","Frekhtman & Associates Attorneys at Law","Frekhtman & Associates","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Oresky & Associates, pllc",
"20+","40.53760603659014","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.53760603659014,40.53760603659014","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Anthony Bisignano, Esq.","Jonathan D'Agostino & Associates","Frekhtman & Associates","Cohen & Cohen Personal Injury Lawyers, P.C.","Chelli & Bush","Michael J. Gaffney, Attorney at Law","The Rybak Firm, PLLC","Koenigsberg & Associates Law Offices","Mark Chalfin, Attorney At Law","Personal Injury Lawyer - Tanya Gendelman, P.C.","Ajlouny Injury Law","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Goldstein and Bashner","CourtLaw Injury Lawyers","Anthony A. Ferrante, Attorney at Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.55825881829507","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.55825881829507,40.55825881829507","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Anthony Bisignano, Esq.","Jonathan D'Agostino & Associates","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","The Bisignano Law Firm","Frekhtman & Associates","Chelli & Bush","Law Office Of Timothy M. O'Donovan","Mark Chalfin, Attorney At Law","The Rybak Firm, PLLC","Ajlouny Injury Law","Koenigsberg & Associates Law Offices","Beninato & Matrafajlo Law","CourtLaw Injury Lawyers","Personal Injury Lawyer - Tanya Gendelman, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Anthony A. Ferrante, Attorney at Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.5789116","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.5789116,40.5789116","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Jonathan D'Agostino & Associates","Anthony Bisignano, Esq.","Law Offices of Louis Grandelli, P.C.","Chelli & Bush","Law Office Of Timothy M. O'Donovan","Frekhtman & Associates","Beninato & Matrafajlo Law","Jacoby & Meyers, LLP","Mark Chalfin, Attorney At Law","Sgarlato & Sgarlato PLLC","Ajlouny Injury Law","The Bisignano Law Firm","CourtLaw Injury Lawyers","The Rybak Firm, PLLC","Hughes Mathews Legal Group","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.59956438170492","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.59956438170492,40.59956438170492","Cohen & Cohen Personal Injury Lawyers, P.C.","The Barillari Law Firm, P.C.","Michael J. Gaffney, Attorney at Law","The O'Connor Law Firm","Law Offices of Louis Grandelli, P.C.","Jonathan D'Agostino & Associates","Hughes Mathews Legal Group","Beninato & Matrafajlo Law","Anthony Bisignano, Esq.","Di Giovanni & Ephraim Personal Injury Lawyers","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","CourtLaw Injury Lawyers","Jacoby & Meyers, LLP","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Chelli & Bush","Schreck Personal Injury Lawyers","Koenigsberg & Associates Law Offices",
"20+","40.620217163409855","-74.14983351650721","https://www.google.com/maps/search/?api=1&query=40.620217163409855,40.620217163409855","Cohen & Cohen Personal Injury Lawyers, P.C.","Beninato & Matrafajlo Law","Michael J. Gaffney, Attorney at Law","Di Giovanni & Ephraim Personal Injury Lawyers","Law Offices of Louis Grandelli, P.C.","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","Ajlouny Injury Law","Schreck Personal Injury Lawyers","The Barillari Law Firm, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Jacoby & Meyers, LLP","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Law Office Of Timothy M. O'Donovan","The Platta Law Firm - Construction Accident Attorneys","The O'Connor Law Firm","Mintz & Geftic, LLC","Rispoli & Borneo, P.C.","Koenigsberg & Associates Law Offices",
