"Business:","Deliso & Associates,505 Court St # 4a, Brooklyn, NY 11231"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 07:12:44
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.40"
"ATRP:","20.88"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.53096262806551","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.53096262806551,40.53096262806551","The Barillari Law Firm, P.C.","The O'Connor Law Firm","CourtLaw Injury Lawyers","Jonathan D'Agostino & Associates","Anthony Bisignano, Esq.","Cohen & Cohen Personal Injury Lawyers, P.C.","Palmisano & Goodman, P.A.","Chelli & Bush","Frekhtman & Associates","Michael J. Gaffney, Attorney at Law","The Rybak Firm, PLLC","Koenigsberg & Associates Law Offices","Goldstein and Bashner","Mark Chalfin, Attorney At Law","Ajlouny Injury Law","Beninato & Matrafajlo Law","CourtLaw Injury Lawyers","The Bisignano Law Firm","Personal Injury Lawyer - Tanya Gendelman, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney",
"20+","40.551615409770434","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.551615409770434,40.551615409770434","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Jonathan D'Agostino & Associates","CourtLaw Injury Lawyers","Anthony Bisignano, Esq.","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Chelli & Bush","Palmisano & Goodman, P.A.","Frekhtman & Associates","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Ajlouny Injury Law","The Rybak Firm, PLLC","Schreck Personal Injury Lawyers","Law Offices of Louis Grandelli, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.",
"20+","40.57226819147536","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.57226819147536,40.57226819147536","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Cohen & Cohen Personal Injury Lawyers, P.C.","Jonathan D'Agostino & Associates","Michael J. Gaffney, Attorney at Law","Anthony Bisignano, Esq.","Law Offices of Louis Grandelli, P.C.","Beninato & Matrafajlo Law","CourtLaw Injury Lawyers","The Bisignano Law Firm","CourtLaw Injury Lawyers","Chelli & Bush","Palmisano & Goodman, P.A.","Frekhtman & Associates","Ajlouny Injury Law","Di Giovanni & Ephraim Personal Injury Lawyers","Mark Chalfin, Attorney At Law","Schreck Personal Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Jacoby & Meyers, LLP",
"20+","40.59292097318029","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.59292097318029,40.59292097318029","The Barillari Law Firm, P.C.","Cohen & Cohen Personal Injury Lawyers, P.C.","The O'Connor Law Firm","Michael J. Gaffney, Attorney at Law","Law Offices of Louis Grandelli, P.C.","Jonathan D'Agostino & Associates","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Anthony Bisignano, Esq.","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","Chelli & Bush","Frekhtman & Associates","Palmisano & Goodman, P.A.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw","Jacoby & Meyers, LLP","The Rybak Firm, PLLC",
"20+","40.613573754885216","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.613573754885216,40.613573754885216","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","The Barillari Law Firm, P.C.","CourtLaw Injury Lawyers","Mintz & Geftic, LLC","Ajlouny Injury Law","Frekhtman & Associates","The O'Connor Law Firm","Jonathan D'Agostino & Associates","Michael J. Gaffney, Attorney at Law","Law Offices of Louis Grandelli, P.C.","My NJ Injury Lawyer Howard P. Lesnik, Esq.","Chelli & Bush","Mark Chalfin, Attorney At Law","Macaluso & Fafinski, P.C.","The Platta Law Firm - Construction Accident Attorneys","Mirman, Markovits & Landau, PC","Goldstein & Goldstein, LLP","Palmisano & Goodman, P.A.","Personal Injury Lawyer - Tanya Gendelman, P.C.",
"20+","40.63422653659014","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.63422653659014,40.63422653659014","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Mintz & Geftic, LLC","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Law Offices of Louis Grandelli, P.C.","CourtLaw","Rispoli & Borneo, P.C.","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mark Chalfin, Attorney At Law","Console and Associates P.C.","The Barillari Law Firm, P.C.","Hughes Mathews Legal Group","Wade Suthard, P.C.","Clark Law Firm, P.C.","Frekhtman & Associates","Law Offices of Jeffrey S. Charney, LLC",
"20+","40.65487931829507","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.65487931829507,40.65487931829507","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Mintz & Geftic, LLC","Cohen & Cohen Personal Injury Lawyers, P.C.","Schreck Personal Injury Lawyers","Michael J. Gaffney, Attorney at Law","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","Rispoli & Borneo, P.C.","Console and Associates P.C.","Wade Suthard, P.C.","CourtLaw","Clark Law Firm, P.C.","Law Offices of Louis Grandelli, P.C.","Ajlouny Injury Law","Druckman & Hernandez","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw.com","Mark Chalfin, Attorney At Law","Robert A. Solomon, P.C.",
"20+","40.6755321","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.6755321,40.6755321","Beninato & Matrafajlo Law","Mintz & Geftic, LLC","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","Clark Law Firm, P.C.","Hughes Mathews Legal Group","Druckman & Hernandez","Ajlouny Injury Law","SELEM ANTONUCCI LAW","Law Office of Peter Briskin, P.C.","Frekhtman & Associates","Macaluso & Fafinski, P.C.","My NJ Injury Lawyer Howard P. Lesnik, Esq.","Goldstein and Bashner","The Law Office of Richard M. Kenny","Rispoli & Borneo, P.C.","Mark Chalfin, Attorney At Law",
"20+","40.69618488170492","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.69618488170492,40.69618488170492","Schreck Personal Injury Lawyers","Console and Associates P.C.","Hughes Mathews Legal Group","Beninato & Matrafajlo Law","Clark Law Firm, P.C.","Di Giovanni & Ephraim Personal Injury Lawyers","Mintz & Geftic, LLC","CourtLaw Injury Lawyers","Robert A. Solomon, P.C.","Law Office of Peter Briskin, P.C.","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Goldstein & Goldstein, LLP","Rispoli & Borneo, P.C.","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","SELEM ANTONUCCI LAW","Mark Chalfin, Attorney At Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Wade Suthard, P.C.",
"20+","40.716837663409855","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.716837663409855,40.716837663409855","Goldstein & Goldstein, LLP","Schreck Personal Injury Lawyers","Console and Associates P.C.","Beninato & Matrafajlo Law","Law Office of Peter Briskin, P.C.","CourtLaw Injury Lawyers","Mintz & Geftic, LLC","Law Office of Peter Briskin, P.C.","Clark Law Firm, P.C.","Hughes Mathews Legal Group","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Robert A. Solomon, P.C.","Ajlouny Injury Law","Macaluso & Fafinski, P.C.","SELEM ANTONUCCI LAW","The Law Office of Richard M. Kenny","Druckman & Hernandez","Goldstein and Bashner","My NJ Injury Lawyer Howard P. Lesnik, Esq.",
"20+","40.73749044511478","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.73749044511478,40.73749044511478","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","Robert A. Solomon, P.C.","Law Office of Peter Briskin, P.C.","Clark Law Firm, P.C.","CourtLaw Injury Lawyers","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","CourtLaw.com","Beninato & Matrafajlo Law","Jacoby & Meyers, LLP","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Di Giovanni & Ephraim Personal Injury Lawyers","Macaluso & Fafinski, P.C.","Mintz & Geftic, LLC","Mark Chalfin, Attorney At Law",
"20+","40.758143226819705","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.758143226819705,40.758143226819705","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","Clark Law Firm, P.C.","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Robert A. Solomon, P.C.","CourtLaw Injury Lawyers","Law Office of Peter Briskin, P.C.","CourtLaw Injury Lawyers","Hughes Mathews Legal Group","CourtLaw.com","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Ajlouny Injury Law","Macaluso & Fafinski, P.C.","Jacoby & Meyers, LLP","Beninato & Matrafajlo Law","Brach Eichler Injury Lawyers","Mark Chalfin, Attorney At Law","Team Law",
"20+","40.77879600852464","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.77879600852464,40.77879600852464","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","CourtLaw Injury Lawyers","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","CourtLaw Injury Lawyers","Clark Law Firm, P.C.","Robert A. Solomon, P.C.","Macaluso & Fafinski, P.C.","Birkhold & Maider, LLC","Brach Eichler Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Raffi T. Khorozian, P.C.","Ajlouny Injury Law","The Grossman Law Firm, LLC","Hughes Mathews Legal Group","Garruto & Calabria, Attorneys at Law","Clark Law Firm, P.C.",
"20+","40.79944879022956","-74.18909610088105","https://www.google.com/maps/search/?api=1&query=40.79944879022956,40.79944879022956","Goldstein & Goldstein, LLP","Console and Associates P.C.","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","CourtLaw Injury Lawyers","Birkhold & Maider, LLC","The Grossman Law Firm, LLC","Corradino and Papa, LLC","Law Offices of Raffi T. Khorozian, P.C.","Macaluso & Fafinski, P.C.","Brach Eichler Injury Lawyers","Clark Law Firm, P.C.","Law Office of Peter Briskin, P.C.","Garruto & Calabria, Attorneys at Law","Rinaldo Law Group LLC","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Clark Law Firm, P.C.","Yampaglia Law P.C.","Ajlouny Injury Law","Brandon J. Broderick, Personal Injury Attorney at Law",
