"Business:","Law Offices of Marc S. Albert Injury & Accident Attorney,32-72 Steinway St, Astoria, NY 11103"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 07:11:22
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.96"
"ATRP:","17.50"
"SoLV:","5.33"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.61273682806551","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.61273682806551,40.61273682806551","Michael J. Gaffney, Attorney at Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Mark Chalfin, Attorney At Law","Law Office Of Timothy M. O'Donovan","Hughes Mathews Legal Group","Frekhtman & Associates","Sgarlato & Sgarlato PLLC","Ajlouny Injury Law","Jacoby & Meyers, LLP","CourtLaw Injury Lawyers","Koenigsberg & Associates Law Offices","The Barillari Law Firm, P.C.","Beninato & Matrafajlo Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Louis Grandelli, P.C.","Sullivan & Galleshaw, LLP","The Rybak Firm, PLLC","Jacoby & Meyers, LLP","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Schreck Personal Injury Lawyers",
"20+","40.63338960977043","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.63338960977043,40.63338960977043","Frekhtman & Associates","CourtLaw Injury Lawyers","Ajlouny Injury Law","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Michael J. Gaffney, Attorney at Law","Koenigsberg & Associates Law Offices","The Platta Law Firm - Construction Accident Attorneys","Mirman, Markovits & Landau, PC","The Barillari Law Firm, P.C.","Gersowitz Libo & Korek, P.C.","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Rybak Firm, PLLC","Frekhtman & Associates Attorneys at Law","Mintz & Geftic, LLC","The Law Office of Richard M. Kenny","Michael J. Redenburg, Esq. P.C.","Macaluso & Fafinski, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC",
"20+","40.65404239147536","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.65404239147536,40.65404239147536","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","CourtLaw Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Ajlouny Injury Law","The Platta Law Firm - Construction Accident Attorneys","Hughes Mathews Legal Group","Schreck Personal Injury Lawyers","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Mirman, Markovits & Landau, PC","Beninato & Matrafajlo Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Kaplan Lawyers PC: Injury & Accident Lawyers","Hughes Mathews Legal Group","Jacoby & Meyers, LLP","Gersowitz Libo & Korek, P.C.","Michael J. Redenburg, Esq. P.C.","Koenigsberg & Associates Law Offices","Sullivan & Galleshaw, LLP",
"20+","40.67469517318029","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.67469517318029,40.67469517318029","CourtLaw Injury Lawyers","Ajlouny Injury Law","The Platta Law Firm - Construction Accident Attorneys","Mirman, Markovits & Landau, PC","Beninato & Matrafajlo Law","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","The Law Office of Richard M. Kenny","Michael J. Redenburg, Esq. P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Clark Law Firm, P.C.","Schreck Personal Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Console and Associates P.C.","Koenigsberg & Associates Law Offices","Macaluso & Fafinski, P.C.","The Perecman Firm, P.L.L.C.","Hill & Moin LLP - Accident Attorneys",
"20+","40.695347954885214","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.695347954885214,40.695347954885214","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Platta Law Firm - Construction Accident Attorneys","Ajlouny Injury Law","Joseph M. Ghabour & Associates, LLC","Hughes Mathews Legal Group","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","Mirman, Markovits & Landau, PC","Mark Chalfin, Attorney At Law","Rinaldo Law Group LLC","Law Offices of Stuart DiMartini","Kaplan Lawyers PC: Injury & Accident Lawyers","Bhatt Law Group","Team Law","Beninato & Matrafajlo Law","The Law Office of Richard M. Kenny",
"20+","40.71600073659014","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.71600073659014,40.71600073659014","CourtLaw Injury Lawyers","Console and Associates P.C.","Schreck Personal Injury Lawyers","Ajlouny Injury Law","The Platta Law Firm - Construction Accident Attorneys","The Law Office of Richard M. Kenny","Goldstein & Goldstein, LLP","Mirman, Markovits & Landau, PC","Law Office of Peter Briskin, P.C.","Clark Law Firm, P.C.","Beninato & Matrafajlo Law","Gersowitz Libo & Korek, P.C.","The Perecman Firm, P.L.L.C.","Law Office of Peter Briskin, P.C.","Michael J. Redenburg, Esq. P.C.","Mark Chalfin, Attorney At Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Macaluso & Fafinski, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","David Resnick & Associates, P.C.",
"20+","40.73665351829507","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.73665351829507,40.73665351829507","CourtLaw Injury Lawyers","Console and Associates P.C.","Schreck Personal Injury Lawyers","Ajlouny Injury Law","The Platta Law Firm - Construction Accident Attorneys","The Law Office of Richard M. Kenny","Bhatt Law Group","Mirman, Markovits & Landau, PC","Law Office of Peter Briskin, P.C.","Clark Law Firm, P.C.","Law Office of Peter Briskin, P.C.","Gersowitz Libo & Korek, P.C.","Goldstein & Goldstein, LLP","Macaluso & Fafinski, P.C.","The Perecman Firm, P.L.L.C.","Michael J. Redenburg, Esq. P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Law Offices of Michael S. Lamonsoff, PLLC","Oresky & Associates, pllc","Mark Chalfin, Attorney At Law",
"20+","40.757306299999996","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.757306299999996,40.757306299999996","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","Console and Associates P.C.","Clark Law Firm, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Platta Law Firm - Construction Accident Attorneys","Robert A. Solomon, P.C.","Ajlouny Injury Law","Krivitzky, Springer & Feldman","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","Law Office of Peter Briskin, P.C.","David Resnick & Associates, P.C.","Kaplan Lawyers PC: Injury & Accident Lawyers","Team Law","Macaluso & Fafinski, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Law Offices of Stuart DiMartini",
"20+","40.77795908170492","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.77795908170492,40.77795908170492","Schreck Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Krivitzky, Springer & Feldman","The Law Office of Richard M. Kenny","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Ajlouny Injury Law","Law Office of Peter Briskin, P.C.","David Resnick & Associates, P.C.","Macaluso & Fafinski, P.C.","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Clark Law Firm, P.C.","The Platta Law Firm - Construction Accident Attorneys","Goldstein & Goldstein, LLP","Team Law","Oresky & Associates, pllc","Law Offices of Jay S. Knispel Personal Injury Lawyers",
"20+","40.79861186340985","-74.11141538898009","https://www.google.com/maps/search/?api=1&query=40.79861186340985,40.79861186340985","Console and Associates P.C.","CourtLaw Injury Lawyers","Macaluso & Fafinski, P.C.","The Perecman Firm, P.L.L.C.","The Law Office of Richard M. Kenny","Goldstein & Goldstein, LLP","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Raphaelson & Levine Law Firm, P.C.","David Resnick & Associates, P.C.","Ajlouny Injury Law","Greenstein & Milbauer, LLP","Corradino and Papa, LLC","Schreck Personal Injury Lawyers","Law Office Of Evan W. Kohn","The Law Offices of Ivan M. Diamond","Wingate, Russotti, Shapiro & Halperin, LLP","Mirman, Markovits & Landau, PC","Brandon J. Broderick, Personal Injury Attorney at Law","Hach & Rose, LLP",
