"Business:","GBM Law,495 S High St #400, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:42:50
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","3.45"
"ATRP:","3.45"
"SoLV:","66.22"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"1","39.80782752806551","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.80782752806551,39.80782752806551","GBM Law","The Fitch Law Firm","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Rinehardt Injury Attorneys","Colombo Law","Rafidi, Pallante & Melewski, LLC","Bressman Law","Bressman Law","Rourke & Blumenthal","Elk & Elk Co., Ltd.","Smith Law Office",
"1","39.828480309770434","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.828480309770434,39.828480309770434","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law","Rourke & Blumenthal",
"1","39.84913309147536","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.84913309147536,39.84913309147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"1","39.86978587318029","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.86978587318029,39.86978587318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"2","39.890438654885216","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.890438654885216,39.890438654885216","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Bressman Law","Rinehardt Injury Attorneys","Colombo Law","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Bressman Law","Rourke & Blumenthal",
"2","39.91109143659014","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.91109143659014,39.91109143659014","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Bressman Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Colombo Law","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"3","39.93174421829507","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.93174421829507,39.93174421829507","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","O'Connor, Acciani & Levy","Schiff & Associates","Kisling, Nestico & Redick","Smith Law Office","The Donahey Law Firm","Smith Law Office","Elk & Elk Co., Ltd.","Bressman Law","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"6","39.952397","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.952397,39.952397","Michael D. Christensen Law Offices, LLC","Elk & Elk Co., Ltd.","Gervelis Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","GBM Law","Kisling, Nestico & Redick","The Fitch Law Firm","Smith Law Office","Schiff & Associates","O'Connor, Acciani & Levy","Bressman Law","Bressman Law","Rinehardt Injury Attorneys","Kevin Kurgis Law","Law Office of Darin Kendall & Company, LLC","The Donahey Law Firm","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC",
"3","39.97304978170492","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.97304978170492,39.97304978170492","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Schiff & Associates","Bressman Law","Smith Law Office","O'Connor, Acciani & Levy","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"5","39.993702563409855","-83.18786943193008","https://www.google.com/maps/search/?api=1&query=39.993702563409855,39.993702563409855","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Bressman Law","Smith Law Office","GBM Law","The Fitch Law Firm","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal",
