"Business:","O'Connor, Acciani & Levy,10 W Broad St Suite 1170, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:43:45
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","6.64"
"ATRP:","6.64"
"SoLV:","19.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"8","39.81793842806551","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.81793842806551,39.81793842806551","GBM Law","The Fitch Law Firm","Schiff & Associates","Kisling, Nestico & Redick","Michael D. Christensen Law Offices, LLC","The Donahey Law Firm","Kevin Kurgis Law","O'Connor, Acciani & Levy","Colombo Law","Bressman Law","Rinehardt Injury Attorneys","E. Ray Critchett, LLC Attorney at Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Erney Law","Rafidi, Pallante & Melewski, LLC","Malek & Malek Law Firm","Slater & Zurz LLP","Rourke & Blumenthal","Elk & Elk Co., Ltd.","The Fitch Law Firm",
"6","39.838591209770435","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.838591209770435,39.838591209770435","GBM Law","The Fitch Law Firm","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law","Rourke & Blumenthal",
"6","39.85924399147536","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.85924399147536,39.85924399147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"6","39.87989677318029","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.87989677318029,39.87989677318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Bressman Law","Colombo Law","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"7","39.90054955488522","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.90054955488522,39.90054955488522","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","Gervelis Law Firm","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Bressman Law","Rinehardt Injury Attorneys","Colombo Law","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Bressman Law","Rourke & Blumenthal",
"7","39.92120233659014","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.92120233659014,39.92120233659014","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Bressman Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"7","39.941855118295074","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.941855118295074,39.941855118295074","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Elk & Elk Co., Ltd.","Smith Law Office","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"8","39.9625079","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.9625079,39.9625079","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Kisling, Nestico & Redick","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Smith Law Office","The Donahey Law Firm","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Robert W. Kerpsack Co., L.P.A.",
"11","39.98316068170492","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=39.98316068170492,39.98316068170492","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Bressman Law","Gervelis Law Firm","Kisling, Nestico & Redick","Smith Law Office","Elk & Elk Co., Ltd.","Schiff & Associates","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"12","40.003813463409855","-83.18982861739505","https://www.google.com/maps/search/?api=1&query=40.003813463409855,40.003813463409855","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Smith Law Office","Bressman Law","Elk & Elk Co., Ltd.","GBM Law","Kisling, Nestico & Redick","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","The Donahey Law Firm","Smith Law Office","Colombo Law","Robert W. Kerpsack Co., L.P.A.","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Bressman Law",
