"Business:","Kevin Kurgis Law,100 S 4th St, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:44:16
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.04"
"ATRP:","11.84"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"12","39.81591742806551","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.81591742806551,39.81591742806551","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"12","39.836570209770436","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.836570209770436,39.836570209770436","GBM Law","The Fitch Law Firm","Schiff & Associates","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Bressman Law","Smith Law Office","Rourke & Blumenthal",
"12","39.85722299147536","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.85722299147536,39.85722299147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","The Donahey Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"12","39.87787577318029","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.87787577318029,39.87787577318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"11","39.89852855488522","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.89852855488522,39.89852855488522","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","The Donahey Law Firm","Smith Law Office","Kisling, Nestico & Redick","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Colombo Law","Rinehardt Injury Attorneys","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"12","39.91918133659014","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.91918133659014,39.91918133659014","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Bressman Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","Colombo Law","Rafidi, Pallante & Melewski, LLC","Bressman Law","Rourke & Blumenthal",
"15","39.939834118295074","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.939834118295074,39.939834118295074","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Elk & Elk Co., Ltd.","Smith Law Office","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"15","39.9604869","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.9604869,39.9604869","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","Kisling, Nestico & Redick","O'Connor, Acciani & Levy","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Robert W. Kerpsack Co., L.P.A.",
"16","39.981139681704924","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=39.981139681704924,39.981139681704924","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Bressman Law","Kisling, Nestico & Redick","Smith Law Office","Elk & Elk Co., Ltd.","Schiff & Associates","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Bressman Law",
"16","40.001792463409856","-83.18425314242735","https://www.google.com/maps/search/?api=1&query=40.001792463409856,40.001792463409856","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Smith Law Office","Bressman Law","GBM Law","Elk & Elk Co., Ltd.","The Fitch Law Firm","Kisling, Nestico & Redick","Gervelis Law Firm","Schiff & Associates","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","Robert W. Kerpsack Co., L.P.A.","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Bressman Law",
