"Business:","Plymale & Dingus,136 W Mound St #100, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:59:04
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","18.52"
"ATRP:","20.66"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","39.81005352806551","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.81005352806551,39.81005352806551","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","E. Ray Critchett, LLC Attorney at Law","Smith Law Office","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"20+","39.830706309770434","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.830706309770434,39.830706309770434","GBM Law","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"20+","39.85135909147536","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.85135909147536,39.85135909147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law","Rourke & Blumenthal",
"20+","39.87201187318029","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.87201187318029,39.87201187318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Elk & Elk Co., Ltd.","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"20+","39.892664654885216","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.892664654885216,39.892664654885216","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Bressman Law","Rinehardt Injury Attorneys","Colombo Law","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"20+","39.91331743659014","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.91331743659014,39.91331743659014","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Bressman Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"20+","39.93397021829507","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.93397021829507,39.93397021829507","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Elk & Elk Co., Ltd.","Smith Law Office","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"20+","39.954623","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.954623,39.954623","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","Kisling, Nestico & Redick","O'Connor, Acciani & Levy","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Law Office of Darin Kendall & Company, LLC",
"20+","39.97527578170492","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.97527578170492,39.97527578170492","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Bressman Law","Smith Law Office","Schiff & Associates","Elk & Elk Co., Ltd.","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"20+","39.995928563409855","-83.19163276993865","https://www.google.com/maps/search/?api=1&query=39.995928563409855,39.995928563409855","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Smith Law Office","Bressman Law","GBM Law","Elk & Elk Co., Ltd.","The Fitch Law Firm","Kisling, Nestico & Redick","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","Rafidi, Pallante & Melewski, LLC","Bressman Law",
