"Business:","Rourke & Blumenthal,495 S High St #450, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:48:34
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.66"
"ATRP:","17.34"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"19","39.80777312806551","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.80777312806551,39.80777312806551","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"19","39.82842590977044","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.82842590977044,39.82842590977044","GBM Law","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"19","39.84907869147536","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.84907869147536,39.84907869147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"19","39.869731473180295","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.869731473180295,39.869731473180295","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","The Donahey Law Firm","Kisling, Nestico & Redick","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Rourke & Blumenthal","Bressman Law",
"19","39.89038425488522","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.89038425488522,39.89038425488522","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Bressman Law","Colombo Law","Rinehardt Injury Attorneys","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"19","39.911037036590145","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.911037036590145,39.911037036590145","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"19","39.93168981829508","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.93168981829508,39.93168981829508","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"20+","39.9523426","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.9523426,39.9523426","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","Kisling, Nestico & Redick","O'Connor, Acciani & Levy","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Smith Law Office","Rinehardt Injury Attorneys","The Donahey Law Firm","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Law Office of Darin Kendall & Company, LLC",
"20","39.972995381704926","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.972995381704926,39.972995381704926","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Schiff & Associates","Bressman Law","Smith Law Office","O'Connor, Acciani & Levy","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"20","39.99364816340986","-83.18751498193521","https://www.google.com/maps/search/?api=1&query=39.99364816340986,39.99364816340986","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Bressman Law","GBM Law","Elk & Elk Co., Ltd.","The Fitch Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","O'Connor, Acciani & Levy","Schiff & Associates","Rinehardt Injury Attorneys","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal",
