"Business:","Paulozzi LPA - Accident, Negligence, Injury Lawyers,1093 Fishinger Rd Suite 2, Columbus, OH 43221"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:49:22
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","6.47"
"ATRP:","6.47"
"SoLV:","25.78"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"6","39.87862152806551","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.87862152806551,39.87862152806551","Michael D. Christensen Law Offices, LLC","Elk & Elk Co., Ltd.","Gervelis Law Firm","Smith Law Office","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Kisling, Nestico & Redick","Schiff & Associates","O'Connor, Acciani & Levy","Kevin Kurgis Law","Bressman Law","Law Office of Darin Kendall & Company, LLC","The Donahey Law Firm","Rinehardt Injury Attorneys","Smith Law Office","Bressman Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC",
"3","39.89927430977043","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.89927430977043,39.89927430977043","Michael D. Christensen Law Offices, LLC","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","Elk & Elk Co., Ltd.","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"2","39.91992709147536","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.91992709147536,39.91992709147536","GBM Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Gervelis Law Firm","Bressman Law","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Smith Law Office","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"1","39.94057987318029","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.94057987318029,39.94057987318029","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Kisling, Nestico & Redick","Schiff & Associates","O'Connor, Acciani & Levy","Bressman Law","Gervelis Law Firm","Elk & Elk Co., Ltd.","Smith Law Office","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"11","39.961232654885215","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.961232654885215,39.961232654885215","GBM Law","The Fitch Law Firm","Bressman Law","Kisling, Nestico & Redick","Schiff & Associates","The Donahey Law Firm","Colombo Law","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","Kevin Kurgis Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","Smith Law Office","Slater & Zurz LLP","Erney Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Malek & Malek Law Firm","Rourke & Blumenthal","Robert W. Kerpsack Co., L.P.A.",
"1","39.98188543659014","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=39.98188543659014,39.98188543659014","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Bressman Law","Michael D. Christensen Law Offices, LLC","GBM Law","Elk & Elk Co., Ltd.","Smith Law Office","The Fitch Law Firm","Kisling, Nestico & Redick","Schiff & Associates","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","Gervelis Law Firm","Smith Law Office","Colombo Law","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","Rafidi, Pallante & Melewski, LLC","Slater & Zurz LLP",
"2","40.00253821829507","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.00253821829507,40.00253821829507","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Elk & Elk Co., Ltd.","Smith Law Office","Kisling, Nestico & Redick","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Rinehardt Injury Attorneys","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Robert W. Kerpsack Co., L.P.A.","Smith Law Office","Colombo Law","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Slater & Zurz LLP",
"3","40.023191","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.023191,40.023191","Bressman Law","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Kisling, Nestico & Redick","GBM Law","Michael D. Christensen Law Offices, LLC","Rinehardt Injury Attorneys","The Fitch Law Firm","Robert W. Kerpsack Co., L.P.A.","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Colombo Law","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Slater & Zurz LLP",
"14","40.04384378170492","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.04384378170492,40.04384378170492","Bressman Law","Kisling, Nestico & Redick","GBM Law","The Fitch Law Firm","Michael D. Christensen Law Offices, LLC","Schiff & Associates","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Colombo Law","The Donahey Law Firm","Kevin Kurgis Law","O'Connor, Acciani & Levy","Smith Law Office","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Robert W. Kerpsack Co., L.P.A.","Slater & Zurz LLP","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Erney Law","E. Ray Critchett, LLC Attorney at Law","Heit Law, LLC",
"3","40.064496563409854","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.064496563409854,40.064496563409854","Bressman Law","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","O'Connor, Acciani & Levy","Colombo Law","Smith Law Office","The Donahey Law Firm","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Kevin Kurgis Law","Slater & Zurz LLP","E. Ray Critchett, LLC Attorney at Law",
"3","40.08514934511478","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.08514934511478,40.08514934511478","Bressman Law","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Schiff & Associates","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Gervelis Law Firm","Colombo Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Smith Law Office","The Donahey Law Firm","Slater & Zurz LLP","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law",
"5","40.105802126819704","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.105802126819704,40.105802126819704","Bressman Law","Elk & Elk Co., Ltd.","Robert W. Kerpsack Co., L.P.A.","Kisling, Nestico & Redick","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Schiff & Associates","Colombo Law","Gervelis Law Firm","O'Connor, Acciani & Levy","Michael D. Christensen Law Offices, LLC","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Smith Law Office","Slater & Zurz LLP","The Donahey Law Firm","Kevin Kurgis Law","Oliver Law Office",
"6","40.126454908524636","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.126454908524636,40.126454908524636","Bressman Law","Elk & Elk Co., Ltd.","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","The Fitch Law Firm","GBM Law","Colombo Law","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Michael D. Christensen Law Offices, LLC","Slater & Zurz LLP","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Heit Law, LLC",
"6","40.14710769022956","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.14710769022956,40.14710769022956","Bressman Law","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Kisling, Nestico & Redick","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","GBM Law","The Fitch Law Firm","Colombo Law","O'Connor, Acciani & Levy","Schiff & Associates","Gervelis Law Firm","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Slater & Zurz LLP","Michael D. Christensen Law Offices, LLC","Smith Law Office","Heit Law, LLC","The Donahey Law Firm","Kevin Kurgis Law",
"5","40.167760471934486","-83.2325173760289","https://www.google.com/maps/search/?api=1&query=40.167760471934486,40.167760471934486","Bressman Law","Rinehardt Injury Attorneys","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Robert W. Kerpsack Co., L.P.A.","Smith Law Office","GBM Law","The Fitch Law Firm","Colombo Law","Schiff & Associates","Slater & Zurz LLP","O'Connor, Acciani & Levy","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Heit Law, LLC","Smith Law Office","Accident Attorneys Stanton Firm Auto & Car","The Donahey Law Firm",
"4","39.87862152806551","-83.20554792231049","https://www.google.com/maps/search/?api=1&query=39.87862152806551,39.87862152806551","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Bressman Law","Rinehardt Injury Attorneys","Colombo Law","Elk & Elk Co., Ltd.","Smith Law Office","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
