"Business:","Beausay & Nichols Law Firm,7650 Rivers Edge Dr STE 150, Columbus, OH 43235"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:50:50
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","13.67"
"ATRP:","16.76"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","39.97717152806551","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=39.97717152806551,39.97717152806551","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Michael D. Christensen Law Offices, LLC","GBM Law","Bressman Law","The Fitch Law Firm","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Smith Law Office","Schiff & Associates","Gervelis Law Firm","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","Smith Law Office","The Donahey Law Firm","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","Rafidi, Pallante & Melewski, LLC","Bressman Law",
"20+","39.99782430977044","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=39.99782430977044,39.99782430977044","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Elk & Elk Co., Ltd.","Smith Law Office","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","GBM Law","The Fitch Law Firm","Rinehardt Injury Attorneys","Schiff & Associates","Gervelis Law Firm","O'Connor, Acciani & Levy","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Colombo Law","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Slater & Zurz LLP",
"20+","40.01847709147536","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.01847709147536,40.01847709147536","Bressman Law","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Kisling, Nestico & Redick","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Rinehardt Injury Attorneys","Schiff & Associates","Gervelis Law Firm","Robert W. Kerpsack Co., L.P.A.","O'Connor, Acciani & Levy","Colombo Law","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Slater & Zurz LLP",
"20+","40.03912987318029","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.03912987318029,40.03912987318029","Bressman Law","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Kisling, Nestico & Redick","Robert W. Kerpsack Co., L.P.A.","Rinehardt Injury Attorneys","GBM Law","The Fitch Law Firm","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Colombo Law","Smith Law Office","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Slater & Zurz LLP",
"20+","40.05978265488522","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.05978265488522,40.05978265488522","Bressman Law","Elk & Elk Co., Ltd.","Robert W. Kerpsack Co., L.P.A.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Michael D. Christensen Law Offices, LLC","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Colombo Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Slater & Zurz LLP",
"20+","40.08043543659014","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.08043543659014,40.08043543659014","Bressman Law","Elk & Elk Co., Ltd.","Robert W. Kerpsack Co., L.P.A.","Smith Law Office","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Schiff & Associates","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Colombo Law","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Slater & Zurz LLP","E. Ray Critchett, LLC Attorney at Law",
"20+","40.101088218295075","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.101088218295075,40.101088218295075","Bressman Law","Robert W. Kerpsack Co., L.P.A.","Elk & Elk Co., Ltd.","Smith Law Office","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","The Fitch Law Firm","GBM Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","Schiff & Associates","Colombo Law","O'Connor, Acciani & Levy","Smith Law Office","Slater & Zurz LLP","The Donahey Law Firm","Kevin Kurgis Law","Oliver Law Office",
"20+","40.121741","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.121741,40.121741","Bressman Law","Elk & Elk Co., Ltd.","Robert W. Kerpsack Co., L.P.A.","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","Smith Law Office","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Fitch Law Firm","GBM Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Colombo Law","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","Slater & Zurz LLP","Smith Law Office","The Donahey Law Firm","Kevin Kurgis Law","Heit Law, LLC",
"20+","40.142393781704925","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.142393781704925,40.142393781704925","Bressman Law","Robert W. Kerpsack Co., L.P.A.","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Kisling, Nestico & Redick","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","GBM Law","The Fitch Law Firm","Colombo Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Slater & Zurz LLP","Michael D. Christensen Law Offices, LLC","Smith Law Office","The Donahey Law Firm","Heit Law, LLC","Accident Attorneys Stanton Firm Auto & Car",
"20+","40.16304656340986","-83.22209234386183","https://www.google.com/maps/search/?api=1&query=40.16304656340986,40.16304656340986","Bressman Law","Rinehardt Injury Attorneys","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Robert W. Kerpsack Co., L.P.A.","Smith Law Office","The Fitch Law Firm","GBM Law","Colombo Law","Schiff & Associates","Slater & Zurz LLP","O'Connor, Acciani & Levy","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Gervelis Law Firm","Michael D. Christensen Law Offices, LLC","Heit Law, LLC","Smith Law Office","Accident Attorneys Stanton Firm Auto & Car","The Donahey Law Firm",
