"Business:","Law Office of Darin Kendall & Company, LLC,300 E Broad St #190, Columbus, OH 43215"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:51:14
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","16.78"
"ATRP:","18.37"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","39.81936132806551","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.81936132806551,39.81936132806551","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Michael D. Christensen Law Offices, LLC","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Gervelis Law Firm","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Rinehardt Injury Attorneys","Colombo Law","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"20+","39.840014109770436","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.840014109770436,39.840014109770436","GBM Law","The Fitch Law Firm","Schiff & Associates","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Paulozzi LPA - Accident, Negligence, Injury Lawyers","The Donahey Law Firm","Kisling, Nestico & Redick","Gervelis Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"20+","39.86066689147536","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.86066689147536,39.86066689147536","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Schiff & Associates","Paulozzi LPA - Accident, Negligence, Injury Lawyers","O'Connor, Acciani & Levy","The Donahey Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Rinehardt Injury Attorneys","Bressman Law","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Rourke & Blumenthal","Bressman Law",
"20+","39.88131967318029","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.88131967318029,39.88131967318029","GBM Law","Michael D. Christensen Law Offices, LLC","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","E. Ray Critchett, LLC Attorney at Law","Kevin Kurgis Law","Colombo Law","Bressman Law","Rinehardt Injury Attorneys","Rafidi, Pallante & Melewski, LLC","Elk & Elk Co., Ltd.","Smith Law Office","Bressman Law","Rourke & Blumenthal",
"20+","39.90197245488522","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.90197245488522,39.90197245488522","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Schiff & Associates","Gervelis Law Firm","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Bressman Law","Colombo Law","Rinehardt Injury Attorneys","Smith Law Office","Elk & Elk Co., Ltd.","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Bressman Law",
"20","39.92262523659014","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.92262523659014,39.92262523659014","Michael D. Christensen Law Offices, LLC","GBM Law","The Fitch Law Firm","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","The Donahey Law Firm","Smith Law Office","Bressman Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"20","39.943278018295075","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.943278018295075,39.943278018295075","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Schiff & Associates","O'Connor, Acciani & Levy","Kisling, Nestico & Redick","Bressman Law","The Donahey Law Firm","Smith Law Office","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Colombo Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Law Office of Darin Kendall & Company, LLC",
"20+","39.9639308","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.9639308,39.9639308","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Kisling, Nestico & Redick","Schiff & Associates","O'Connor, Acciani & Levy","Bressman Law","Smith Law Office","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","Colombo Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Rourke & Blumenthal","Robert W. Kerpsack Co., L.P.A.",
"20+","39.984583581704925","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=39.984583581704925,39.984583581704925","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","The Fitch Law Firm","Gervelis Law Firm","Bressman Law","Kisling, Nestico & Redick","Smith Law Office","Elk & Elk Co., Ltd.","Schiff & Associates","O'Connor, Acciani & Levy","Rinehardt Injury Attorneys","The Donahey Law Firm","Smith Law Office","Colombo Law","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Robert W. Kerpsack Co., L.P.A.","Rourke & Blumenthal",
"20+","40.00523636340986","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=40.00523636340986,40.00523636340986","Michael D. Christensen Law Offices, LLC","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Bressman Law","Elk & Elk Co., Ltd.","The Fitch Law Firm","GBM Law","Kisling, Nestico & Redick","Gervelis Law Firm","Schiff & Associates","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","The Donahey Law Firm","Smith Law Office","Colombo Law","Robert W. Kerpsack Co., L.P.A.","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Rafidi, Pallante & Melewski, LLC","Bressman Law",
"20+","40.02588914511478","-83.1806915428308","https://www.google.com/maps/search/?api=1&query=40.02588914511478,40.02588914511478","Smith Law Office","Elk & Elk Co., Ltd.","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","The Fitch Law Firm","Michael D. Christensen Law Offices, LLC","GBM Law","Rinehardt Injury Attorneys","Gervelis Law Firm","Schiff & Associates","Robert W. Kerpsack Co., L.P.A.","O'Connor, Acciani & Levy","Smith Law Office","Colombo Law","The Donahey Law Firm","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Tompkins, Selph, & Associates, Ltd. Injury & Accident Attorneys","Slater & Zurz LLP",
