"Business:","Robert W. Kerpsack Co., L.P.A.,655 Metro Pl S #255, Dublin, OH 43017"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 09:51:50
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.02"
"ATRP:","13.24"
"SoLV:","5.78"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"18","39.95029952806551","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=39.95029952806551,39.95029952806551","Paulozzi LPA - Accident, Negligence, Injury Lawyers","GBM Law","Bressman Law","The Fitch Law Firm","Kisling, Nestico & Redick","Michael D. Christensen Law Offices, LLC","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Schiff & Associates","O'Connor, Acciani & Levy","Smith Law Office","Gervelis Law Firm","Colombo Law","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","Robert W. Kerpsack Co., L.P.A.","The Fitch Law Firm","Rafidi, Pallante & Melewski, LLC",
"20","39.97095230977043","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=39.97095230977043,39.97095230977043","Elk & Elk Co., Ltd.","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","Kisling, Nestico & Redick","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","Bressman Law","GBM Law","The Fitch Law Firm","Smith Law Office","Rinehardt Injury Attorneys","O'Connor, Acciani & Levy","Schiff & Associates","Colombo Law","Bressman Law","The Donahey Law Firm","Kevin Kurgis Law","Law Office of Darin Kendall & Company, LLC","Hochman & Plunkett Co., L.P.A.","Robert W. Kerpsack Co., L.P.A.",
"16","39.99160509147536","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=39.99160509147536,39.99160509147536","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","GBM Law","The Fitch Law Firm","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Smith Law Office","Michael D. Christensen Law Offices, LLC","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Colombo Law","The Donahey Law Firm","Smith Law Office","Robert W. Kerpsack Co., L.P.A.","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","The Fitch Law Firm","Rafidi, Pallante & Melewski, LLC",
"14","40.01225787318029","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.01225787318029,40.01225787318029","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","GBM Law","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","The Fitch Law Firm","Smith Law Office","Michael D. Christensen Law Offices, LLC","Schiff & Associates","O'Connor, Acciani & Levy","Gervelis Law Firm","Colombo Law","Robert W. Kerpsack Co., L.P.A.","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","The Fitch Law Firm","Slater & Zurz LLP",
"14","40.032910654885214","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.032910654885214,40.032910654885214","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","GBM Law","The Fitch Law Firm","Smith Law Office","Michael D. Christensen Law Offices, LLC","O'Connor, Acciani & Levy","Schiff & Associates","Gervelis Law Firm","Colombo Law","Robert W. Kerpsack Co., L.P.A.","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","The Fitch Law Firm","Slater & Zurz LLP",
"14","40.05356343659014","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.05356343659014,40.05356343659014","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","GBM Law","The Fitch Law Firm","Smith Law Office","O'Connor, Acciani & Levy","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Colombo Law","Gervelis Law Firm","Robert W. Kerpsack Co., L.P.A.","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","E. Ray Critchett, LLC Attorney at Law","The Fitch Law Firm","Slater & Zurz LLP",
"13","40.07421621829507","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.07421621829507,40.07421621829507","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","GBM Law","The Fitch Law Firm","Smith Law Office","O'Connor, Acciani & Levy","Schiff & Associates","Michael D. Christensen Law Offices, LLC","Colombo Law","Robert W. Kerpsack Co., L.P.A.","Gervelis Law Firm","The Donahey Law Firm","Smith Law Office","Kevin Kurgis Law","Slater & Zurz LLP","The Fitch Law Firm","E. Ray Critchett, LLC Attorney at Law",
"12","40.094868999999996","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.094868999999996,40.094868999999996","Bressman Law","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Kisling, Nestico & Redick","Rinehardt Injury Attorneys","Elk & Elk Co., Ltd.","Smith Law Office","GBM Law","The Fitch Law Firm","O'Connor, Acciani & Levy","Schiff & Associates","Colombo Law","Robert W. Kerpsack Co., L.P.A.","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","The Donahey Law Firm","Smith Law Office","Slater & Zurz LLP","Kevin Kurgis Law","The Fitch Law Firm","E. Ray Critchett, LLC Attorney at Law",
"10","40.11552178170492","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.11552178170492,40.11552178170492","Bressman Law","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","GBM Law","The Fitch Law Firm","Colombo Law","Robert W. Kerpsack Co., L.P.A.","Schiff & Associates","O'Connor, Acciani & Levy","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","Smith Law Office","The Donahey Law Firm","Slater & Zurz LLP","Kevin Kurgis Law","The Fitch Law Firm","Heit Law, LLC",
"9","40.13617456340985","-83.3243901696963","https://www.google.com/maps/search/?api=1&query=40.13617456340985,40.13617456340985","Bressman Law","Kisling, Nestico & Redick","Elk & Elk Co., Ltd.","Rinehardt Injury Attorneys","Paulozzi LPA - Accident, Negligence, Injury Lawyers","Smith Law Office","GBM Law","The Fitch Law Firm","Robert W. Kerpsack Co., L.P.A.","Colombo Law","Schiff & Associates","O'Connor, Acciani & Levy","Michael D. Christensen Law Offices, LLC","Gervelis Law Firm","Smith Law Office","Slater & Zurz LLP","The Donahey Law Firm","Kevin Kurgis Law","The Fitch Law Firm","Heit Law, LLC",
