"Business:","Tate Law Offices, PC,13355 Noel Rd #1167, Dallas, TX 75240"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 05:40:42
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","3.51"
"ATRP:","3.74"
"SoLV:","65.78"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"9","32.85710326403275","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.85710326403275,32.85710326403275","LAWBOSS - Uvalle Law Firm, PLLC","Kraft & Associates, Attorneys at Law, P.C.","Law Office of Doug Goyen","Lenahan Law Firm","Grossman Law Offices Injury & Accident Attorneys","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","The Dashner Law Firm, PLLC","Tate Law Offices, PC","The Law Office of Jason January, P.C.","Amaro Law Firm Injury & Accident Lawyers","Montgomery Law","Robert C. Slim Law Firm, PLLC","The Benton Law Firm","Stewart J. Guss, Injury Accident Lawyers","Ramey Law Firm, PLLC","Law Firm of Aaron A. Herbert, P.C.","Jerry D. Andrews, P.C.","Shamieh Law","The Law Offices Of Tim O'Hare",
"6","32.867429654885214","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.867429654885214,32.867429654885214","LAWBOSS - Uvalle Law Firm, PLLC","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","Kraft & Associates, Attorneys at Law, P.C.","Lenahan Law Firm","Tate Law Offices, PC","The Law Office of Jason January, P.C.","Thompson Law Injury Lawyers","The Dashner Law Firm, PLLC","Amaro Law Firm Injury & Accident Lawyers","Mullen & Mullen Law Firm","Robert C. Slim Law Firm, PLLC","Jerry D. Andrews, P.C.","Jill Herz, Attorney at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","The Law Offices Of Tim O'Hare","Montgomery Law","Ramey Law Firm, PLLC","Stewart J. Guss, Injury Accident Lawyers","The Benton Law Firm",
"2","32.87775604573768","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.87775604573768,32.87775604573768","LAWBOSS - Uvalle Law Firm, PLLC","Tate Law Offices, PC","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","Lenahan Law Firm","The Law Office of Jason January, P.C.","The Dashner Law Firm, PLLC","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","The Law Offices Of Tim O'Hare","Mullen & Mullen Law Firm","Jerry D. Andrews, P.C.","Law Firm of Aaron A. Herbert, P.C.","Jill Herz, Attorney at Law, P.C.","Ramey Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","Stewart J. Guss, Injury Accident Lawyers","Ward Maedgen Accident Attorneys","The Benton Law Firm",
"2","32.88808243659014","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.88808243659014,32.88808243659014","LAWBOSS - Uvalle Law Firm, PLLC","Tate Law Offices, PC","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","Lenahan Law Firm","The Law Office of Jason January, P.C.","The Dashner Law Firm, PLLC","The Law Offices Of Tim O'Hare","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","Jerry D. Andrews, P.C.","Jill Herz, Attorney at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","Amaro Law Firm Injury & Accident Lawyers","Mullen & Mullen Law Firm","Ramey Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","Stewart J. Guss, Injury Accident Lawyers","Ward Maedgen Accident Attorneys","Guajardo & Marks, LLP",
"1","32.8984088274426","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.8984088274426,32.8984088274426","Tate Law Offices, PC","Lenahan Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","The Law Offices Of Tim O'Hare","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","The Law Office of Jason January, P.C.","The Dashner Law Firm, PLLC","Jerry D. Andrews, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Jill Herz, Attorney at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","Thompson Law Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Mullen & Mullen Law Firm","Ramey Law Firm, PLLC","Ward Maedgen Accident Attorneys","Reyna Law Firm","Guajardo & Marks, LLP","Robert C. Slim Law Firm, PLLC",
"2","32.90873521829507","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.90873521829507,32.90873521829507","Lenahan Law Firm","Tate Law Offices, PC","The Law Offices Of Tim O'Hare","LAWBOSS - Uvalle Law Firm, PLLC","Grossman Law Offices Injury & Accident Attorneys","Law Office of Doug Goyen","The Law Office of Jason January, P.C.","The Dashner Law Firm, PLLC","Jerry D. Andrews, P.C.","Jill Herz, Attorney at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Reyna Law Firm","Ramey Law Firm, PLLC","Mullen & Mullen Law Firm","Ward Maedgen Accident Attorneys","Guajardo & Marks, LLP","Car Accident Attorney Shayan Elahi",
"3","32.91906160914753","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.91906160914753,32.91906160914753","Lenahan Law Firm","The Law Offices Of Tim O'Hare","Tate Law Offices, PC","LAWBOSS - Uvalle Law Firm, PLLC","Grossman Law Offices Injury & Accident Attorneys","Law Office of Doug Goyen","The Law Office of Jason January, P.C.","Jerry D. Andrews, P.C.","The Dashner Law Firm, PLLC","Jill Herz, Attorney at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","Reyna Law Firm","Kraft & Associates, Attorneys at Law, P.C.","Ward Maedgen Accident Attorneys","Guajardo & Marks, LLP","Chalaki Law","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Bailey & Galyen Injury and Accident Attorneys","Car Accident Attorney Shayan Elahi",
"2","32.929387999999996","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.929387999999996,32.929387999999996","The Law Offices Of Tim O'Hare","Tate Law Offices, PC","Lenahan Law Firm","Grossman Law Offices Injury & Accident Attorneys","The Law Office of Jason January, P.C.","LAWBOSS - Uvalle Law Firm, PLLC","Jerry D. Andrews, P.C.","Law Office of Doug Goyen","Chalaki Law","Law Firm of Aaron A. Herbert, P.C.","Reyna Law Firm","Jill Herz, Attorney at Law, P.C.","Bailey & Galyen Injury and Accident Attorneys","The Dashner Law Firm, PLLC","Kraft & Associates, Attorneys at Law, P.C.","Ward Maedgen Accident Attorneys","Guajardo & Marks, LLP","Car Accident Attorney Shayan Elahi","Mullen & Mullen Law Firm","The Barber Law Firm",
"2","32.93971439085246","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.93971439085246,32.93971439085246","The Law Offices Of Tim O'Hare","Tate Law Offices, PC","Lenahan Law Firm","Grossman Law Offices Injury & Accident Attorneys","The Law Office of Jason January, P.C.","Chalaki Law","LAWBOSS - Uvalle Law Firm, PLLC","Jerry D. Andrews, P.C.","Reyna Law Firm","Law Firm of Aaron A. Herbert, P.C.","Jill Herz, Attorney at Law, P.C.","Bailey & Galyen Injury and Accident Attorneys","Law Office of Doug Goyen","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Kraft & Associates, Attorneys at Law, P.C.","Car Accident Attorney Shayan Elahi","The Dashner Law Firm, PLLC","The Barber Law Firm","Mullen & Mullen Law Firm",
"2","32.95004078170492","-96.90475680549669","https://www.google.com/maps/search/?api=1&query=32.95004078170492,32.95004078170492","The Law Offices Of Tim O'Hare","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","Lenahan Law Firm","The Law Office of Jason January, P.C.","Bailey & Galyen Injury and Accident Attorneys","Chalaki Law","Jerry D. Andrews, P.C.","Reyna Law Firm","Law Firm of Aaron A. Herbert, P.C.","Jill Herz, Attorney at Law, P.C.","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Car Accident Attorney Shayan Elahi","Hudson Law Firm","Kraft & Associates, Attorneys at Law, P.C.","The Barber Law Firm","Todd Durham Law Firm",
