"Business:","Jim Adler & Associates,2711 N Haskell Ave. Suite 2500, Dallas, TX 75204"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 05:41:57
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","7.86"
"ATRP:","8.56"
"SoLV:","11.56"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"13","32.73326526403275","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.73326526403275,32.73326526403275","Stewart J. Guss, Injury Accident Lawyers","Aulsbrook Car & Truck Wreck Lawyers","Mullen & Mullen Law Firm","The Franklin Law Firm, LLP","Kraft & Associates, Attorneys at Law, P.C.","Car Wreck Queen - Carr & Carr Injury Lawyers","The Benton Law Firm","Thompson Law Injury Lawyers","Rasansky Law Firm","Robert C. Slim Law Firm, PLLC","The Barber Law Firm","Tracey Fox King & Walters","Jim Adler & Associates","Anderson Law Firm","Loncar Lyon Jenkins","The Eric Reyes Law Firm, P.C.","Zinda Law Group","Montgomery Law","LAWBOSS - Uvalle Law Firm, PLLC","Law Office of Doug Goyen",
"9","32.743591654885215","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.743591654885215,32.743591654885215","Mullen & Mullen Law Firm","Stewart J. Guss, Injury Accident Lawyers","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","The Franklin Law Firm, LLP","The Barber Law Firm","Rasansky Law Firm","Robert C. Slim Law Firm, PLLC","Jim Adler & Associates","Zinda Law Group","Aulsbrook Car & Truck Wreck Lawyers","Montgomery Law","Anderson Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","Law Firm of Aaron A. Herbert, P.C.","Allbee Law Firm","Grossman Law Offices Injury & Accident Attorneys","Loncar Lyon Jenkins","Aulsbrook Car & Truck Wreck Lawyers","Shamieh Law",
"7","32.75391804573768","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.75391804573768,32.75391804573768","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Stewart J. Guss, Injury Accident Lawyers","Thompson Law Injury Lawyers","Robert C. Slim Law Firm, PLLC","Aulsbrook Car & Truck Wreck Lawyers","Jim Adler & Associates","The Barber Law Firm","The Franklin Law Firm, LLP","Rasansky Law Firm","Anderson Law Firm","Car Wreck Queen - Carr & Carr Injury Lawyers","Zinda Law Group","Montgomery Law","Tracey Fox King & Walters","Loncar Lyon Jenkins","Anderson Mark A","Law Office of Doug Goyen","The Eric Reyes Law Firm, P.C.","LAWBOSS - Uvalle Law Firm, PLLC",
"9","32.76424443659014","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.76424443659014,32.76424443659014","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Robert C. Slim Law Firm, PLLC","The Benton Law Firm","Aulsbrook Car & Truck Wreck Lawyers","The Barber Law Firm","Jim Adler & Associates","Montgomery Law","Anderson Law Firm","Car Wreck Queen - Carr & Carr Injury Lawyers","The Franklin Law Firm, LLP","Zinda Law Group","Rasansky Law Firm","Tracey Fox King & Walters","Shamieh Law","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","Tate Law Offices, PC",
"6","32.7745708274426","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.7745708274426,32.7745708274426","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Robert C. Slim Law Firm, PLLC","Jim Adler & Associates","The Barber Law Firm","Montgomery Law","Rasansky Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Anderson Law Firm","The Franklin Law Firm, LLP","Car Wreck Queen - Carr & Carr Injury Lawyers","Zinda Law Group","Tracey Fox King & Walters","Law Office of Doug Goyen","Shamieh Law","LAWBOSS - Uvalle Law Firm, PLLC","Loncar Lyon Jenkins","Anderson Mark A",
"6","32.78489721829507","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.78489721829507,32.78489721829507","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Robert C. Slim Law Firm, PLLC","Jim Adler & Associates","The Barber Law Firm","Montgomery Law","Rasansky Law Firm","Anderson Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Car Wreck Queen - Carr & Carr Injury Lawyers","Zinda Law Group","The Franklin Law Firm, LLP","Shamieh Law","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","Tracey Fox King & Walters","Loncar Lyon Jenkins","Anderson Mark A",
"9","32.795223609147534","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.795223609147534,32.795223609147534","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Robert C. Slim Law Firm, PLLC","Montgomery Law","Rasansky Law Firm","The Barber Law Firm","Jim Adler & Associates","Shamieh Law","Anderson Law Firm","Zinda Law Group","Car Wreck Queen - Carr & Carr Injury Lawyers","The Franklin Law Firm, LLP","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","Aulsbrook Car & Truck Wreck Lawyers","Tracey Fox King & Walters","Loncar Lyon Jenkins","Anderson Mark A",
"7","32.80555","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.80555,32.80555","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Robert C. Slim Law Firm, PLLC","Montgomery Law","Jim Adler & Associates","The Barber Law Firm","Law Office of Doug Goyen","Shamieh Law","Rasansky Law Firm","Anderson Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","Zinda Law Group","Car Wreck Queen - Carr & Carr Injury Lawyers","Ward Maedgen Accident Attorneys","Tracey Fox King & Walters","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Amaro Law Firm Injury & Accident Lawyers",
"11","32.81587639085246","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.81587639085246,32.81587639085246","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Shamieh Law","Law Office of Doug Goyen","Stewart J. Guss, Injury Accident Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","The Benton Law Firm","Robert C. Slim Law Firm, PLLC","Montgomery Law","Jim Adler & Associates","The Barber Law Firm","Rasansky Law Firm","Anderson Law Firm","Zinda Law Group","Car Wreck Queen - Carr & Carr Injury Lawyers","The Dashner Law Firm, PLLC","Ramey Law Firm, PLLC","Amaro Law Firm Injury & Accident Lawyers","Tracey Fox King & Walters",
"11","32.82620278170492","-96.87812061995679","https://www.google.com/maps/search/?api=1&query=32.82620278170492,32.82620278170492","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Law Office of Doug Goyen","Stewart J. Guss, Injury Accident Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","The Benton Law Firm","Shamieh Law","Montgomery Law","Jim Adler & Associates","The Barber Law Firm","Rasansky Law Firm","Anderson Law Firm","Zinda Law Group","Car Wreck Queen - Carr & Carr Injury Lawyers","The Dashner Law Firm, PLLC","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","Amaro Law Firm Injury & Accident Lawyers",
