"Business:","Frenkel & Frenkel,12700 Park Central Dr #1900, Dallas, TX 75251"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 05:43:15
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","10.06"
"ATRP:","11.52"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","32.84937046403275","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.84937046403275,32.84937046403275","Law Office of Doug Goyen","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","Mullen & Mullen Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","Jim Adler & Associates","The Barber Law Firm","Montgomery Law","Grossman Law Offices Injury & Accident Attorneys","Ramey Law Firm, PLLC","Tate Law Offices, PC","Stewart J. Guss, Injury Accident Lawyers","Law Firm of Aaron A. Herbert, P.C.","Anderson Law Firm","Ward Maedgen Accident Attorneys","Zinda Law Group","Rasansky Law Firm","The Dashner Law Firm, PLLC","Amaro Law Firm Injury & Accident Lawyers",
"20+","32.859696854885215","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.859696854885215,32.859696854885215","Law Office of Doug Goyen","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","Grossman Law Offices Injury & Accident Attorneys","Ramey Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","Lenahan Law Firm","Jim Adler & Associates","Tate Law Offices, PC","Mullen & Mullen Law Firm","The Law Office of Jason January, P.C.","Law Firm of Aaron A. Herbert, P.C.","Montgomery Law","Amaro Law Firm Injury & Accident Lawyers","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","The Dashner Law Firm, PLLC","The Barber Law Firm","Stewart J. Guss, Injury Accident Lawyers",
"16","32.87002324573768","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.87002324573768,32.87002324573768","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","LAWBOSS - Uvalle Law Firm, PLLC","Tate Law Offices, PC","Kraft & Associates, Attorneys at Law, P.C.","Lenahan Law Firm","Thompson Law Injury Lawyers","The Law Office of Jason January, P.C.","Law Firm of Aaron A. Herbert, P.C.","Ramey Law Firm, PLLC","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Mullen & Mullen Law Firm","Amaro Law Firm Injury & Accident Lawyers","The Dashner Law Firm, PLLC","Frenkel & Frenkel","Robert C. Slim Law Firm, PLLC","Jill Herz, Attorney at Law, P.C.","Car Accident Attorney Shayan Elahi","Jerry D. Andrews, P.C.",
"15","32.88034963659014","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.88034963659014,32.88034963659014","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","LAWBOSS - Uvalle Law Firm, PLLC","Lenahan Law Firm","The Law Office of Jason January, P.C.","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","Ramey Law Firm, PLLC","Jerry D. Andrews, P.C.","Ward Maedgen Accident Attorneys","Jill Herz, Attorney at Law, P.C.","Frenkel & Frenkel","The Dashner Law Firm, PLLC","Mullen & Mullen Law Firm","Car Accident Attorney Shayan Elahi","The Law Offices Of Tim O'Hare","Amaro Law Firm Injury & Accident Lawyers",
"14","32.8906760274426","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.8906760274426,32.8906760274426","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","The Law Office of Jason January, P.C.","Lenahan Law Firm","Jerry D. Andrews, P.C.","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","The Law Offices Of Tim O'Hare","Ward Maedgen Accident Attorneys","Jill Herz, Attorney at Law, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Frenkel & Frenkel","Thompson Law Injury Lawyers","The Dashner Law Firm, PLLC","Car Accident Attorney Shayan Elahi","Ramey Law Firm, PLLC","Mullen & Mullen Law Firm","Amaro Law Firm Injury & Accident Lawyers",
"12","32.90100241829507","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.90100241829507,32.90100241829507","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Lenahan Law Firm","The Law Office of Jason January, P.C.","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","The Law Offices Of Tim O'Hare","Jerry D. Andrews, P.C.","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Frenkel & Frenkel","Jill Herz, Attorney at Law, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Car Accident Attorney Shayan Elahi","The Dashner Law Firm, PLLC","Thompson Law Injury Lawyers","Ramey Law Firm, PLLC","Mullen & Mullen Law Firm","Amaro Law Firm Injury & Accident Lawyers",
"13","32.911328809147534","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.911328809147534,32.911328809147534","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","The Law Office of Jason January, P.C.","Lenahan Law Firm","The Law Offices Of Tim O'Hare","Law Office of Doug Goyen","LAWBOSS - Uvalle Law Firm, PLLC","Jerry D. Andrews, P.C.","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Jill Herz, Attorney at Law, P.C.","Frenkel & Frenkel","Car Accident Attorney Shayan Elahi","The Dashner Law Firm, PLLC","Kraft & Associates, Attorneys at Law, P.C.","Reyna Law Firm","Ramey Law Firm, PLLC","Angel Reyes - Reyes Browne Reilley Law Firm","Thompson Law Injury Lawyers",
"14","32.9216552","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.9216552,32.9216552","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","The Law Offices Of Tim O'Hare","The Law Office of Jason January, P.C.","Lenahan Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","Jerry D. Andrews, P.C.","Law Firm of Aaron A. Herbert, P.C.","Law Office of Doug Goyen","Guajardo & Marks, LLP","Ward Maedgen Accident Attorneys","Chalaki Law","Jill Herz, Attorney at Law, P.C.","Frenkel & Frenkel","Reyna Law Firm","Car Accident Attorney Shayan Elahi","The Dashner Law Firm, PLLC","The Barber Law Firm","Thompson Law Injury Lawyers","Kraft & Associates, Attorneys at Law, P.C.",
"15","32.93198159085246","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.93198159085246,32.93198159085246","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","The Law Offices Of Tim O'Hare","Lenahan Law Firm","The Law Office of Jason January, P.C.","Reyna Law Firm","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","LAWBOSS - Uvalle Law Firm, PLLC","Chalaki Law","Jerry D. Andrews, P.C.","Ward Maedgen Accident Attorneys","Jill Herz, Attorney at Law, P.C.","Law Office of Doug Goyen","Frenkel & Frenkel","Car Accident Attorney Shayan Elahi","The Barber Law Firm","Kraft & Associates, Attorneys at Law, P.C.","Thompson Law Injury Lawyers","McGilberry & Shirer LLP",
"11","32.94230798170492","-96.86177837915429","https://www.google.com/maps/search/?api=1&query=32.94230798170492,32.94230798170492","Tate Law Offices, PC","Grossman Law Offices Injury & Accident Attorneys","The Law Offices Of Tim O'Hare","Lenahan Law Firm","Reyna Law Firm","The Law Office of Jason January, P.C.","Law Firm of Aaron A. Herbert, P.C.","Guajardo & Marks, LLP","Chalaki Law","Jill Herz, Attorney at Law, P.C.","Frenkel & Frenkel","Ward Maedgen Accident Attorneys","Car Accident Attorney Shayan Elahi","LAWBOSS - Uvalle Law Firm, PLLC","Jerry D. Andrews, P.C.","Law Office of Doug Goyen","The Barber Law Firm","Kraft & Associates, Attorneys at Law, P.C.","McGilberry & Shirer LLP","Bailey & Galyen Injury and Accident Attorneys",
