"Business:","The Franklin Law Firm, LLP,400 S Zang Blvd Suite 1400, Dallas, TX 75208"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 11:03:34
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.05"
"ATRP:","15.06"
"SoLV:","8.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","32.59715592806551","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.59715592806551,32.59715592806551","David S. Kohm & Associates","Bailey & Galyen Injury and Accident Attorneys","Law Firm of Roger 'Rocky' Walton, P.C.","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Thompson Law Injury Lawyers","Aulsbrook Car & Truck Wreck Lawyers","Chalaki Law","The Queenan Law Firm, P.C.","David S. Kohm & Associates","Thompson Law Injury Lawyers","Mullen & Mullen Law Firm","Kraft & Associates, Attorneys at Law, P.C.","Branch & Dhillon, P.C.","Stewart J. Guss, Injury Accident Lawyers","Anderson Injury Lawyers","Stephens Law Personal Injury | Wrongful Death | Trial Lawyer","Brandy Austin Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Berenson Injury Law",
"20+","32.617808709770436","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.617808709770436,32.617808709770436","Law Firm of Roger 'Rocky' Walton, P.C.","Bailey & Galyen Injury and Accident Attorneys","David S. Kohm & Associates","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","David S. Kohm & Associates","Thompson Law Injury Lawyers","The Queenan Law Firm, P.C.","Branch & Dhillon, P.C.","Mullen & Mullen Law Firm","Kraft & Associates, Attorneys at Law, P.C.","Anderson Injury Lawyers","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Chalaki Law","Aulsbrook Car & Truck Wreck Lawyers","Stephens Law Personal Injury | Wrongful Death | Trial Lawyer","Brandy Austin Law Firm","Bailey & Galyen Injury and Accident Attorneys",
"20+","32.63846149147536","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.63846149147536,32.63846149147536","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","Allbee Law Firm","Bailey & Galyen Injury and Accident Attorneys","Aulsbrook Car & Truck Wreck Lawyers","Branch & Dhillon, P.C.","David S. Kohm & Associates","The Queenan Law Firm, P.C.","David S. Kohm & Associates","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Thompson Law Injury Lawyers","Anderson Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Aulsbrook Car & Truck Wreck Lawyers","Chalaki Law","Brandy Austin Law Firm","Bailey & Galyen Injury and Accident Attorneys","LAWBOSS - Uvalle Law Firm, PLLC",
"20+","32.65911427318029","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.65911427318029,32.65911427318029","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Law Firm of Roger 'Rocky' Walton, P.C.","Aulsbrook Car & Truck Wreck Lawyers","Bailey & Galyen Injury and Accident Attorneys","David S. Kohm & Associates","Branch & Dhillon, P.C.","The Queenan Law Firm, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Thompson Law Injury Lawyers","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Anderson Injury Lawyers","Chalaki Law","Bailey & Galyen Injury and Accident Attorneys","Law Office of Brian Hargrove","Brandy Austin Law Firm","Robert C. Slim Law Firm, PLLC",
"20+","32.67976705488522","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.67976705488522,32.67976705488522","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","David S. Kohm & Associates","Branch & Dhillon, P.C.","Aulsbrook Car & Truck Wreck Lawyers","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Bailey & Galyen Injury and Accident Attorneys","The Queenan Law Firm, P.C.","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Thompson Law Injury Lawyers","Anderson Injury Lawyers","Law Office of Brian Hargrove","The Law Office of Allen Cox, P.C.","LAWBOSS - Uvalle Law Firm, PLLC","Robert C. Slim Law Firm, PLLC","Bailey & Galyen Injury and Accident Attorneys",
"20+","32.70041983659014","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.70041983659014,32.70041983659014","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","David S. Kohm & Associates","Branch & Dhillon, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Aulsbrook Car & Truck Wreck Lawyers","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","The Queenan Law Firm, P.C.","Stewart J. Guss, Injury Accident Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","The Law Office of Allen Cox, P.C.","Law Office of Brian Hargrove","Thompson Law Injury Lawyers","Bailey & Galyen Injury and Accident Attorneys","Anderson Injury Lawyers","Law Office of Doug Goyen","Robert C. Slim Law Firm, PLLC",
"20+","32.721072618295075","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.721072618295075,32.721072618295075","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","Aulsbrook Car & Truck Wreck Lawyers","David S. Kohm & Associates","The Law Office of Allen Cox, P.C.","Branch & Dhillon, P.C.","Thompson Law Injury Lawyers","Stewart J. Guss, Injury Accident Lawyers","Law Office of Brian Hargrove","The Queenan Law Firm, P.C.","Jim Ross Law Group, P.C.","Thompson Law Injury Lawyers","Law Office of Doug Goyen","Anderson Injury Lawyers","Robert C. Slim Law Firm, PLLC","LAWBOSS - Uvalle Law Firm, PLLC",
"20+","32.7417254","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.7417254,32.7417254","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Kraft & Associates, Attorneys at Law, P.C.","Law Firm of Roger 'Rocky' Walton, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Aulsbrook Car & Truck Wreck Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","Law Office of Brian Hargrove","Branch & Dhillon, P.C.","Stewart J. Guss, Injury Accident Lawyers","David S. Kohm & Associates","Law Office of Doug Goyen","The Queenan Law Firm, P.C.","Jim Ross Law Group, P.C.","Robert C. Slim Law Firm, PLLC","Thompson Law Injury Lawyers","Anderson Injury Lawyers","Tate Law Offices, PC",
"20+","32.762378181704925","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.762378181704925,32.762378181704925","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Aulsbrook Car & Truck Wreck Lawyers","Kraft & Associates, Attorneys at Law, P.C.","LAWBOSS - Uvalle Law Firm, PLLC","Law Office of Brian Hargrove","David S. Kohm & Associates","Branch & Dhillon, P.C.","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","Law Office of Doug Goyen","Stewart J. Guss, Injury Accident Lawyers","Jim Ross Law Group, P.C.","The Queenan Law Firm, P.C.","The Law Office of Allen Cox, P.C.","McCormick Law Firm","Robert C. Slim Law Firm, PLLC","Tate Law Offices, PC",
"20+","32.78303096340986","-96.99583743063897","https://www.google.com/maps/search/?api=1&query=32.78303096340986,32.78303096340986","Allbee Law Firm","Aulsbrook Car & Truck Wreck Lawyers","LAWBOSS - Uvalle Law Firm, PLLC","Aulsbrook Car & Truck Wreck Lawyers","Kraft & Associates, Attorneys at Law, P.C.","Law Office of Brian Hargrove","David S. Kohm & Associates","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Branch & Dhillon, P.C.","Law Office of Doug Goyen","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Roger 'Rocky' Walton, P.C.","David S. Kohm & Associates","Stewart J. Guss, Injury Accident Lawyers","The Dashner Law Firm, PLLC","Grossman Law Offices","Tate Law Offices, PC","McCormick Law Firm","Jim Ross Law Group, P.C.",
