"Business:","Lovins Trosclair, PLLC,12700 Park Central Dr Suite 520, Dallas, TX 75251"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-12 01:40:12
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.50"
"ATRP:","20.92"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","32.77708572806551","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.77708572806551,32.77708572806551","Kraft & Associates, Attorneys at Law, P.C.","Aulsbrook Car & Truck Wreck Lawyers","Mullen & Mullen Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Thompson Law Injury Lawyers","Allbee Law Firm","Montgomery Law","The Benton Law Firm","Shamieh Law","Law Office of Doug Goyen","David S. Kohm & Associates","LAWBOSS - Uvalle Law Firm, PLLC","Grossman Law Offices Injury & Accident Attorneys","Robert C. Slim Law Firm, PLLC","Rasansky Law Firm","The Barber Law Firm","The Dashner Law Firm, PLLC","Tate Law Offices, PC","Stewart J. Guss, Injury Accident Lawyers","Law Firm of Aaron A. Herbert, P.C.",
"20+","32.79773850977043","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.79773850977043,32.79773850977043","Kraft & Associates, Attorneys at Law, P.C.","David S. Kohm & Associates","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Law Office of Doug Goyen","Montgomery Law","Aulsbrook Car & Truck Wreck Lawyers","Allbee Law Firm","LAWBOSS - Uvalle Law Firm, PLLC","Shamieh Law","The Benton Law Firm","The Dashner Law Firm, PLLC","Grossman Law Offices Injury & Accident Attorneys","Aulsbrook Car & Truck Wreck Lawyers","Robert C. Slim Law Firm, PLLC","Tate Law Offices, PC","Law Firm of Aaron A. Herbert, P.C.","The Barber Law Firm","Stewart J. Guss, Injury Accident Lawyers","Amaro Law Firm Injury & Accident Lawyers",
"20+","32.81839129147536","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.81839129147536,32.81839129147536","LAWBOSS - Uvalle Law Firm, PLLC","Law Office of Doug Goyen","Kraft & Associates, Attorneys at Law, P.C.","The Dashner Law Firm, PLLC","David S. Kohm & Associates","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Grossman Law Offices Injury & Accident Attorneys","Montgomery Law","Allbee Law Firm","Amaro Law Firm Injury & Accident Lawyers","Tate Law Offices, PC","Shamieh Law","The Benton Law Firm","Robert C. Slim Law Firm, PLLC","The Barber Law Firm","Aulsbrook Car & Truck Wreck Lawyers","Law Firm of Aaron A. Herbert, P.C.","Ward Maedgen Accident Attorneys","Lenahan Law Firm",
"20+","32.83904407318029","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.83904407318029,32.83904407318029","David S. Kohm & Associates","LAWBOSS - Uvalle Law Firm, PLLC","The Dashner Law Firm, PLLC","Law Office of Doug Goyen","Kraft & Associates, Attorneys at Law, P.C.","Amaro Law Firm Injury & Accident Lawyers","The Law Office of Jason January, P.C.","Grossman Law Offices Injury & Accident Attorneys","Mullen & Mullen Law Firm","Thompson Law Injury Lawyers","Montgomery Law","Tate Law Offices, PC","Lenahan Law Firm","Shamieh Law","Allbee Law Firm","Law Firm of Aaron A. Herbert, P.C.","The Benton Law Firm","Robert C. Slim Law Firm, PLLC","The Law Offices Of Tim O'Hare","The Kashar Law Firm, P.C.",
"20+","32.859696854885215","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.859696854885215,32.859696854885215","LAWBOSS - Uvalle Law Firm, PLLC","The Dashner Law Firm, PLLC","Law Office of Doug Goyen","Lenahan Law Firm","Kraft & Associates, Attorneys at Law, P.C.","David S. Kohm & Associates","The Law Office of Jason January, P.C.","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Jerry D. Andrews, P.C.","Amaro Law Firm Injury & Accident Lawyers","Thompson Law Injury Lawyers","Mullen & Mullen Law Firm","Montgomery Law","Shamieh Law","The Law Offices Of Tim O'Hare","Law Firm of Aaron A. Herbert, P.C.","The Kashar Law Firm, P.C.","The Benton Law Firm","Robert C. Slim Law Firm, PLLC",
"20+","32.88034963659014","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.88034963659014,32.88034963659014","LAWBOSS - Uvalle Law Firm, PLLC","The Dashner Law Firm, PLLC","Law Office of Doug Goyen","Lenahan Law Firm","Kraft & Associates, Attorneys at Law, P.C.","Grossman Law Offices Injury & Accident Attorneys","The Law Office of Jason January, P.C.","Tate Law Offices, PC","David S. Kohm & Associates","The Law Offices Of Tim O'Hare","Jerry D. Andrews, P.C.","Thompson Law Injury Lawyers","Mullen & Mullen Law Firm","Amaro Law Firm Injury & Accident Lawyers","Bailey & Galyen Injury and Accident Attorneys","Law Firm of Aaron A. Herbert, P.C.","Montgomery Law","The Kashar Law Firm, P.C.","Robert C. Slim Law Firm, PLLC","Ward Maedgen Accident Attorneys",
"20+","32.90100241829507","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.90100241829507,32.90100241829507","LAWBOSS - Uvalle Law Firm, PLLC","The Law Offices Of Tim O'Hare","Lenahan Law Firm","The Dashner Law Firm, PLLC","Bailey & Galyen Injury and Accident Attorneys","Law Office of Doug Goyen","The Law Office of Jason January, P.C.","Jerry D. Andrews, P.C.","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Kraft & Associates, Attorneys at Law, P.C.","Amaro Law Firm Injury & Accident Lawyers","Thompson Law Injury Lawyers","The Kashar Law Firm, P.C.","Mullen & Mullen Law Firm","Law Firm of Aaron A. Herbert, P.C.","David S. Kohm & Associates","Montgomery Law","Ward Maedgen Accident Attorneys","Robert C. Slim Law Firm, PLLC",
"20+","32.9216552","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.9216552,32.9216552","The Law Offices Of Tim O'Hare","LAWBOSS - Uvalle Law Firm, PLLC","Lenahan Law Firm","Bailey & Galyen Injury and Accident Attorneys","The Dashner Law Firm, PLLC","The Law Office of Jason January, P.C.","Law Office of Doug Goyen","Grossman Law Offices Injury & Accident Attorneys","Jerry D. Andrews, P.C.","Tate Law Offices, PC","Kraft & Associates, Attorneys at Law, P.C.","Law Firm of Aaron A. Herbert, P.C.","The Kashar Law Firm, P.C.","Thompson Law Injury Lawyers","Mullen & Mullen Law Firm","Amaro Law Firm Injury & Accident Lawyers","Todd Durham Law Firm","Ward Maedgen Accident Attorneys","Kuzmich Law Firm P.C.","Hartley Law Firm | Personal Injury Lawyer",
"20+","32.94230798170492","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.94230798170492,32.94230798170492","The Law Offices Of Tim O'Hare","Bailey & Galyen Injury and Accident Attorneys","Lenahan Law Firm","The Law Office of Jason January, P.C.","Grossman Law Offices Injury & Accident Attorneys","Jerry D. Andrews, P.C.","Tate Law Offices, PC","LAWBOSS - Uvalle Law Firm, PLLC","Hartley Law Firm | Personal Injury Lawyer","Law Office of Doug Goyen","The Dashner Law Firm, PLLC","Law Firm of Aaron A. Herbert, P.C.","Todd Durham Law Firm","David S. Kohm & Associates","Kraft & Associates, Attorneys at Law, P.C.","The Kashar Law Firm, P.C.","Kuzmich Law Firm P.C.","Chalaki Law","Thompson Law Injury Lawyers","Ward Maedgen Accident Attorneys",
"20+","32.96296076340985","-96.94789165830858","https://www.google.com/maps/search/?api=1&query=32.96296076340985,32.96296076340985","The Law Offices Of Tim O'Hare","Lenahan Law Firm","Bailey & Galyen Injury and Accident Attorneys","The Law Office of Jason January, P.C.","Grossman Law Offices Injury & Accident Attorneys","Tate Law Offices, PC","Jerry D. Andrews, P.C.","Todd Durham Law Firm","Hartley Law Firm | Personal Injury Lawyer","Kuzmich Law Firm P.C.","Law Firm of Aaron A. Herbert, P.C.","Hudson Law Firm","David S. Kohm & Associates","Chalaki Law","LAWBOSS - Uvalle Law Firm, PLLC","Kraft & Associates, Attorneys at Law, P.C.","Mullen & Mullen Law Firm","The Dashner Law Firm, PLLC","Zinda Law Group","Ward Maedgen Accident Attorneys",
