"Business:","Douglas S. Dovitz Personal Injury Attorney,3280 E Thirteen Mile Rd, Warren, MI 48092"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 22:45:43
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.55"
"ATRP:","18.31"
"SoLV:","3.56"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","42.37538912806551","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.37538912806551,42.37538912806551","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Majed A Moughni Law Offices","Goodman Acker P.C.","Mike Morse Injury Law Firm","Christensen Law","Michigan Auto Law","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","EBIL Personal Injury Lawyer","Michigan Auto Law - Auto Accident Attorneys","Greg Monforton & Partners","Michigan Injury Lawyers","Elia & Ponto PLLC","Davis Injury Lawyers, PLLC","Law Offices of Jason A Waechter","Law Offices of Lee Steinberg, P.C.","Steven M. Gursten, Attorney at Law","Buckfire & Buckfire, P.C.",
"20+","42.39604190977043","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.39604190977043,42.39604190977043","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Goodman Acker P.C.","Mike Morse Injury Law Firm","Majed A Moughni Law Offices","Christensen Law","Davis Injury Lawyers, PLLC","Michigan Auto Law","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","EBIL Personal Injury Lawyer","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Consultants","Michigan Injury Lawyers","Elia & Ponto PLLC","Injury Lawyer in Detroit","Bezaire & Associates","Christensen Law","Greg Monforton & Partners",
"20+","42.41669469147536","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.41669469147536,42.41669469147536","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Goodman Acker P.C.","Mike Morse Injury Law Firm","Christensen Law","Davis Injury Lawyers, PLLC","Majed A Moughni Law Offices","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","Michigan Auto Law","Michigan Auto Law - Auto Accident Attorneys","EBIL Personal Injury Lawyer","Elia & Ponto PLLC","Ravid & Associates, P.C.","Michigan Injury Lawyers","Law Offices of Jason A Waechter","Auto Accident Consultants","Steven M. Gursten, Attorney at Law","Christensen Law",
"20+","42.43734747318029","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.43734747318029,42.43734747318029","Auto Accident Attorneys, PLLC","Mike Morse Injury Law Firm","Goodman Acker P.C.","Christensen Law","Michigan Auto Law - Auto Accident Attorneys","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Elia & Ponto PLLC","Buckfire & Buckfire, P.C.","Ravid & Associates, P.C.","Law Offices of Jason A Waechter","Michigan Auto Law - Auto Accident Attorneys","Law Offices of Lee Steinberg, P.C.","Michigan Auto Law","Majed A Moughni Law Offices","Lipton Law","Michigan Injury Lawyers","Steven M. Gursten, Attorney at Law","Thurswell Law","EBIL Personal Injury Lawyer","Morgan & Morgan",
"20+","42.458000254885214","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.458000254885214,42.458000254885214","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Mike Morse Injury Law Firm","Christensen Law","Goodman Acker P.C.","Buckfire & Buckfire, P.C.","Elia & Ponto PLLC","Law Offices of Lee Steinberg, P.C.","Morgan & Morgan","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Ravid & Associates, P.C.","LegalGenius, PLLC","Steven M. Gursten, Attorney at Law","Lawrence J. Buckfire","Auto Accident Consultants","Law Offices of Jason A Waechter","Matz Injury Law","Thurswell Law","Lipton Law","Michigan Auto Law - Auto Accident Attorneys",
"20+","42.47865303659014","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.47865303659014,42.47865303659014","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Christensen Law","Mike Morse Injury Law Firm","Goodman Acker P.C.","Buckfire & Buckfire, P.C.","Elia & Ponto PLLC","Law Offices of Lee Steinberg, P.C.","Morgan & Morgan","Steven M. Gursten, Attorney at Law","LegalGenius, PLLC","Lawrence J. Buckfire","Davis Law Center","Law Offices of Jason A Waechter","Auto Accident Consultants","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Ravid & Associates, P.C.","Lipton Law","Thurswell Law","Kevin H. Seiferheld",
"20+","42.49930581829507","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.49930581829507,42.49930581829507","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Attorneys, PLLC","Christensen Law","Goodman Acker P.C.","Mike Morse Injury Law Firm","Buckfire & Buckfire, P.C.","Law Offices of Lee Steinberg, P.C.","Elia & Ponto PLLC","Steven M. Gursten, Attorney at Law","Morgan & Morgan","Davis Law Center","Lawrence J. Buckfire","LegalGenius, PLLC","Auto Accident Consultants","Law Offices of Jason A Waechter","Ravid & Associates, P.C.","Michigan Auto Law - Auto Accident Attorneys","Kevin H. Seiferheld","Moss & Colella PC","Michigan Injury Lawyers",
"20+","42.519958599999995","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.519958599999995,42.519958599999995","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Attorneys, PLLC","Goodman Acker P.C.","Christensen Law","Buckfire & Buckfire, P.C.","Mike Morse Injury Law Firm","Law Offices of Lee Steinberg, P.C.","Elia & Ponto PLLC","Steven M. Gursten, Attorney at Law","Davis Law Center","Lawrence J. Buckfire","Morgan & Morgan","Michigan Injury Lawyers","Michigan Auto Law - Auto Accident Attorneys","Metro Detroit Injury Lawyers","LegalGenius, PLLC","Law Offices of Jason A Waechter","Kevin H. Seiferheld","The Uber Lawyer - Uber & Lyft Accident Attorneys","Moss & Colella PC",
"20+","42.54061138170492","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.54061138170492,42.54061138170492","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Attorneys, PLLC","Buckfire & Buckfire, P.C.","Metro Detroit Injury Lawyers","Michigan Injury Lawyers","Christensen Law","Goodman Acker P.C.","Steven M. Gursten, Attorney at Law","Law Offices of Lee Steinberg, P.C.","Mike Morse Injury Law Firm","Davis Law Center","Lawrence J. Buckfire","Michigan Auto Law - Auto Accident Attorneys","The Uber Lawyer - Uber & Lyft Accident Attorneys","Kevin H. Seiferheld","Elia & Ponto PLLC","The Sam Bernstein Law Firm","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Marshall Lasser, PC","The Michigan Law Firm, PC",
"20+","42.56126416340985","-83.27058052602507","https://www.google.com/maps/search/?api=1&query=42.56126416340985,42.56126416340985","Michigan Auto Law - Auto Accident Attorneys","Michigan Injury Lawyers","Metro Detroit Injury Lawyers","Auto Accident Attorneys, PLLC","Buckfire & Buckfire, P.C.","Goodman Acker P.C.","Michigan Auto Law - Auto Accident Attorneys","Christensen Law","Gregory M Janks, PC","Mike Morse Injury Law Firm","Steven M. Gursten, Attorney at Law","Davis Law Center","The Uber Lawyer - Uber & Lyft Accident Attorneys","Law Offices of Lee Steinberg, P.C.","The Sam Bernstein Law Firm","Elia & Ponto PLLC","Lawrence J. Buckfire","The Michigan Law Firm, PC","The Law Offices of Marc J. Shefman","Law Offices of James O. Elliott",
