"Business:","The Reizen Law Group,333 W 7th St #360, Royal Oak, MI 48067"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 22:26:32
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.33"
"ATRP:","18.96"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","42.339974728065506","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.339974728065506,42.339974728065506","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Majed A Moughni Law Offices","Goodman Acker P.C.","Michigan Auto Law - Auto Accident Attorneys","Mike Morse Injury Law Firm","Davis Injury Lawyers, PLLC","Injury Lawyer in Detroit","Michigan Auto Law - Auto Accident Attorneys","Downriver Injury & Auto Law","Michigan Auto Law","Christensen Law","Law Offices of Kurt M. Schultz, PLLC","EBIL Personal Injury Lawyer","Buckfire & Buckfire, P.C.","Michigan Injury Lawyers","Bezaire & Associates","Greg Monforton & Partners","Vahdat Weisman Law",
"20+","42.36062750977043","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.36062750977043,42.36062750977043","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Majed A Moughni Law Offices","Goodman Acker P.C.","Mike Morse Injury Law Firm","Michigan Auto Law - Auto Accident Attorneys","Christensen Law","Davis Injury Lawyers, PLLC","Michigan Auto Law - Auto Accident Attorneys","Michigan Auto Law","Injury Lawyer in Detroit","Law Offices of Kurt M. Schultz, PLLC","Buckfire & Buckfire, P.C.","Downriver Injury & Auto Law","EBIL Personal Injury Lawyer","Vahdat Weisman Law","Michigan Injury Lawyers","Bezaire & Associates","Greg Monforton & Partners",
"20+","42.381280291475356","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.381280291475356,42.381280291475356","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Auto Accident Attorneys, PLLC","Michigan Auto Law - Auto Accident Attorneys","Majed A Moughni Law Offices","Goodman Acker P.C.","Mike Morse Injury Law Firm","Christensen Law","Vahdat Weisman Law","Michigan Auto Law - Auto Accident Attorneys","Michigan Auto Law - Auto Accident Attorneys","Davis Injury Lawyers, PLLC","Michigan Auto Law","Buckfire & Buckfire, P.C.","Law Offices of Kurt M. Schultz, PLLC","Injury Lawyer in Detroit","EBIL Personal Injury Lawyer","Michigan Injury Lawyers","Downriver Injury & Auto Law","Bezaire & Associates","Steven M. Gursten, Attorney at Law",
"20+","42.40193307318029","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.40193307318029,42.40193307318029","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Attorneys, PLLC","Goodman Acker P.C.","Mike Morse Injury Law Firm","Christensen Law","Majed A Moughni Law Offices","Buckfire & Buckfire, P.C.","Vahdat Weisman Law","Michigan Auto Law - Auto Accident Attorneys","Michigan Auto Law - Auto Accident Attorneys","Davis Injury Lawyers, PLLC","Michigan Auto Law","Law Offices of Kurt M. Schultz, PLLC","Michigan Injury Lawyers","EBIL Personal Injury Lawyer","Injury Lawyer in Detroit","Steven M. Gursten, Attorney at Law","Law Offices of Lee Steinberg, P.C.","Elia & Ponto PLLC",
"20+","42.42258585488521","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.42258585488521,42.42258585488521","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Michigan Auto Law - Auto Accident Attorneys","Auto Accident Attorneys, PLLC","Christensen Law","Mike Morse Injury Law Firm","Goodman Acker P.C.","Buckfire & Buckfire, P.C.","Vahdat Weisman Law","Majed A Moughni Law Offices","Elia & Ponto PLLC","Steven M. Gursten, Attorney at Law","Michigan Auto Law - Auto Accident Attorneys","Law Offices of Lee Steinberg, P.C.","Davis Injury Lawyers, PLLC","Michigan Auto Law","Law Offices of Kurt M. Schultz, PLLC","Michigan Auto Law - Auto Accident Attorneys","Michigan Injury Lawyers","Davis Law Center","Lawrence J. Buckfire",
"20+","42.44323863659014","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.44323863659014,42.44323863659014","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Michigan Auto Law - Auto Accident Attorneys","Christensen Law","Auto Accident Attorneys, PLLC","Mike Morse Injury Law Firm","Buckfire & Buckfire, P.C.","Goodman Acker P.C.","Vahdat Weisman Law","Steven M. Gursten, Attorney at Law","Law Offices of Lee Steinberg, P.C.","Lawrence J. Buckfire","Elia & Ponto PLLC","Michigan Injury Lawyers","Davis Law Center","Majed A Moughni Law Offices","Michigan Auto Law - Auto Accident Attorneys","Davis Injury Lawyers, PLLC","Michigan Auto Law","Michigan Auto Law - Auto Accident Attorneys","Morgan & Morgan",
"20+","42.46389141829507","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.46389141829507,42.46389141829507","Michigan Auto Law - Auto Accident Attorneys","Christensen Law","Buckfire & Buckfire, P.C.","Auto Accident Attorneys, PLLC","Steven M. Gursten, Attorney at Law","Mike Morse Injury Law Firm","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Law Offices of Lee Steinberg, P.C.","Davis Law Center","Lawrence J. Buckfire","Goodman Acker P.C.","Kevin H. Seiferheld","Vahdat Weisman Law","Michigan Injury Lawyers","Elia & Ponto PLLC","Michigan Auto Law - Auto Accident Attorneys","Moss & Colella PC","Majed A Moughni Law Offices","Giroux Trial Attorneys","The Sam Bernstein Law Firm",
"20+","42.484544199999995","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.484544199999995,42.484544199999995","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","Christensen Law","Auto Accident Attorneys, PLLC","Davis Law Center","Lawrence J. Buckfire","Mike Morse Injury Law Firm","Law Offices of Lee Steinberg, P.C.","Kevin H. Seiferheld","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Goodman Acker P.C.","The Sam Bernstein Law Firm","Michigan Injury Lawyers","Elia & Ponto PLLC","Michigan Auto Law - Auto Accident Attorneys","Moss & Colella PC","Metro Detroit Injury Lawyers","Giroux Trial Attorneys","Kajy Law Firm, PLLC - Personal Injury Attorneys","Majed A Moughni Law Offices",
"20+","42.50519698170492","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.50519698170492,42.50519698170492","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","Christensen Law","Steven M. Gursten, Attorney at Law","Auto Accident Attorneys, PLLC","Davis Law Center","Lawrence J. Buckfire","Law Offices of Lee Steinberg, P.C.","Mike Morse Injury Law Firm","The Sam Bernstein Law Firm","Kevin H. Seiferheld","Michigan Injury Lawyers","Goodman Acker P.C.","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Michigan Auto Law - Auto Accident Attorneys","Kajy Law Firm, PLLC - Personal Injury Attorneys","Elia & Ponto PLLC","Metro Detroit Injury Lawyers","Moss & Colella PC","Gordon & Pont",
"20+","42.52584976340985","-83.34340275381936","https://www.google.com/maps/search/?api=1&query=42.52584976340985,42.52584976340985","Michigan Auto Law - Auto Accident Attorneys","Buckfire & Buckfire, P.C.","Christensen Law","Steven M. Gursten, Attorney at Law","Auto Accident Attorneys, PLLC","Davis Law Center","The Sam Bernstein Law Firm","Law Offices of Lee Steinberg, P.C.","Mike Morse Injury Law Firm","Lawrence J. Buckfire","Michigan Injury Lawyers","Kevin H. Seiferheld","Goodman Acker P.C.","Metro Detroit Injury Lawyers","Kajy Law Firm, PLLC - Personal Injury Attorneys","Michigan Auto Law - Auto Accident Attorneys","Cochran, Kroll & Associates, P.C. -Personal Injury & Medical Malpractice Attorney in Michigan, Nurse Attorney Michigan, Car Accident Attorney Michigan, Hernia Mesh Lawsuit","Abrahams Law","Elia & Ponto PLLC","Moss & Colella PC",
