"Business:","Schechter, McElwee, Shaffer & Harris, LLP,3200 Travis St #300, Houston, TX 77006"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 13:06:13
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.12"
"ATRP:","12.40"
"SoLV:","8.89"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"16","29.597599528065505","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.597599528065505,29.597599528065505","Reed & Terry, L.L.P.","Lone Star Injury Attorneys (MTP Law)","Zehl & Associates Injury & Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","The Stephens Law Firm Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Maida Law Firm - Injury & Auto Accident Attorneys of Houston","The Stephens Law Firm Accident Lawyers","Stewart J. Guss, Injury Accident Lawyers","Pusch & Nguyen Accident Injury Lawyers","Ben Bronston & Associates Accident and Injury Law","Schechter, McElwee, Shaffer & Harris, LLP","Charles J. Argento & Associates","Amaro Law Firm","Jim Adler & Associates","Reyna Law Firm",
"20+","29.618252309770433","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.618252309770433,29.618252309770433","Lone Star Injury Attorneys (MTP Law)","Reed & Terry, L.L.P.","Reyna Law Firm","Zehl & Associates Injury & Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Sutliff & Stout Injury & Accident Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Maggie Solomon Auto Accident Attorney","Amaro Law Firm Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Pines & Goldenzweig, PLLC","Sneed|Mitchell LLP - Houston Car Accident Lawyers Near You","The León Law Firm, P.C.","Ben Bronston & Associates Accident and Injury Law","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","Taylor Law Firm","The Stephens Law Firm Accident Lawyers","Stewart J. Guss, Injury Accident Lawyers","Jim Adler & Associates",
"20+","29.638905091475362","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.638905091475362,29.638905091475362","Reyna Law Firm","Lone Star Injury Attorneys (MTP Law)","Reed & Terry, L.L.P.","Maggie Solomon Auto Accident Attorney","Zehl & Associates Injury & Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Sutliff & Stout Injury & Accident Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Amaro Law Firm Injury & Accident Lawyers","Pines & Goldenzweig, PLLC","Sneed|Mitchell LLP - Houston Car Accident Lawyers Near You","Ben Bronston & Associates Accident and Injury Law","Taylor Law Firm","Terry Bryant Accident & Injury Lawyers","Sandoval Law Firm, PLLC","Johnson Garcia LLP","Stewart J. Guss, Injury Accident Lawyers","The León Law Firm, P.C.",
"20+","29.659557873180287","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.659557873180287,29.659557873180287","Maida Law Firm - Injury & Auto Accident Attorneys of Houston","Zehl & Associates Injury & Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Reyna Law Firm","Reed & Terry, L.L.P.","Sutliff & Stout Injury & Accident Law Firm","Lone Star Injury Attorneys (MTP Law)","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Ben Bronston & Associates Accident and Injury Law","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Sandoval Law Firm, PLLC","Terry Bryant Accident & Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Jim Adler & Associates","Charles J. Argento & Associates","Stewart J. Guss, Injury Accident Lawyers","D. Miller & Associates, PLLC","Law Offices of Willie D Powells III and Associates, PLLC","The Stephens Law Firm Accident Lawyers",
"20+","29.680210654885215","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.680210654885215,29.680210654885215","Zehl & Associates Injury & Accident Lawyers","Reyna Law Firm","Maida Law Firm - Injury & Auto Accident Attorneys of Houston","Lone Star Injury Attorneys (MTP Law)","Sutliff & Stout Injury & Accident Law Firm","Attorney Brian White Personal Injury Lawyers","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Sandoval Law Firm, PLLC","Reed & Terry, L.L.P.","Ben Bronston & Associates Accident and Injury Law","D. Miller & Associates, PLLC","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Johnson Garcia LLP","Terry Bryant Accident & Injury Lawyers","Maadani Law","Milano Legal Group, PLLC","Jim Adler & Associates","B. L. Jensen, L.P.","Law Offices of Willie D Powells III and Associates, PLLC",
"20+","29.700863436590144","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.700863436590144,29.700863436590144","Zehl & Associates Injury & Accident Lawyers","Maida Law Firm - Injury & Auto Accident Attorneys of Houston","Sutliff & Stout Injury & Accident Law Firm","D. Miller & Associates, PLLC","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Jim Adler & Associates","Attorney Brian White Personal Injury Lawyers","The Stephens Law Firm Accident Lawyers","Ben Bronston & Associates Accident and Injury Law","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","Lone Star Injury Attorneys (MTP Law)","Milano Legal Group, PLLC","Charles J. Argento & Associates","Pusch & Nguyen Accident Injury Lawyers","McDonald Worley PC","Johnson Garcia LLP","Sandoval Law Firm, PLLC","Law Offices of Willie D Powells III and Associates, PLLC","Reyna Law Firm",
"20+","29.72151621829507","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.72151621829507,29.72151621829507","Zehl & Associates Injury & Accident Lawyers","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","D. Miller & Associates, PLLC","Sutliff & Stout Injury & Accident Law Firm","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","Jim Adler & Associates","Maggie Solomon Auto Accident Attorney","Attorney Brian White Personal Injury Lawyers","Ben Bronston & Associates Accident and Injury Law","Reyna Law Firm","Law Office Of Shane R. Kadlec: Personal Injury Lawyer Houston, TX","Johnson Garcia LLP","Milano Legal Group, PLLC","Maadani Law","Ivey Law Firm, P.C., Injury & Accident Lawyers","The Helen Hsu Law Firm, PLLC","Charles J. Argento & Associates","Amaro Law Firm",
"20+","29.742168999999997","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.742168999999997,29.742168999999997","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Zehl & Associates Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","D. Miller & Associates, PLLC","Sutliff & Stout Injury & Accident Law Firm","Law Office Of Shane R. Kadlec: Personal Injury Lawyer Houston, TX","Ivey Law Firm, P.C., Injury & Accident Lawyers","Jim Adler & Associates","Attorney Brian White Personal Injury Lawyers","Maggie Solomon Auto Accident Attorney","Ben Bronston & Associates Accident and Injury Law","Milano Legal Group, PLLC","Maadani Law","Charles J. Argento & Associates","The Helen Hsu Law Firm, PLLC","Stewart J. Guss, Injury Accident Lawyers","Johnson Garcia LLP","Tate Law Offices, PC",
"20+","29.762821781704925","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.762821781704925,29.762821781704925","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Zehl & Associates Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","Law Office Of Shane R. Kadlec: Personal Injury Lawyer Houston, TX","Sutliff & Stout Injury & Accident Law Firm","Ivey Law Firm, P.C., Injury & Accident Lawyers","D. Miller & Associates, PLLC","Jim Adler & Associates","Attorney Brian White Personal Injury Lawyers","Ben Bronston & Associates Accident and Injury Law","Milano Legal Group, PLLC","Amaro Law Firm","Charles J. Argento & Associates","Maadani Law","Stewart J. Guss, Injury Accident Lawyers","Tate Law Offices, PC","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","B. L. Jensen, L.P.",
"20+","29.78347456340985","-95.54495954549384","https://www.google.com/maps/search/?api=1&query=29.78347456340985,29.78347456340985","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Zehl & Associates Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Law Office Of Shane R. Kadlec: Personal Injury Lawyer Houston, TX","Ivey Law Firm, P.C., Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Jim Adler & Associates","D. Miller & Associates, PLLC","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Attorney Brian White Personal Injury Lawyers","Amaro Law Firm","Ben Bronston & Associates Accident and Injury Law","Charles J. Argento & Associates","Milano Legal Group, PLLC","Gomez Law Firm","Stewart J. Guss, Injury Accident Lawyers","Maadani Law","Tate Law Offices, PC",
