"Business:","Gary S Tucker & Associates,650 N Sam Houston Pkwy E suite 200, Houston, TX 77060"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-12 15:40:33
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","9.13"
"ATRP:","18.15"
"SoLV:","7.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","29.792939328065508","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.792939328065508,29.792939328065508","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Fleming Law Personal Injury Attorney - Houston","Zehl & Associates Injury & Accident Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Husain Law + Associates Accident Attorneys","Sutliff & Stout Injury & Accident Law Firm","Law Office of Shane R. Kadlec","D. Miller & Associates, PLLC","The West Law Office, PLLC","Gomez Law Firm","Amaro Law Firm Injury & Accident Lawyers","Milano Legal Group, PLLC","Attorney Brian White Personal Injury Lawyers","Charles J. Argento & Associates","Livingston & Flowers, P.L.L.C.","Stewart J. Guss, Injury Accident Lawyers","Tate Law Offices, PC",
"20+","29.813592109770436","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.813592109770436,29.813592109770436","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Terry Bryant Accident & Injury Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Zehl & Associates Injury & Accident Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Law Office of Shane R. Kadlec","Gomez Law Firm","The West Law Office, PLLC","Amaro Law Firm Injury & Accident Lawyers","Charles J. Argento & Associates","Stewart J. Guss, Injury Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Husain Law + Associates Accident Attorneys","D. Miller & Associates, PLLC","Baumgartner Law Firm","Jim Adler & Associates","The Stephens Law Firm Accident Lawyers",
"20+","29.834244891475365","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.834244891475365,29.834244891475365","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Fleming Law Personal Injury Attorney - Houston","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Zehl & Associates Injury & Accident Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Stewart J. Guss, Injury Accident Lawyers","Amaro Law Firm Injury & Accident Lawyers","Law Office of Shane R. Kadlec","Charles J. Argento & Associates","Baumgartner Law Firm","Attorney Brian White Personal Injury Lawyers","The West Law Office, PLLC","Husain Law + Associates Accident Attorneys","The Stephens Law Firm Accident Lawyers","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Sloan Firm","Jim Adler & Associates",
"20+","29.85489767318029","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.85489767318029,29.85489767318029","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","The Stephens Law Firm Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Stewart J. Guss, Injury Accident Lawyers","Zehl & Associates Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Baumgartner Law Firm","Amaro Law Firm Injury & Accident Lawyers","Charles J. Argento & Associates","Ivey Law Firm, P.C., Injury & Accident Lawyers","Sloan Firm","The West Law Office, PLLC","Gomez Law Firm","Attorney Brian White Personal Injury Lawyers","The Stephens Law Firm Accident Lawyers","Law Office of Shane R. Kadlec","Husain Law + Associates Accident Attorneys","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys",
"20+","29.875550454885218","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.875550454885218,29.875550454885218","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Stewart J. Guss, Injury Accident Lawyers","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Baumgartner Law Firm","The Stephens Law Firm Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Fleming Law Personal Injury Attorney - Houston","Amaro Law Firm Injury & Accident Lawyers","Zehl & Associates Injury & Accident Lawyers","Charles J. Argento & Associates","Sutliff & Stout Injury & Accident Law Firm","Sloan Firm","The Stephens Law Firm Accident Lawyers","Attorney Brian White Personal Injury Lawyers","The West Law Office, PLLC","Ivey Law Firm, P.C., Injury & Accident Lawyers","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Office of Shane R. Kadlec","Husain Law + Associates Accident Attorneys","Law Offices of Alexander M. Gurevich PC",
"20+","29.896203236590146","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.896203236590146,29.896203236590146","Stewart J. Guss, Injury Accident Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Baumgartner Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","The Stephens Law Firm Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Charles J. Argento & Associates","Zehl & Associates Injury & Accident Lawyers","Sutliff & Stout Injury & Accident Law Firm","Sloan Firm","The Stephens Law Firm Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers","The West Law Office, PLLC","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Offices of Alexander M. Gurevich PC","Husain Law + Associates Accident Attorneys","Smith & Hassler",
"20+","29.91685601829507","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.91685601829507,29.91685601829507","Stewart J. Guss, Injury Accident Lawyers","Baumgartner Law Firm","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","The Stephens Law Firm Accident Lawyers","Charles J. Argento & Associates","Amaro Law Firm Injury & Accident Lawyers","Zehl & Associates Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Sutliff & Stout Injury & Accident Law Firm","Sloan Firm","The Stephens Law Firm Accident Lawyers","Attorney Brian White Personal Injury Lawyers","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Offices of Alexander M. Gurevich PC","Smith & Hassler","Husain Law + Associates Accident Attorneys","Stewart J. Guss, Injury Accident Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers",
"20+","29.9375088","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.9375088,29.9375088","Stewart J. Guss, Injury Accident Lawyers","Baumgartner Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","The Stephens Law Firm Accident Lawyers","Charles J. Argento & Associates","Zehl & Associates Injury & Accident Lawyers","Amaro Law Firm Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Fleming Law Personal Injury Attorney - Houston","Sloan Firm","Sutliff & Stout Injury & Accident Law Firm","The Stephens Law Firm Accident Lawyers","O'Hara Law Firm","Attorney Brian White Personal Injury Lawyers","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Offices of Alexander M. Gurevich PC","The West Law Office, PLLC","Smith & Hassler","Matthew Bonilla, Attorney at Law",
"20+","29.95816158170493","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.95816158170493,29.95816158170493","Stewart J. Guss, Injury Accident Lawyers","Baumgartner Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","The Stephens Law Firm Accident Lawyers","Charles J. Argento & Associates","Zehl & Associates Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","Amaro Law Firm Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Sutliff & Stout Injury & Accident Law Firm","The Stephens Law Firm Accident Lawyers","O'Hara Law Firm","Attorney Brian White Personal Injury Lawyers","Sloan Firm","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Offices of Alexander M. Gurevich PC","Stewart J. Guss, Injury Accident Lawyers","Ivey Law Firm, P.C., Injury & Accident Lawyers","The West Law Office, PLLC",
"20+","29.978814363409853","-95.55639999333073","https://www.google.com/maps/search/?api=1&query=29.978814363409853,29.978814363409853","Stewart J. Guss, Injury Accident Lawyers","Baumgartner Law Firm","Simmons and Fletcher, P.C., Injury & Accident Lawyers","Attorney Reshard Alexander - Big Rig Bull Texas Truck Accident Lawyer","The Stephens Law Firm Accident Lawyers","Charles J. Argento & Associates","Zehl & Associates Injury & Accident Lawyers","Terry Bryant Accident & Injury Lawyers","O'Hara Law Firm","Amaro Law Firm Injury & Accident Lawyers","Fleming Law Personal Injury Attorney - Houston","Sutliff & Stout Injury & Accident Law Firm","The Stephens Law Firm Accident Lawyers","Attorney Brian White Personal Injury Lawyers","The Leigh Law Firm","Schechter, Shaffer & Harris, LLP – Accident & Injury Attorneys","Law Offices of Alexander M. Gurevich PC","Amaro Law Firm Injury & Accident Lawyers","Sloan Firm","Stewart J. Guss, Injury Accident Lawyers",
