"Business:","The Lawrence Law Group,1301 Riverplace Blvd #1630, Jacksonville, FL 32207"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 10:26:47
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","13.22"
"ATRP:","13.28"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"19","30.174749528065508","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.174749528065508,30.174749528065508","Harrell and Harrell, P.A.","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Jacksonville Personal Injury Attorney","Harrell & Harrell P.A.","Pajcic & Pajcic","1-800-INJURED","Clay County Personal Injury Attorney","Abbott Law Group, P.A.","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","John Fagan","John Fagan","Abogado de Accidentes Inc.","The Pendas Law Firm","The Lawrence Law Group","Morgan & Morgan",
"15","30.195402309770436","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.195402309770436,30.195402309770436","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Harrell and Harrell, P.A.","Farah & Farah","Farah & Farah","Jacksonville Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Harrell & Harrell P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","Clay County Personal Injury Attorney","Abbott Law Group, P.A.","The Lawrence Law Group","The Pendas Law Firm","John Fagan","Morgan & Morgan","Abogado de Accidentes Inc.","Merritt & Merritt Law Firm",
"14","30.216055091475365","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.216055091475365,30.216055091475365","David Alan Wolf, Personal Injury Attorney","Jacksonville Personal Injury Attorney","Henry Gare Personal Injury Attorney","Farah & Farah","Harrell and Harrell, P.A.","The Law Firm of Anidjar & Levine, P.A.","Farah & Farah","Pajcic & Pajcic","Harrell & Harrell P.A.","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","Abbott Law Group, P.A.","The Lawrence Law Group","The Pendas Law Firm","Morgan & Morgan","Clay County Personal Injury Attorney","Henry Gare Personal Injury Attorney","John Fagan","Abogado de Accidentes Inc.",
"14","30.23670787318029","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.23670787318029,30.23670787318029","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Farah & Farah","Rubenstein Law Personal Injury Lawyer","Harrell & Harrell P.A.","Henry Gare Personal Injury Attorney","Florin Roebig, P.A.","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Abbott Law Group, P.A.","Merritt & Merritt Law Firm","Clay County Personal Injury Attorney","John Fagan",
"14","30.25736065488522","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.25736065488522,30.25736065488522","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Farah & Farah","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Henry Gare Personal Injury Attorney","Harrell & Harrell P.A.","Florin Roebig, P.A.","Farah & Farah","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Abbott Law Group, P.A.","Merritt & Merritt Law Firm","John Fagan","Fasig | Brooks",
"13","30.278013436590147","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.278013436590147,30.278013436590147","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Farah & Farah","Henry Gare Personal Injury Attorney","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Henry Gare Personal Injury Attorney","Rubenstein Law Personal Injury Lawyer","Harrell & Harrell P.A.","Florin Roebig, P.A.","The Lawrence Law Group","Morgan & Morgan","Farah & Farah","The Pendas Law Firm","Merritt & Merritt Law Firm","Abbott Law Group, P.A.","Harrell and Harrell, P.A.","Fasig | Brooks",
"12","30.29866621829507","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.29866621829507,30.29866621829507","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Farah & Farah","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Henry Gare Personal Injury Attorney","Harrell & Harrell P.A.","Florin Roebig, P.A.","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Harrell and Harrell, P.A.","Harrell and Harrell, P.A.","Merritt & Merritt Law Firm","Abbott Law Group, P.A.","Farah & Farah","Fasig | Brooks",
"12","30.319319","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.319319,30.319319","Jacksonville Personal Injury Attorney","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Henry Gare Personal Injury Attorney","Florin Roebig, P.A.","Harrell & Harrell P.A.","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Harrell and Harrell, P.A.","Merritt & Merritt Law Firm","Fasig | Brooks","Law Offices of Sheftall & Associates","Abbott Law Group, P.A.","Harrell and Harrell, P.A.",
"12","30.33997178170493","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.33997178170493,30.33997178170493","Jacksonville Personal Injury Attorney","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","Henry Gare Personal Injury Attorney","Harrell & Harrell P.A.","The Lawrence Law Group","Morgan & Morgan","Harrell and Harrell, P.A.","The Pendas Law Firm","Merritt & Merritt Law Firm","Fasig | Brooks","Law Offices of Sheftall & Associates","Abbott Law Group, P.A.","North Florida Injury Lawyer",
"10","30.360624563409853","-81.82384592746432","https://www.google.com/maps/search/?api=1&query=30.360624563409853,30.360624563409853","Jacksonville Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Henry Gare Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","The Lawrence Law Group","Harrell & Harrell P.A.","Morgan & Morgan","Harrell and Harrell, P.A.","The Pendas Law Firm","Merritt & Merritt Law Firm","Fasig | Brooks","Law Offices of Sheftall & Associates","Henry Gare Personal Injury Attorney","North Florida Injury Lawyer","The Haymond Law Firm",
