"Business:","The Pendas Law Firm,3250 Beach Blvd, Jacksonville, FL 32207"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 10:28:25
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.73"
"ATRP:","12.80"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"18","30.159175728065506","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.159175728065506,30.159175728065506","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Farah & Farah","Harrell & Harrell P.A.","The Law Firm of Anidjar & Levine, P.A.","Jacksonville Personal Injury Attorney","Clay County Personal Injury Attorney","John Fagan","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Abogado de Accidentes Inc.","Abbott Law Group, P.A.","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","John Fagan","The Pendas Law Firm","The Lawrence Law Group","Morgan & Morgan",
"17","30.179828509770434","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.179828509770434,30.179828509770434","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Harrell and Harrell, P.A.","Henry Gare Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Jacksonville Personal Injury Attorney","Harrell & Harrell P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","John Fagan","Clay County Personal Injury Attorney","Abbott Law Group, P.A.","Abogado de Accidentes Inc.","Florin Roebig, P.A.","The Pendas Law Firm","The Lawrence Law Group","Morgan & Morgan","John Fagan",
"18","30.200481291475363","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.200481291475363,30.200481291475363","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Harrell and Harrell, P.A.","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Jacksonville Personal Injury Attorney","Harrell & Harrell P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","John Fagan","Florin Roebig, P.A.","Abbott Law Group, P.A.","Abogado de Accidentes Inc.","Clay County Personal Injury Attorney","The Lawrence Law Group","The Pendas Law Firm","Morgan & Morgan","Merritt & Merritt Law Firm",
"16","30.221134073180288","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.221134073180288,30.221134073180288","David Alan Wolf, Personal Injury Attorney","Farah & Farah","Henry Gare Personal Injury Attorney","Jacksonville Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Harrell & Harrell P.A.","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","John Fagan","The Lawrence Law Group","Abbott Law Group, P.A.","The Pendas Law Firm","Morgan & Morgan","Abogado de Accidentes Inc.","Henry Gare Personal Injury Attorney","Merritt & Merritt Law Firm",
"16","30.241786854885216","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.241786854885216,30.241786854885216","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","Farah & Farah","The Law Firm of Anidjar & Levine, P.A.","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Harrell & Harrell P.A.","Henry Gare Personal Injury Attorney","Florin Roebig, P.A.","Farah & Farah","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Abbott Law Group, P.A.","John Fagan","Merritt & Merritt Law Firm","Abogado de Accidentes Inc.",
"16","30.262439636590145","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.262439636590145,30.262439636590145","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Farah & Farah","Harrell and Harrell, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Henry Gare Personal Injury Attorney","Florin Roebig, P.A.","Harrell & Harrell P.A.","The Lawrence Law Group","Morgan & Morgan","Farah & Farah","The Pendas Law Firm","Merritt & Merritt Law Firm","Abbott Law Group, P.A.","Fasig | Brooks","Law Offices of Sheftall & Associates",
"15","30.28309241829507","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.28309241829507,30.28309241829507","Jacksonville Personal Injury Attorney","David Alan Wolf, Personal Injury Attorney","Farah & Farah","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Henry Gare Personal Injury Attorney","Florin Roebig, P.A.","Harrell & Harrell P.A.","The Lawrence Law Group","Morgan & Morgan","Harrell and Harrell, P.A.","The Pendas Law Firm","Merritt & Merritt Law Firm","Fasig | Brooks","Abbott Law Group, P.A.","Harrell and Harrell, P.A.","Law Offices of Sheftall & Associates",
"14","30.303745199999998","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.303745199999998,30.303745199999998","Jacksonville Personal Injury Attorney","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","Henry Gare Personal Injury Attorney","Harrell & Harrell P.A.","The Lawrence Law Group","Morgan & Morgan","The Pendas Law Firm","Merritt & Merritt Law Firm","Harrell and Harrell, P.A.","Fasig | Brooks","Law Offices of Sheftall & Associates","Harrell and Harrell, P.A.","Abbott Law Group, P.A.",
"15","30.324397981704927","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.324397981704927,30.324397981704927","Jacksonville Personal Injury Attorney","Farah & Farah","David Alan Wolf, Personal Injury Attorney","Henry Gare Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","Henry Gare Personal Injury Attorney","The Lawrence Law Group","Morgan & Morgan","Harrell & Harrell P.A.","Harrell and Harrell, P.A.","The Pendas Law Firm","Merritt & Merritt Law Firm","Fasig | Brooks","Law Offices of Sheftall & Associates","North Florida Injury Lawyer","Abbott Law Group, P.A.",
"14","30.34505076340985","-81.79896611619213","https://www.google.com/maps/search/?api=1&query=30.34505076340985,30.34505076340985","Jacksonville Personal Injury Attorney","Farah & Farah","David Alan Wolf, Personal Injury Attorney","The Law Firm of Anidjar & Levine, P.A.","Henry Gare Personal Injury Attorney","Pajcic & Pajcic","1-800-INJURED","Rubenstein Law Personal Injury Lawyer","Florin Roebig, P.A.","The Lawrence Law Group","Morgan & Morgan","Harrell & Harrell P.A.","Harrell and Harrell, P.A.","The Pendas Law Firm","Merritt & Merritt Law Firm","Fasig | Brooks","Henry Gare Personal Injury Attorney","Law Offices of Sheftall & Associates","North Florida Injury Lawyer","The Haymond Law Firm",
