"Business:","Wendt Law Firm P.C.,4717 Grand Ave Ste 130, Kansas City, MO 64112"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 08:42:55
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.01"
"ATRP:","17.00"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","38.89667652806551","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.89667652806551,38.89667652806551","Kansas City Accident Injury Attorneys","Adams Cross, LLC","USAttorneys.com Accident Lawyers","Flick Law Firm","Midwest Trial Lawyers","Biesterveld & Crook, LLC","Edelman & Thompson","Krause & Kinsman Law Firm","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Peterson & Associates, P.C.","Serious personal injury lawyer","Law Office of Jon Clayton","Adler & Manson","Flick Law Firm","Edelman & Thompson","Kansas City Accident Injury Attorneys","Brown and Crouppen Law Firm","Klenofsky Law Firm","DiPasquale Moore",
"20+","38.91732930977044","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.91732930977044,38.91732930977044","Kansas City Accident Injury Attorneys","Adams Cross, LLC","USAttorneys.com Accident Lawyers","Biesterveld & Crook, LLC","Flick Law Firm","Edelman & Thompson","Krause & Kinsman Law Firm","Midwest Trial Lawyers","Law Office of Kevin J McManus","Royce Injury Lawyers LLC","Peterson & Associates, P.C.","Edelman & Thompson","Adler & Manson","Law Office of Jon Clayton","Flick Law Firm","Patton and Patton, Lenexa","Serious personal injury lawyer","Kansas City Accident Injury Attorneys","Brown and Crouppen Law Firm","Klenofsky Law Firm",
"20+","38.93798209147536","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.93798209147536,38.93798209147536","Kansas City Accident Injury Attorneys","Biesterveld & Crook, LLC","Adams Cross, LLC","USAttorneys.com Accident Lawyers","Flick Law Firm","Edelman & Thompson","Krause & Kinsman Law Firm","Peterson & Associates, P.C.","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Midwest Trial Lawyers","Law Office of Jon Clayton","Patton and Patton, Lenexa","Adler & Manson","Flick Law Firm","Law Office of Frank Allison","Kansas City Accident Injury Attorneys","Edelman & Thompson","Brown and Crouppen Law Firm","Klenofsky Law Firm",
"20+","38.958634873180294","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.958634873180294,38.958634873180294","Kansas City Accident Injury Attorneys","Biesterveld & Crook, LLC","USAttorneys.com Accident Lawyers","Flick Law Firm","Edelman & Thompson","Adams Cross, LLC","Krause & Kinsman Law Firm","Royce Injury Lawyers LLC","Peterson & Associates, P.C.","Law Office of Kevin J McManus","Flick Law Firm","Law Office of Jon Clayton","Kansas City Accident Injury Attorneys","Adler & Manson","Brown and Crouppen Law Firm","Patton and Patton, Lenexa","DiPasquale Moore","Law Office of Frank Allison","Klenofsky Law Firm","Midwest Trial Lawyers",
"19","38.97928765488522","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.97928765488522,38.97928765488522","Kansas City Accident Injury Attorneys","Biesterveld & Crook, LLC","Flick Law Firm","USAttorneys.com Accident Lawyers","Edelman & Thompson","Adams Cross, LLC","Krause & Kinsman Law Firm","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Peterson & Associates, P.C.","Flick Law Firm","Kansas City Accident Injury Attorneys","Adler & Manson","Klenofsky Law Firm","DiPasquale Moore","Law Office of Jon Clayton","Brown and Crouppen Law Firm","Meyerkord, Russell & Hergott","Wendt Law Firm P.C.","Aaron Sachs & Associates, P.C.",
"19","38.999940436590144","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=38.999940436590144,38.999940436590144","Biesterveld & Crook, LLC","Kansas City Accident Injury Attorneys","Edelman & Thompson","Flick Law Firm","USAttorneys.com Accident Lawyers","Royce Injury Lawyers LLC","Krause & Kinsman Law Firm","Law Office of Kevin J McManus","Adams Cross, LLC","Peterson & Associates, P.C.","Flick Law Firm","Kansas City Accident Injury Attorneys","Adler & Manson","Brown and Crouppen Law Firm","DiPasquale Moore","Klenofsky Law Firm","Meyerkord, Russell & Hergott","Law Office of Frank Allison","Wendt Law Firm P.C.","Law Office of Jon Clayton",
"19","39.020593218295076","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.020593218295076,39.020593218295076","Biesterveld & Crook, LLC","Kansas City Accident Injury Attorneys","Edelman & Thompson","Royce Injury Lawyers LLC","Flick Law Firm","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Peterson & Associates, P.C.","USAttorneys.com Accident Lawyers","Flick Law Firm","Kansas City Accident Injury Attorneys","Adams Cross, LLC","Brown and Crouppen Law Firm","Adler & Manson","DiPasquale Moore","Klenofsky Law Firm","Meyerkord, Russell & Hergott","Law Office of Frank Allison","Wendt Law Firm P.C.","Aaron Sachs & Associates, P.C.",
"20","39.041246","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.041246,39.041246","Royce Injury Lawyers LLC","Kansas City Accident Injury Attorneys","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Biesterveld & Crook, LLC","Flick Law Firm","Peterson & Associates, P.C.","Flick Law Firm","Kansas City Accident Injury Attorneys","Edelman & Thompson","Adams Cross, LLC","DiPasquale Moore","Klenofsky Law Firm","Meyerkord, Russell & Hergott","Brown and Crouppen Law Firm","Adler & Manson","USAttorneys.com Accident Lawyers","Kansas City Injury Law Group","Northland Injury Law","Wendt Law Firm P.C.",
"19","39.061898781704926","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.061898781704926,39.061898781704926","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Kansas City Accident Injury Attorneys","Kansas City Accident Injury Attorneys","Peterson & Associates, P.C.","Flick Law Firm","Biesterveld & Crook, LLC","Flick Law Firm","Brown and Crouppen Law Firm","Meyerkord, Russell & Hergott","USAttorneys.com Accident Lawyers","DiPasquale Moore","Adams Cross, LLC","Klenofsky Law Firm","Edelman & Thompson","Adler & Manson","Kansas City Injury Law Group","Wendt Law Firm P.C.","Aaron Sachs & Associates, P.C.",
"19","39.08255156340986","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.08255156340986,39.08255156340986","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Kansas City Accident Injury Attorneys","Kansas City Accident Injury Attorneys","Flick Law Firm","Peterson & Associates, P.C.","Flick Law Firm","Meyerkord, Russell & Hergott","Biesterveld & Crook, LLC","DiPasquale Moore","Brown and Crouppen Law Firm","Klenofsky Law Firm","Northland Injury Law","Adams Cross, LLC","Kansas City Injury Law Group","Adler & Manson","Aaron Sachs & Associates, P.C.","Wendt Law Firm P.C.","Edelman & Thompson",
"18","39.10320434511478","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.10320434511478,39.10320434511478","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Kansas City Accident Injury Attorneys","Flick Law Firm","Peterson & Associates, P.C.","Kansas City Accident Injury Attorneys","Brown and Crouppen Law Firm","Meyerkord, Russell & Hergott","DiPasquale Moore","Flick Law Firm","Klenofsky Law Firm","Biesterveld & Crook, LLC","Adams Cross, LLC","USAttorneys.com Accident Lawyers","Kansas City Injury Law Group","Aaron Sachs & Associates, P.C.","Wendt Law Firm P.C.","Plaza Injury Law, LLC","Edelman & Thompson",
"17","39.12385712681971","-94.77098740567234","https://www.google.com/maps/search/?api=1&query=39.12385712681971,39.12385712681971","Royce Injury Lawyers LLC","Law Office of Kevin J McManus","Krause & Kinsman Law Firm","Kansas City Accident Injury Attorneys","Flick Law Firm","Peterson & Associates, P.C.","Kansas City Accident Injury Attorneys","Brown and Crouppen Law Firm","Meyerkord, Russell & Hergott","Northland Injury Law","DiPasquale Moore","Flick Law Firm","Klenofsky Law Firm","Biesterveld & Crook, LLC","Kansas City Injury Law Group","Aaron Sachs & Associates, P.C.","Wendt Law Firm P.C.","Sanders.Law","Adams Cross, LLC","USAttorneys.com Accident Lawyers",
