"Business:","Fay & Associates, LLC,619 S 10th St, Minneapolis, MN 55404"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 23:28:28
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","8.00"
"ATRP:","8.00"
"SoLV:","9.33"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"8","44.82526832806551","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.82526832806551,44.82526832806551","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Law Office of Martin T Montilino Injury Lawyer","Milavetz, Gallop & Milavetz, P.A.","Knutson + Casey","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Fay & Associates, LLC","Compass Car Accident Lawyers","Schmidt Salita Law Team","SiebenCarey Personal Injury Law","Sand Law, LLC","Swor & Gatto, P.A.","JD Haas & Associates, PLLC","Hall Law P.A.","Law Offices of Howard Sussman","Law Offices of Howard Sussman","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Hall Law P.A","Brazil Law Group",
"5","44.84592110977044","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.84592110977044,44.84592110977044","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","Schmidt Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","Law Offices of Howard Sussman","Sand Law, LLC","SiebenCarey Personal Injury Law","JD Haas & Associates, PLLC","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Milavetz Gallop & Milavetz, PA","Swor & Gatto, P.A.","Bennerotte & Associates, P.A.","Hall Law P.A.","Lord + Heinlein","Law Office of Jeffrey A Jones, P.A.","Spiten Law Firm","Johnston | Martineau PLLP",
"8","44.86657389147536","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.86657389147536,44.86657389147536","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Knutson + Casey","Law Offices of Howard Sussman","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Fay & Associates, LLC","Schmidt Salita Law Team","Compass Car Accident Lawyers","Hall Law P.A.","Milavetz, Gallop & Milavetz, P.A.","Law Offices of Howard Sussman","Swor & Gatto, P.A.","Sand Law, LLC","Rochlin Law Firm, Ltd.","JD Haas & Associates, PLLC","612 INJURED","Hall Law P.A","The Ruth Law Team",
"9","44.887226673180294","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.887226673180294,44.887226673180294","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Knutson + Casey","Law Offices of Howard Sussman","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Schmidt Salita Law Team","Fay & Associates, LLC","Compass Car Accident Lawyers","Hall Law P.A.","Law Offices of Howard Sussman","Hall Law P.A","612 INJURED","612 INJURED","JD Haas & Associates, PLLC","Brazil Law Group","Swor & Gatto, P.A.","Sand Law, LLC","The Ruth Law Team",
"9","44.90787945488522","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.90787945488522,44.90787945488522","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Law Offices of Howard Sussman","Knutson + Casey","Schmidt Salita Law Team","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","612 INJURED","Law Offices of Howard Sussman","Compass Car Accident Lawyers","Bremseth Law Firm","612 INJURED","Hall Law P.A","The Ruth Law Team","Hall Law P.A.","Brazil Law Group","JD Haas & Associates, PLLC","Swor & Gatto, P.A.",
"11","44.928532236590144","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.928532236590144,44.928532236590144","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","612 INJURED","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","SiebenCarey Personal Injury Law","Bremseth Law Firm","Knutson + Casey","Schwebel, Goetz & Sieben, P.A.","Law Offices of Howard Sussman","Fay & Associates, LLC","Law Offices of Howard Sussman","612 INJURED","Compass Car Accident Lawyers","Hall Law P.A","Meshbesher & Associates, P.A.","The Ruth Law Team","Gunther Law Office","Milavetz Gallop & Milavetz, PA","Brazil Law Group",
"6","44.949185018295076","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.949185018295076,44.949185018295076","Schmidt Salita Law Team","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","612 INJURED","Bremseth Law Firm","Law Offices of Howard Sussman","Law Office of Martin T Montilino Injury Lawyer","Milavetz Gallop & Milavetz, PA","Meshbesher & Associates, P.A.","Sand Law, LLC","JD Haas & Associates, PLLC","Swor & Gatto, P.A.","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Schmidt Salita Law Team","Lord + Heinlein","Martineau Leonard PLLC","Bennerotte & Associates, P.A.",
"7","44.9698378","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.9698378,44.9698378","Schmidt Salita Law Team","McEwen & Kestner, Minneapolis Car Accident Lawyers","Bremseth Law Firm","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","TSR Injury Law","Fay & Associates, LLC","612 INJURED","Law Offices of Howard Sussman","Law Office of Martin T Montilino Injury Lawyer","Milavetz Gallop & Milavetz, PA","Meshbesher & Associates, P.A.","Sand Law, LLC","Schmidt Salita Law Team","JD Haas & Associates, PLLC","Swor & Gatto, P.A.","Martineau Leonard PLLC","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Lord + Heinlein","SiebenCarey Personal Injury Law",
"5","44.990490581704925","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=44.990490581704925,44.990490581704925","Schmidt Salita Law Team","McEwen & Kestner, Minneapolis Car Accident Lawyers","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Fay & Associates, LLC","Bremseth Law Firm","Law Offices of Howard Sussman","612 INJURED","TSR Injury Law","Law Office of Martin T Montilino Injury Lawyer","Milavetz Gallop & Milavetz, PA","Meshbesher & Associates, P.A.","Sand Law, LLC","JD Haas & Associates, PLLC","Schmidt Salita Law Team","Johnston | Martineau PLLP","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Gunther Law Office","Swor & Gatto, P.A.","Martineau Leonard PLLC",
"8","45.01114336340986","-93.47009136318765","https://www.google.com/maps/search/?api=1&query=45.01114336340986,45.01114336340986","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","612 INJURED","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Bremseth Law Firm","Fay & Associates, LLC","Butwinick Injury Law","Meshbesher & Associates, P.A.","Knutson + Casey","Law Offices of Howard Sussman","Milavetz Gallop & Milavetz, PA","Schmidt and Salita Law Team","612 INJURED","Compass Car Accident Lawyers","TSR Injury Law","Schmidt Salita Law Team","Hall Law P.A","Gunther Law Office",
