"Business:","TSR Injury Law,7760 France Ave S # 820, Minneapolis, MN 55435"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 23:32:27
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","4.96"
"ATRP:","7.17"
"SoLV:","48.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"1","44.71669212806551","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.71669212806551,44.71669212806551","TSR Injury Law","McEwen & Kestner, Minneapolis Car Accident Lawyers","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","Sand Law, LLC","Law Office of Martin T Montilino Injury Lawyer","JD Haas & Associates, PLLC","Bennerotte & Associates, P.A.","Schmidt Salita Law Team","Law Offices of Howard Sussman","Swor & Gatto, P.A.","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Milavetz Gallop & Milavetz, PA","Spiten Law Firm","Law Office of Jeffrey A Jones, P.A.","Lord + Heinlein","Johnston | Martineau PLLP","Gunther Law Office",
"2","44.737344909770435","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.737344909770435,44.737344909770435","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Law Office of Martin T Montilino Injury Lawyer","Milavetz, Gallop & Milavetz, P.A.","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Compass Car Accident Lawyers","SiebenCarey Personal Injury Law","Knutson + Casey","Fay & Associates, LLC","Swor & Gatto, P.A.","Sand Law, LLC","JD Haas & Associates, PLLC","Schmidt Salita Law Team","Law Offices of Howard Sussman","Kiernan Personal Injury Attorneys PA","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Bennerotte & Associates, P.A.","Hughes Mathews Legal Group","Brazil Law Group",
"2","44.75799769147536","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.75799769147536,44.75799769147536","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Law Office of Martin T Montilino Injury Lawyer","Milavetz, Gallop & Milavetz, P.A.","Schwebel, Goetz & Sieben, P.A.","Knutson + Casey","SiebenCarey Personal Injury Law","SiebenCarey Personal Injury Law","Compass Car Accident Lawyers","Fay & Associates, LLC","Swor & Gatto, P.A.","Sand Law, LLC","JD Haas & Associates, PLLC","Schmidt Salita Law Team","Law Offices of Howard Sussman","Kiernan Personal Injury Attorneys PA","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Bennerotte & Associates, P.A.","Hughes Mathews Legal Group","Brazil Law Group",
"2","44.77865047318029","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.77865047318029,44.77865047318029","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Law Office of Martin T Montilino Injury Lawyer","Schwebel, Goetz & Sieben, P.A.","Knutson + Casey","Milavetz, Gallop & Milavetz, P.A.","SiebenCarey Personal Injury Law","Compass Car Accident Lawyers","SiebenCarey Personal Injury Law","Fay & Associates, LLC","Swor & Gatto, P.A.","Sand Law, LLC","JD Haas & Associates, PLLC","Schmidt Salita Law Team","Law Offices of Howard Sussman","Kiernan Personal Injury Attorneys PA","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Bennerotte & Associates, P.A.","Reitan Law Office, PLLC","Brazil Law Group",
"1","44.79930325488522","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.79930325488522,44.79930325488522","TSR Injury Law","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","SiebenCarey Personal Injury Law","Schmidt Salita Law Team","Sand Law, LLC","Law Office of Martin T Montilino Injury Lawyer","Law Offices of Howard Sussman","JD Haas & Associates, PLLC","Bennerotte & Associates, P.A.","Swor & Gatto, P.A.","Milavetz Gallop & Milavetz, PA","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Reitan Law Office, PLLC","Lord + Heinlein","Law Office of Jeffrey A Jones, P.A.","Spiten Law Firm","Hall Law P.A.",
"3","44.81995603659014","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.81995603659014,44.81995603659014","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Knutson + Casey","Milavetz, Gallop & Milavetz, P.A.","Compass Car Accident Lawyers","Fay & Associates, LLC","Schmidt Salita Law Team","SiebenCarey Personal Injury Law","Sand Law, LLC","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Swor & Gatto, P.A.","Law Offices of Howard Sussman","Law Offices of Howard Sussman","JD Haas & Associates, PLLC","Hall Law P.A.","Kiernan Personal Injury Attorneys PA","Reitan Law Office, PLLC",
"3","44.840608818295074","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.840608818295074,44.840608818295074","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Knutson + Casey","Schmidt Salita Law Team","Fay & Associates, LLC","Compass Car Accident Lawyers","Milavetz, Gallop & Milavetz, P.A.","Law Offices of Howard Sussman","Sand Law, LLC","Law Offices of Howard Sussman","Swor & Gatto, P.A.","SiebenCarey Personal Injury Law","JD Haas & Associates, PLLC","Kiernan Personal Injury Attorneys PA","Paige J. Donnelly, Ltd - Personal Injury Attorneys","612 INJURED","Milavetz Gallop & Milavetz, PA",
"2","44.8612616","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.8612616,44.8612616","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Schmidt Salita Law Team","Fay & Associates, LLC","Law Offices of Howard Sussman","Sand Law, LLC","Law Office of Martin T Montilino Injury Lawyer","SiebenCarey Personal Injury Law","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Milavetz Gallop & Milavetz, PA","JD Haas & Associates, PLLC","Swor & Gatto, P.A.","Bennerotte & Associates, P.A.","Lord + Heinlein","Bremseth Law Firm","Law Office of Jeffrey A Jones, P.A.","Spiten Law Firm","612 INJURED",
"3","44.881914381704924","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.881914381704924,44.881914381704924","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Schmidt Salita Law Team","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Knutson + Casey","Fay & Associates, LLC","Law Offices of Howard Sussman","Compass Car Accident Lawyers","Law Offices of Howard Sussman","612 INJURED","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Milavetz, Gallop & Milavetz, P.A.","Sand Law, LLC","Swor & Gatto, P.A.","Bremseth Law Firm","Kiernan Personal Injury Attorneys PA","JD Haas & Associates, PLLC","612 INJURED",
"6","44.902567163409856","-93.53545263188424","https://www.google.com/maps/search/?api=1&query=44.902567163409856,44.902567163409856","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","Schmidt Salita Law Team","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","TSR Injury Law","Knutson + Casey","Fay & Associates, LLC","612 INJURED","Law Offices of Howard Sussman","Compass Car Accident Lawyers","Law Offices of Howard Sussman","Bremseth Law Firm","Swor & Gatto, P.A.","Butwinick Injury Law","Gunther Law Office","JD Haas & Associates, PLLC","Sand Law, LLC","Milavetz Gallop & Milavetz, PA","Kiernan Personal Injury Attorneys PA",
