"Business:","Schmidt Salita Law Team,3107 Penn Ave N, Minneapolis, MN 55411"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 23:34:05
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","13.92"
"ATRP:","17.79"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","44.86806352806551","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.86806352806551,44.86806352806551","McEwen & Kestner, Minneapolis Car Accident Lawyers","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Schmidt Salita Law Team","Fay & Associates, LLC","Law Office of Martin T Montilino Injury Lawyer","Law Offices of Howard Sussman","Sand Law, LLC","SiebenCarey Personal Injury Law","Milavetz Gallop & Milavetz, PA","JD Haas & Associates, PLLC","Swor & Gatto, P.A.","Bennerotte & Associates, P.A.","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Lord + Heinlein","Hall Law P.A.","Bremseth Law Firm","Law Office of Jeffrey A Jones, P.A.","612 INJURED",
"20+","44.88871630977044","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.88871630977044,44.88871630977044","McEwen & Kestner, Minneapolis Car Accident Lawyers","Law Office of Martin T Montilino Injury Lawyer","TSR Injury Law","Law Offices of Howard Sussman","Schmidt Salita Law Team","Knutson + Casey","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","Compass Car Accident Lawyers","Law Offices of Howard Sussman","612 INJURED","Sand Law, LLC","Hall Law P.A.","Bremseth Law Firm","Swor & Gatto, P.A.","JD Haas & Associates, PLLC","Milavetz, Gallop & Milavetz, P.A.","612 INJURED","Hall Law P.A",
"20+","44.90936909147536","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.90936909147536,44.90936909147536","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","TSR Injury Law","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","Fay & Associates, LLC","Law Offices of Howard Sussman","Law Office of Martin T Montilino Injury Lawyer","Sand Law, LLC","Milavetz Gallop & Milavetz, PA","612 INJURED","Bremseth Law Firm","SiebenCarey Personal Injury Law","JD Haas & Associates, PLLC","Swor & Gatto, P.A.","Paige J. Donnelly, Ltd - Personal Injury Attorneys","Bennerotte & Associates, P.A.","Lord + Heinlein","Meshbesher & Associates, P.A.","Law Office of Jeffrey A Jones, P.A.",
"20+","44.930021873180294","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.930021873180294,44.930021873180294","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","Bremseth Law Firm","612 INJURED","Schwebel, Goetz & Sieben, P.A.","TSR Injury Law","Knutson + Casey","SiebenCarey Personal Injury Law","Law Offices of Howard Sussman","Fay & Associates, LLC","Law Offices of Howard Sussman","Compass Car Accident Lawyers","Butwinick Injury Law","Meshbesher & Associates, P.A.","Milavetz Gallop & Milavetz, PA","612 INJURED","Hall Law P.A","The Ruth Law Team","Brazil Law Group",
"20+","44.95067465488522","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.95067465488522,44.95067465488522","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","Bremseth Law Firm","Law Office of Martin T Montilino Injury Lawyer","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","612 INJURED","TSR Injury Law","Knutson + Casey","Fay & Associates, LLC","Law Offices of Howard Sussman","Butwinick Injury Law","Compass Car Accident Lawyers","Law Offices of Howard Sussman","Milavetz Gallop & Milavetz, PA","Meshbesher & Associates, P.A.","Gunther Law Office","612 INJURED","Hall Law P.A","The Ruth Law Team",
"20+","44.971327436590144","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.971327436590144,44.971327436590144","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","Bremseth Law Firm","Law Office of Martin T Montilino Injury Lawyer","Schwebel, Goetz & Sieben, P.A.","SiebenCarey Personal Injury Law","612 INJURED","Fay & Associates, LLC","Knutson + Casey","TSR Injury Law","Law Offices of Howard Sussman","Butwinick Injury Law","Compass Car Accident Lawyers","Milavetz Gallop & Milavetz, PA","Meshbesher & Associates, P.A.","Gunther Law Office","Swor & Gatto, P.A.","612 INJURED","Schmidt and Salita Law Team","Hall Law P.A",
"20+","44.991980218295076","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=44.991980218295076,44.991980218295076","Schmidt Salita Law Team","McEwen & Kestner, Minneapolis Car Accident Lawyers","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Fay & Associates, LLC","TSR Injury Law","Law Offices of Howard Sussman","Bremseth Law Firm","Law Office of Martin T Montilino Injury Lawyer","Milavetz Gallop & Milavetz, PA","Sand Law, LLC","612 INJURED","Johnston | Martineau PLLP","Swor & Gatto, P.A.","Meshbesher & Associates, P.A.","JD Haas & Associates, PLLC","Lord + Heinlein","Butwinick Injury Law","SiebenCarey Personal Injury Law","Schmidt and Salita Law Team",
"20+","45.012633","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=45.012633,45.012633","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","Bremseth Law Firm","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Butwinick Injury Law","Fay & Associates, LLC","612 INJURED","Schmidt and Salita Law Team","Knutson + Casey","Law Offices of Howard Sussman","Compass Car Accident Lawyers","TSR Injury Law","Milavetz Gallop & Milavetz, PA","Law Offices of Robert N. Edwards","Meshbesher & Associates, P.A.","Kiernan Personal Injury Attorneys PA","Gunther Law Office","612 INJURED",
"19","45.033285781704926","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=45.033285781704926,45.033285781704926","McEwen & Kestner, Minneapolis Car Accident Lawyers","Butwinick Injury Law","Schmidt Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Fay & Associates, LLC","Schmidt and Salita Law Team","612 INJURED","Law Offices of Howard Sussman","Knutson + Casey","Law Offices of Robert N. Edwards","Bremseth Law Firm","Compass Car Accident Lawyers","Milavetz Gallop & Milavetz, PA","TSR Injury Law","Gunther Law Office","Meshbesher & Associates, P.A.","Schmidt Salita Law Team","612 INJURED",
"18","45.05393856340986","-93.51295620195074","https://www.google.com/maps/search/?api=1&query=45.05393856340986,45.05393856340986","Butwinick Injury Law","McEwen & Kestner, Minneapolis Car Accident Lawyers","Schmidt and Salita Law Team","Law Office of Martin T Montilino Injury Lawyer","SiebenCarey Personal Injury Law","Schwebel, Goetz & Sieben, P.A.","Schmidt Salita Law Team","Fay & Associates, LLC","Law Offices of Robert N. Edwards","Law Offices of Howard Sussman","Compass Car Accident Lawyers","Milavetz Gallop & Milavetz, PA","612 INJURED","Knutson + Casey","Kiernan Personal Injury Attorneys PA","TSR Injury Law","Gunther Law Office","Schmidt Salita Law Team","Bremseth Law Firm","Malzahn Law, Ltd.",
