"Business:","Bart Durham Injury Law,404 James Robertson Pkwy UNIT 1712, Nashville, TN 37219"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 11:11:47
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","6.79"
"ATRP:","6.79"
"SoLV:","2.67"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"9","36.02313142806551","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.02313142806551,36.02313142806551","615 Lawyer","Stillman & Friedland - Car & Truck Accident Attorneys","GriffithLaw","Lerner and Rowe Injury Attorneys Nashville","Law Office of Stanley A. Davis","Matt Hardin Law","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Law Office of David S. Hagy, PLC.","Witherington Injury Law","Rocky McElhaney Law Firm","Steinger, Greene & Feiner","Cummings Law","Meyers Injury Law","The Park Law Firm","Keith Williams Law Group","Morgan & Morgan","Larry R. Williams, PLLC","Phillip S. Georges, PLLC",
"12","36.043784209770436","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.043784209770436,36.043784209770436","Stillman & Friedland - Car & Truck Accident Attorneys","615 Lawyer","Matt Hardin Law","GriffithLaw","Law Office of Stanley A. Davis","Lerner and Rowe Injury Attorneys Nashville","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Law Office of David S. Hagy, PLC.","Rocky McElhaney Law Firm","Witherington Injury Law","Bart Durham Injury Law","Cummings Law","Steinger, Greene & Feiner","Meyers Injury Law","Keith Williams Law Group","Morgan & Morgan","Phillip S. Georges, PLLC","Larry R. Williams, PLLC","The Park Law Firm",
"6","36.06443699147536","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.06443699147536,36.06443699147536","Stillman & Friedland - Car & Truck Accident Attorneys","615 Lawyer","Matt Hardin Law","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Rocky McElhaney Law Firm","Law Office of Stanley A. Davis","Witherington Injury Law","GriffithLaw","Law Office of David S. Hagy, PLC.","Steinger, Greene & Feiner","Lerner and Rowe Injury Attorneys Nashville","Cummings Law","Meyers Injury Law","Keith Williams Law Group","Morgan & Morgan","Thompson Law","Larry R. Williams, PLLC","Phillip S. Georges, PLLC",
"7","36.08508977318029","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.08508977318029,36.08508977318029","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","615 Lawyer","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Rocky McElhaney Law Firm","Bart Durham Injury Law","Witherington Injury Law","Law Office of Stanley A. Davis","Steinger, Greene & Feiner","Law Office of David S. Hagy, PLC.","GriffithLaw","Cummings Law","Keith Williams Law Group","Meyers Injury Law","Morgan & Morgan","Lerner and Rowe Injury Attorneys Nashville","Larry R. Williams, PLLC","Thompson Law","Phillip S. Georges, PLLC",
"6","36.10574255488522","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.10574255488522,36.10574255488522","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Hughes & Coleman Injury Lawyers","Rocky McElhaney Law Firm","Mitch Grissim & Associates","Bart Durham Injury Law","615 Lawyer","Witherington Injury Law","Law Office of David S. Hagy, PLC.","Law Office of Stanley A. Davis","Steinger, Greene & Feiner","Keith Williams Law Group","Cummings Law","Morgan & Morgan","Meyers Injury Law","GriffithLaw","Larry R. Williams, PLLC","Thompson Law","Phillip S. Georges, PLLC","Lerner and Rowe Injury Attorneys Nashville",
"6","36.12639533659014","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.12639533659014,36.12639533659014","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Rocky McElhaney Law Firm","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Law Office of David S. Hagy, PLC.","Witherington Injury Law","615 Lawyer","Steinger, Greene & Feiner","Law Office of Stanley A. Davis","Keith Williams Law Group","Cummings Law","Morgan & Morgan","Meyers Injury Law","Larry R. Williams, PLLC","GriffithLaw","Lerner and Rowe Injury Attorneys Nashville","Phillip S. Georges, PLLC","Bill Easterly & Associates, P.C.",
"6","36.147048118295075","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.147048118295075,36.147048118295075","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Rocky McElhaney Law Firm","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Witherington Injury Law","Steinger, Greene & Feiner","Law Office of David S. Hagy, PLC.","615 Lawyer","Keith Williams Law Group","Law Office of Stanley A. Davis","Cummings Law","Morgan & Morgan","Larry R. Williams, PLLC","Meyers Injury Law","Phillip S. Georges, PLLC","Bill Easterly & Associates, P.C.","Lerner and Rowe Injury Attorneys Nashville","Thompson Law",
"6","36.1677009","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.1677009,36.1677009","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Rocky McElhaney Law Firm","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Witherington Injury Law","Law Office of David S. Hagy, PLC.","Steinger, Greene & Feiner","Keith Williams Law Group","615 Lawyer","Morgan & Morgan","Cummings Law","Larry R. Williams, PLLC","Law Office of Stanley A. Davis","Meyers Injury Law","Phillip S. Georges, PLLC","Bill Easterly & Associates, P.C.","Lerner and Rowe Injury Attorneys Nashville","Thompson Law",
"6","36.188353681704925","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.188353681704925,36.188353681704925","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Rocky McElhaney Law Firm","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Witherington Injury Law","Steinger, Greene & Feiner","Law Office of David S. Hagy, PLC.","Keith Williams Law Group","615 Lawyer","Morgan & Morgan","Larry R. Williams, PLLC","Cummings Law","Phillip S. Georges, PLLC","Law Office of Stanley A. Davis","Meyers Injury Law","Bill Easterly & Associates, P.C.","Thompson Law","Lerner and Rowe Injury Attorneys Nashville",
"6","36.20900646340986","-86.95971468078737","https://www.google.com/maps/search/?api=1&query=36.20900646340986,36.20900646340986","Stillman & Friedland - Car & Truck Accident Attorneys","Rocky McElhaney Law Firm","Matt Hardin Law","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Witherington Injury Law","Steinger, Greene & Feiner","Law Office of David S. Hagy, PLC.","Keith Williams Law Group","Morgan & Morgan","Larry R. Williams, PLLC","615 Lawyer","Bill Easterly & Associates, P.C.","Cummings Law","Phillip S. Georges, PLLC","Law Office of Stanley A. Davis","Meyers Injury Law","Weir & Kestner Injury Lawyers","Whitfield Bryson LLP",
