"Business:","The Roth Firm,402 Bna Dr #410, Nashville, TN 37217"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 11:18:26
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.89"
"ATRP:","18.48"
"SoLV:","1.33"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","35.99318452806551","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=35.99318452806551,35.99318452806551","615 Lawyer","Lerner and Rowe Injury Attorneys Nashville","GriffithLaw","Law Office of Stanley A. Davis","The Law Offices of John Day, P.C.","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","The Park Law Firm","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Parker & Crofford","Law Office of David S. Hagy, PLC.","Bart Durham Injury Law","Witherington Injury Law","Cummings Law","Steinger, Greene & Feiner","Rocky McElhaney Law Firm","Meyers Injury Law","Law Office of Michael K. Smith","Keith Williams Law Group",
"20+","36.01383730977044","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.01383730977044,36.01383730977044","615 Lawyer","Law Office of Stanley A. Davis","GriffithLaw","Lerner and Rowe Injury Attorneys Nashville","Stillman & Friedland - Car & Truck Accident Attorneys","The Law Offices of John Day, P.C.","Matt Hardin Law","Mitch Grissim & Associates","Hughes & Coleman Injury Lawyers","Law Office of David S. Hagy, PLC.","Witherington Injury Law","Rocky McElhaney Law Firm","Bart Durham Injury Law","Parker & Crofford","Cummings Law","Steinger, Greene & Feiner","Meyers Injury Law","The Park Law Firm","Keith Williams Law Group","Morgan & Morgan",
"20+","36.03449009147536","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.03449009147536,36.03449009147536","Law Office of Stanley A. Davis","615 Lawyer","Stillman & Friedland - Car & Truck Accident Attorneys","GriffithLaw","Lerner and Rowe Injury Attorneys Nashville","The Law Offices of John Day, P.C.","Matt Hardin Law","Law Office of David S. Hagy, PLC.","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Cummings Law","Bart Durham Injury Law","Meyers Injury Law","Witherington Injury Law","Steinger, Greene & Feiner","Rocky McElhaney Law Firm","Parker & Crofford","Keith Williams Law Group","Morgan & Morgan","Phillip S. Georges, PLLC",
"20+","36.055142873180294","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.055142873180294,36.055142873180294","Law Office of Stanley A. Davis","Stillman & Friedland - Car & Truck Accident Attorneys","615 Lawyer","Mitch Grissim & Associates","Hughes & Coleman Injury Lawyers","Matt Hardin Law","The Law Offices of John Day, P.C.","Bart Durham Injury Law","GriffithLaw","Rocky McElhaney Law Firm","Witherington Injury Law","Cummings Law","Steinger, Greene & Feiner","Meyers Injury Law","Bill Easterly & Associates, P.C.","Reasonover Law Firm","Larry R. Williams, PLLC","Queener Law - Tennessee","Weir & Kestner Injury Lawyers","Jeff Roberts & Associates, PLLC",
"20+","36.07579565488522","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.07579565488522,36.07579565488522","Law Office of Stanley A. Davis","Stillman & Friedland - Car & Truck Accident Attorneys","Cummings Law","Matt Hardin Law","Meyers Injury Law","Law Office of David S. Hagy, PLC.","Hughes & Coleman Injury Lawyers","Phillip S. Georges, PLLC","Mitch Grissim & Associates","Bart Durham Injury Law","615 Lawyer","Witherington Injury Law","Reasonover Law Firm","Steinger, Greene & Feiner","The Law Offices of John Day, P.C.","Thompson Law","Rocky McElhaney Law Firm","Keith Williams Law Group","Morgan & Morgan","Larry R. Williams, PLLC",
"20+","36.096448436590144","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.096448436590144,36.096448436590144","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Law Office of David S. Hagy, PLC.","Cummings Law","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Meyers Injury Law","Bart Durham Injury Law","Law Office of Stanley A. Davis","Phillip S. Georges, PLLC","Witherington Injury Law","Bill Easterly & Associates, P.C.","Steinger, Greene & Feiner","Thompson Law","Rocky McElhaney Law Firm","Reasonover Law Firm","Keith Williams Law Group","Weir & Kestner Injury Lawyers","Morgan & Morgan","615 Lawyer",
"20+","36.117101218295076","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.117101218295076,36.117101218295076","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Law Office of David S. Hagy, PLC.","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Cummings Law","Witherington Injury Law","Steinger, Greene & Feiner","Meyers Injury Law","Thompson Law","Phillip S. Georges, PLLC","Rocky McElhaney Law Firm","Keith Williams Law Group","Bill Easterly & Associates, P.C.","Morgan & Morgan","Reasonover Law Firm","Weir & Kestner Injury Lawyers","Law Office of Stanley A. Davis","Larry R. Williams, PLLC",
"20+","36.137754","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.137754,36.137754","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Law Office of David S. Hagy, PLC.","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Rocky McElhaney Law Firm","Witherington Injury Law","Steinger, Greene & Feiner","Cummings Law","Bill Easterly & Associates, P.C.","Meyers Injury Law","Phillip S. Georges, PLLC","Thompson Law","Keith Williams Law Group","Morgan & Morgan","Weir & Kestner Injury Lawyers","Reasonover Law Firm","Whitfield Bryson LLP","Larry R. Williams, PLLC",
"20+","36.158406781704926","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.158406781704926,36.158406781704926","Stillman & Friedland - Car & Truck Accident Attorneys","Rocky McElhaney Law Firm","Matt Hardin Law","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Bill Easterly & Associates, P.C.","Witherington Injury Law","Steinger, Greene & Feiner","Reasonover Law Firm","Queener Law - Tennessee","Law Offices of Luvell L. Glanton","Larry R. Williams, PLLC","Law Office of Stanley A. Davis","615 Lawyer","David Randolph Smith & Associates","Law Office of David S. Hagy, PLC.","Jeff Roberts & Associates, PLLC","The Law Offices of John Day, P.C.","Whitfield Bryson LLP",
"20+","36.17905956340986","-86.87760890771729","https://www.google.com/maps/search/?api=1&query=36.17905956340986,36.17905956340986","Stillman & Friedland - Car & Truck Accident Attorneys","Matt Hardin Law","Rocky McElhaney Law Firm","Law Office of David S. Hagy, PLC.","Hughes & Coleman Injury Lawyers","Mitch Grissim & Associates","Bart Durham Injury Law","Witherington Injury Law","Steinger, Greene & Feiner","Keith Williams Law Group","Phillip S. Georges, PLLC","Bill Easterly & Associates, P.C.","Morgan & Morgan","Whitfield Bryson LLP","Weir & Kestner Injury Lawyers","Larry R. Williams, PLLC","Reasonover Law Firm","The Law Offices of John Day, P.C.","David Randolph Smith & Associates","Law Offices of Luvell L. Glanton",
