"Business:","Wingate, Russotti, Shapiro & Halperin, LLP,420 Lexington Ave Suite 2750, New York, NY 10170"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-15 15:48:20
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","17.03"
"ATRP:","20.36"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.68049666403275","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.68049666403275,40.68049666403275","Ajlouny Injury Law","CourtLaw Injury Lawyers","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Platta Law Firm - Construction Accidents Attorneys","Hughes Mathews Legal Group","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","CourtLaw Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","Bhatt Law Group","Schreck Personal Injury Lawyers","Michael J. Redenburg, Esq. P.C.","F&A Injury Lawyers","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Weinstein, Chase, Messinger & Peters",
"20+","40.690823054885215","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.690823054885215,40.690823054885215","CourtLaw Injury Lawyers","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Frekhtman & Associates","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Hughes Mathews Legal Group","Gersowitz Libo & Korek, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Bhatt Law Group","CourtLaw Injury Lawyers","The Law Office of Richard M. Kenny","Krivitzky, Springer & Feldman","Schreck Personal Injury Lawyers","Michael J. Redenburg, Esq. P.C.",
"20+","40.70114944573768","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.70114944573768,40.70114944573768","CourtLaw Injury Lawyers","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","David Resnick & Associates, P.C.","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Bhatt Law Group","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Krivitzky, Springer & Feldman","CourtLaw Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","Schreck Personal Injury Lawyers","Michael J. Redenburg, Esq. P.C.",
"20+","40.71147583659014","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.71147583659014,40.71147583659014","CourtLaw Injury Lawyers","Ajlouny Injury Law","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Mark Chalfin, Attorney At Law","David Resnick & Associates, P.C.","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","The Platta Law Firm - Construction Accidents Attorneys","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Bhatt Law Group","Krivitzky, Springer & Feldman","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","CourtLaw Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","Michael J. Redenburg, Esq. P.C.",
"20+","40.7218022274426","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.7218022274426,40.7218022274426","CourtLaw Injury Lawyers","Bhatt Law Group","The Law Office of Richard M. Kenny","Ajlouny Injury Law","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","The Law Offices of Michael S. Lamonsoff, PLLC","Frekhtman & Associates","Raphaelson & Levine Law Firm, P.C.","David Resnick & Associates, P.C.","Hach & Rose, LLP","Gersowitz Libo & Korek, P.C.","The Platta Law Firm - Construction Accidents Attorneys","Macaluso & Fafinski, P.C.","Michael J. Redenburg, Esq. P.C.","Law Offices of David J. Hernandez & Associates","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Mark Chalfin, Attorney At Law",
"20+","40.73212861829507","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.73212861829507,40.73212861829507","CourtLaw Injury Lawyers","Bhatt Law Group","The Law Office of Richard M. Kenny","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Ajlouny Injury Law","The Perecman Firm, P.L.L.C.","Mirman, Markovits & Landau, PC","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Frekhtman & Associates","The Law Offices of Michael S. Lamonsoff, PLLC","Raphaelson & Levine Law Firm, P.C.","David Resnick & Associates, P.C.","Hach & Rose, LLP","Gersowitz Libo & Korek, P.C.","The Platta Law Firm - Construction Accidents Attorneys","Macaluso & Fafinski, P.C.","Michael J. Redenburg, Esq. P.C.","Law Offices of David J. Hernandez & Associates","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Krivitzky, Springer & Feldman",
"20+","40.742455009147534","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.742455009147534,40.742455009147534","CourtLaw Injury Lawyers","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Kaplan Lawyers PC: Injury & Accident Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Mirman, Markovits & Landau, PC","Bhatt Law Group","Krivitzky, Springer & Feldman","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Platta Law Firm - Construction Accidents Attorneys","Agrapidis & Maroules P.C.","The Perecman Firm, P.L.L.C.","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers",
"20+","40.752781399999996","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.752781399999996,40.752781399999996","CourtLaw Injury Lawyers","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","Kaplan Lawyers PC: Injury & Accident Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Ajlouny Injury Law","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Platta Law Firm - Construction Accidents Attorneys","Bhatt Law Group","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Krivitzky, Springer & Feldman","The Perecman Firm, P.L.L.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Agrapidis & Maroules P.C.","Gersowitz Libo & Korek, P.C.","Frekhtman & Associates","Schreck Personal Injury Lawyers","Raphaelson & Levine Law Firm, P.C.",
"20+","40.76310779085246","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.76310779085246,40.76310779085246","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Law Offices of Jay S. Knispel Personal Injury Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Ajlouny Injury Law","Bhatt Law Group","Kaplan Lawyers PC: Injury & Accident Lawyers","Raphaelson & Levine Law Firm, P.C.","Krivitzky, Springer & Feldman","Schreck Personal Injury Lawyers","Agrapidis & Maroules P.C.","Console and Associates P.C.","Macaluso & Fafinski, P.C.","Hach & Rose, LLP","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC",
"20+","40.77343418170492","-74.07135339982446","https://www.google.com/maps/search/?api=1&query=40.77343418170492,40.77343418170492","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","David Resnick & Associates, P.C.","Raphaelson & Levine Law Firm, P.C.","CourtLaw Injury Lawyers","Macaluso & Fafinski, P.C.","Hach & Rose, LLP","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Mirman, Markovits & Landau, PC","Greenstein & Milbauer, LLP","Law Offices of Jay S. Knispel Personal Injury Lawyers","Ajlouny Injury Law","The Law Offices of Ivan M. Diamond","Law Office Of Evan W. Kohn","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Banville Law","The Weinstein Law Group - Personal Injury & Construction Accident Lawyers",
