"Business:","The Dearie Law Firm, P.C.,515 Madison Ave 16th floor, New York, NY 10022"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-15 16:25:21
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","4.00"
"ATRP:","20.92"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.687519064032756","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.687519064032756,40.687519064032756","CourtLaw Injury Lawyers","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Hughes Mathews Legal Group","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","The Law Offices of Michael S. Lamonsoff, PLLC","Krivitzky, Springer & Feldman","CourtLaw Injury Lawyers","Michael J. Redenburg, Esq. P.C.","Weinstein, Chase, Messinger & Peters","Law Offices of David J. Hernandez & Associates",
"20+","40.69784545488522","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.69784545488522,40.69784545488522","CourtLaw Injury Lawyers","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Platta Law Firm - Construction Accidents Attorneys","The Law Office of Richard M. Kenny","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Michael J. Redenburg, Esq. P.C.","Krivitzky, Springer & Feldman","Silberstein, Awad & Miklos, P.C. | Manhattan Medical Malpractice & Injury Lawyers",
"20+","40.70817184573768","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.70817184573768,40.70817184573768","CourtLaw Injury Lawyers","Ajlouny Injury Law","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Mark Chalfin, Attorney At Law","Kaplan Lawyers PC: Injury & Accident Lawyers","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","Krivitzky, Springer & Feldman","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","CourtLaw Injury Lawyers","Law Offices of Jay S. Knispel Personal Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","Michael J. Redenburg, Esq. P.C.",
"20+","40.71849823659014","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.71849823659014,40.71849823659014","CourtLaw Injury Lawyers","Ajlouny Injury Law","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","David Resnick & Associates, P.C.","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","Mark Chalfin, Attorney At Law","Krivitzky, Springer & Feldman","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Perecman Firm, P.L.L.C.","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Koles & Burke, LLP","CourtLaw Injury Lawyers",
"20+","40.728824627442606","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.728824627442606,40.728824627442606","CourtLaw Injury Lawyers","Ajlouny Injury Law","Bhatt Law Group","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Krivitzky, Springer & Feldman","David Resnick & Associates, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","The Law Office of Richard M. Kenny","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Perecman Firm, P.L.L.C.","Frekhtman & Associates","Koles & Burke, LLP","Gersowitz Libo & Korek, P.C.","Mark Chalfin, Attorney At Law","Law Offices of Jay S. Knispel Personal Injury Lawyers","Agrapidis & Maroules P.C.",
"20+","40.739151018295075","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.739151018295075,40.739151018295075","CourtLaw Injury Lawyers","Ajlouny Injury Law","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Mirman, Markovits & Landau, PC","Krivitzky, Springer & Feldman","Kaplan Lawyers PC: Injury & Accident Lawyers","Bhatt Law Group","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","The Perecman Firm, P.L.L.C.","Agrapidis & Maroules P.C.","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","CourtLaw Injury Lawyers","Raphaelson & Levine Law Firm, P.C.",
"20+","40.74947740914754","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.74947740914754,40.74947740914754","CourtLaw Injury Lawyers","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","Kaplan Lawyers PC: Injury & Accident Lawyers","The Perecman Firm, P.L.L.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Ajlouny Injury Law","The Platta Law Firm - Construction Accidents Attorneys","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Bhatt Law Group","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Krivitzky, Springer & Feldman","Agrapidis & Maroules P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Raphaelson & Levine Law Firm, P.C.","Schreck Personal Injury Lawyers",
"20+","40.7598038","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.7598038,40.7598038","CourtLaw Injury Lawyers","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","Mirman, Markovits & Landau, PC","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Kaplan Lawyers PC: Injury & Accident Lawyers","Law Offices of Jay S. Knispel Personal Injury Lawyers","Krivitzky, Springer & Feldman","Ajlouny Injury Law","Bhatt Law Group","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Raphaelson & Levine Law Firm, P.C.","Agrapidis & Maroules P.C.","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Schreck Personal Injury Lawyers","The Platta Law Firm - Construction Accidents Attorneys","Console and Associates P.C.","Macaluso & Fafinski, P.C.",
"20+","40.77013019085246","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.77013019085246,40.77013019085246","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","CourtLaw Injury Lawyers","The Perecman Firm, P.L.L.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Bhatt Law Group","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Raphaelson & Levine Law Firm, P.C.","Schreck Personal Injury Lawyers","Mirman, Markovits & Landau, PC","Ajlouny Injury Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Console and Associates P.C.","Macaluso & Fafinski, P.C.","Hach & Rose, LLP","Kaplan Lawyers PC: Injury & Accident Lawyers","Agrapidis & Maroules P.C.","Krivitzky, Springer & Feldman","Oresky & Associates, pllc",
"20+","40.780456581704925","-74.06920567982769","https://www.google.com/maps/search/?api=1&query=40.780456581704925,40.780456581704925","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","CourtLaw Injury Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Maggiano, DiGirolamo & Lizzi P.C.","Macaluso & Fafinski, P.C.","Schreck Personal Injury Lawyers","Raphaelson & Levine Law Firm, P.C.","Console and Associates P.C.","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Hach & Rose, LLP","Oresky & Associates, pllc","Ajlouny Injury Law","Krivitzky, Springer & Feldman","Oliveri & Schwartz, P.C., Car Accident Lawyer","Agrapidis & Maroules P.C.","Banville Law",
