"Business:","Macaluso & Fafinski, P.C.,1 Fordham Plaza #1002, The Bronx, NY 10458"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-20 15:52:29
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","3.63"
"ATRP:","5.25"
"SoLV:","61.78"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.71588072806551","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.71588072806551,40.71588072806551","CourtLaw Injury Lawyers","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Ajlouny Injury Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accidents Attorneys","Console and Associates P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Bhatt Law Group","Krivitzky, Springer & Feldman","David Resnick & Associates, P.C.","Schreck Personal Injury Lawyers","Mark Chalfin, Attorney At Law","Frekhtman & Associates","The Law Office of Richard M. Kenny","Gersowitz Libo & Korek, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Michael J. Redenburg, Esq. P.C.",
"20+","40.73653350977043","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.73653350977043,40.73653350977043","CourtLaw Injury Lawyers","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Ajlouny Injury Law","Mirman, Markovits & Landau, PC","Kaplan Lawyers PC: Injury & Accident Lawyers","Console and Associates P.C.","The Platta Law Firm - Construction Accidents Attorneys","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","Krivitzky, Springer & Feldman","David Resnick & Associates, P.C.","Personal Injury Lawyer in NYC - Rosenberg & Rodriguez, PLLC","Schreck Personal Injury Lawyers","The Law Office of Richard M. Kenny","Gersowitz Libo & Korek, P.C.","Frekhtman & Associates","Agrapidis & Maroules P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Law Offices of Jay S. Knispel Personal Injury Lawyers",
"7","40.75718629147536","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.75718629147536,40.75718629147536","CourtLaw Injury Lawyers","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","Bhatt Law Group","The Perecman Firm, P.L.L.C.","Macaluso & Fafinski, P.C.","Raphaelson & Levine Law Firm, P.C.","Ajlouny Injury Law","Oresky & Associates, pllc","David Resnick & Associates, P.C.","Frekhtman & Associates","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Console and Associates P.C.","Gersowitz Libo & Korek, P.C.","Greenstein & Milbauer, LLP","The Platta Law Firm - Construction Accidents Attorneys","The Law Offices of Michael S. Lamonsoff, PLLC","Hach & Rose, LLP","Agrapidis & Maroules P.C.",
"7","40.77783907318029","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.77783907318029,40.77783907318029","The Law Office of Richard M. Kenny","CourtLaw Injury Lawyers","Console and Associates P.C.","David Resnick & Associates, P.C.","The Law Offices of Anthony Carbone | New Jersey Personal Injury Attorney","Bhatt Law Group","Macaluso & Fafinski, P.C.","The Perecman Firm, P.L.L.C.","Raphaelson & Levine Law Firm, P.C.","Ajlouny Injury Law","Oresky & Associates, pllc","Law Offices of Jay S. Knispel Personal Injury Lawyers","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Mirman, Markovits & Landau, PC","Greenstein & Milbauer, LLP","Maggiano, DiGirolamo & Lizzi P.C.","Agrapidis & Maroules P.C.","F&A Injury Lawyers","Law Office of William L. Teitler","Hach & Rose, LLP",
"5","40.798491854885214","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.798491854885214,40.798491854885214","David Resnick & Associates, P.C.","The Law Office of Richard M. Kenny","Console and Associates P.C.","Schreck Personal Injury Lawyers","Macaluso & Fafinski, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","CourtLaw Injury Lawyers","Raphaelson & Levine Law Firm, P.C.","The Perecman Firm, P.L.L.C.","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Maggiano, DiGirolamo & Lizzi P.C.","Oresky & Associates, pllc","Oliveri & Schwartz, P.C., Car Accident Lawyer","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Greenstein & Milbauer, LLP","Ajlouny Injury Law","CourtLaw Injury Lawyers","Law Office of William L. Teitler","Law Office Of Evan W. Kohn","Mirman, Markovits & Landau, PC",
"1","40.81914463659014","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.81914463659014,40.81914463659014","Macaluso & Fafinski, P.C.","The Grossman Law Firm, LLC","David Resnick & Associates, P.C.","Oresky & Associates, pllc","Maggiano, DiGirolamo & Lizzi P.C.","Schreck Personal Injury Lawyers","The Perecman Firm, P.L.L.C.","Console and Associates P.C.","Oliveri & Schwartz, P.C., Car Accident Lawyer","The Law Office of Richard M. Kenny","CourtLaw Injury Lawyers","Greenstein & Milbauer, LLP","Bergen Law Personal Injury Lawyers","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","CourtLaw Injury Lawyers","Law Office Of Evan W. Kohn","Davis, Saperstein & Salomon, P.C.","Law Office of William L. Teitler","Brandon J. Broderick, Personal Injury Attorney at Law","Clark Law Firm, P.C.",
"2","40.83979741829507","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.83979741829507,40.83979741829507","Davis, Saperstein & Salomon, P.C.","Macaluso & Fafinski, P.C.","The Grossman Law Firm, LLC","Bergen Law Personal Injury Lawyers","Maggiano, DiGirolamo & Lizzi P.C.","Brandon J. Broderick, Personal Injury Attorney at Law","Oresky & Associates, pllc","CourtLaw.com","The Reinartz Law Firm, LLC","Oliveri & Schwartz, P.C., Car Accident Lawyer","Greenstein & Milbauer, LLP","Lynch Law Firm","David Resnick & Associates, P.C.","Peter N. Davis & Associates, LLC","Schreck Personal Injury Lawyers","The Law Office of Richard M. Kenny","Law Office Of Evan W. Kohn","The Perecman Firm, P.L.L.C.","Console and Associates P.C.","The Law Offices of Ivan M. Diamond",
"4","40.860450199999995","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.860450199999995,40.860450199999995","Brandon J. Broderick, Personal Injury Attorney at Law","Bergen Law Personal Injury Lawyers","Davis, Saperstein & Salomon, P.C.","Macaluso & Fafinski, P.C.","CourtLaw.com","The Grossman Law Firm, LLC","Peter N. Davis & Associates, LLC","The Grossman Law Firm, LLC","Maggiano, DiGirolamo & Lizzi P.C.","Lynch Law Firm","Oresky & Associates, pllc","The Reinartz Law Firm, LLC","Oliveri & Schwartz, P.C., Car Accident Lawyer","Greenstein & Milbauer, LLP","Law Office Of Evan W. Kohn","Di Giovanni & Ephraim","David Resnick & Associates, P.C.","The Law Offices of Ivan M. Diamond","Goldstein and Bashner","The Perecman Firm, P.L.L.C.",
"8","40.88110298170492","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.88110298170492,40.88110298170492","Bergen Law Personal Injury Lawyers","Brandon J. Broderick, Personal Injury Attorney at Law","Davis, Saperstein & Salomon, P.C.","CourtLaw.com","Peter N. Davis & Associates, LLC","The Grossman Law Firm, LLC","The Grossman Law Firm, LLC","Macaluso & Fafinski, P.C.","The Reinartz Law Firm, LLC","Oresky & Associates, pllc","Lynch Law Firm","Di Giovanni & Ephraim","Maggiano, DiGirolamo & Lizzi P.C.","Oliveri & Schwartz, P.C., Car Accident Lawyer","Law Office Of Evan W. Kohn","Greenstein & Milbauer, LLP","Law Office of Peter Briskin, P.C.","The Rothenberg Law Firm LLP","The Law Offices of Ivan M. Diamond","Frekhtman & Associates",
"8","40.90175576340985","-74.0809775812917","https://www.google.com/maps/search/?api=1&query=40.90175576340985,40.90175576340985","Bergen Law Personal Injury Lawyers","Brandon J. Broderick, Personal Injury Attorney at Law","CourtLaw.com","Davis, Saperstein & Salomon, P.C.","The Grossman Law Firm, LLC","Peter N. Davis & Associates, LLC","The Grossman Law Firm, LLC","Macaluso & Fafinski, P.C.","The Reinartz Law Firm, LLC","Di Giovanni & Ephraim","Oresky & Associates, pllc","Law Office of Peter Briskin, P.C.","Law Office Of Evan W. Kohn","Oliveri & Schwartz, P.C., Car Accident Lawyer","Lynch Law Firm","Greenstein & Milbauer, LLP","Maggiano, DiGirolamo & Lizzi P.C.","The Rothenberg Law Firm LLP","Frekhtman & Associates","Corradino and Papa, LLC",
