"Business:","Ajlouny Injury Law,26 Court St # 1104, Brooklyn, NY 11242"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-20 15:40:59
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.14"
"ATRP:","13.68"
"SoLV:","8.89"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"16","40.54876022806551","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.54876022806551,40.54876022806551","The O'Connor Law Firm","The Barillari Law Firm, P.C.","Jonathan D'Agostino & Associates","Anthony Bisignano, Esq.","Karim Arzadi Law Office","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Chelli & Bush","The Bisignano Law Firm","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Frekhtman & Associates","Law Offices Of Denis Davydov | Personal Injury Attorney / Car Accident Lawyer / Slip and Fall Attorney / Truck Accidents / Wrongful Death Law Firm","Mark Chalfin, Attorney At Law","Beninato & Matrafajlo Law","Ajlouny Injury Law","Koenigsberg & Associates Law Offices","F&A Injury Lawyers","Hughes Mathews Legal Group","CourtLaw Injury Lawyers",
"20","40.569413009770436","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.569413009770436,40.569413009770436","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Jonathan D'Agostino & Associates","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Anthony Bisignano, Esq.","Chelli & Bush","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Law Offices of Louis Grandelli, P.C.","Karim Arzadi Law Office","The Bisignano Law Firm","Beninato & Matrafajlo Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","CourtLaw Injury Lawyers","Hughes Mathews Legal Group","Frekhtman & Associates","Mark Chalfin, Attorney At Law","CourtLaw Injury Lawyers","CourtLaw.com","Ajlouny Injury Law",
"18","40.59006579147536","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.59006579147536,40.59006579147536","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","The O'Connor Law Firm","The Barillari Law Firm, P.C.","Law Offices of Louis Grandelli, P.C.","Jonathan D'Agostino & Associates","CourtLaw Injury Lawyers","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Chelli & Bush","Anthony Bisignano, Esq.","Beninato & Matrafajlo Law","Hughes Mathews Legal Group","CourtLaw.com","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","CourtLaw Injury Lawyers","Di Giovanni & Ephraim Personal Injury Lawyers","Mark Chalfin, Attorney At Law","Ajlouny Injury Law","The Bisignano Law Firm","Frekhtman & Associates",
"16","40.61071857318029","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.61071857318029,40.61071857318029","Law Offices of Louis Grandelli, P.C.","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw.com","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","CourtLaw","CourtLaw Injury Lawyers","Chelli & Bush","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Hughes Mathews Legal Group","Schreck Personal Injury Lawyers","The O'Connor Law Firm","Ajlouny Injury Law","Jonathan D'Agostino & Associates","Mark Chalfin, Attorney At Law","The Barillari Law Firm, P.C.","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident",
"16","40.63137135488522","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.63137135488522,40.63137135488522","Beninato & Matrafajlo Law","CourtLaw.com","Cohen & Cohen Personal Injury Lawyers, P.C.","CourtLaw Injury Lawyers","Michael J. Gaffney, Attorney at Law","Di Giovanni & Ephraim Personal Injury Lawyers","Law Offices of Louis Grandelli, P.C.","Mintz & Geftic, LLC","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","CourtLaw","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Hughes Mathews Legal Group","Rispoli & Borneo, P.C.","Ajlouny Injury Law","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Mark Chalfin, Attorney At Law","CourtLaw Injury Lawyers","Law Offices of Charney & Roberts LLC",
"10","40.65202413659014","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.65202413659014,40.65202413659014","Beninato & Matrafajlo Law","Mintz & Geftic, LLC","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","CourtLaw.com","Frekhtman & Associates","Macaluso & Fafinski, P.C.","Druckman & Hernandez","Goldstein & Goldstein, LLP","Ajlouny Injury Law","The Law Office of Richard M. Kenny","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Ginarte Gallardo Gonzalez Winograd L.L.P.","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Schreck Personal Injury Lawyers","F&A Injury Lawyers","Console and Associates P.C.","Oresky & Associates, pllc","Afonso & Afonso, LLC., Attorneys at Law","Mirman, Markovits & Landau, PC",
"20+","40.672676918295075","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.672676918295075,40.672676918295075","Beninato & Matrafajlo Law","CourtLaw.com","Schreck Personal Injury Lawyers","Mintz & Geftic, LLC","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","CourtLaw Injury Lawyers","Console and Associates P.C.","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","CourtLaw","Rispoli & Borneo, P.C.","Michael J. Gaffney, Attorney at Law","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Goldstein & Goldstein, LLP","Cohen & Cohen Personal Injury Lawyers, P.C.","Robert A. Solomon, P.C.","Hughes Mathews Legal Group","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident",
"20","40.6933297","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.6933297,40.6933297","Schreck Personal Injury Lawyers","CourtLaw.com","Beninato & Matrafajlo Law","Console and Associates P.C.","Mintz & Geftic, LLC","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","CourtLaw Injury Lawyers","CourtLaw.com","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Robert A. Solomon, P.C.","Goldstein & Goldstein, LLP","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","CourtLaw","Rinaldo Law Group LLC","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Rispoli & Borneo, P.C.","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Ajlouny Injury Law",
"19","40.713982481704925","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.713982481704925,40.713982481704925","Schreck Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","Goldstein & Goldstein, LLP","Beninato & Matrafajlo Law","CourtLaw.com","CourtLaw.com","Robert A. Solomon, P.C.","Hughes Mathews Legal Group","CourtLaw Injury Lawyers","Mintz & Geftic, LLC","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Di Giovanni & Ephraim Personal Injury Lawyers","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Law Office of Peter Briskin, P.C.","Kucher Law Group / Car Accident Lawyer / Slip and Fall Attorney / Elevator Accidents / Truck Accident","Jacoby & Meyers, LLP","Ajlouny Injury Law","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer",
"17","40.73463526340986","-74.18162051005255","https://www.google.com/maps/search/?api=1&query=40.73463526340986,40.73463526340986","Schreck Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","CourtLaw.com","Goldstein & Goldstein, LLP","Robert A. Solomon, P.C.","Rinaldo Law Group LLC","CourtLaw Injury Lawyers","Law Office of Peter Briskin, P.C.","Hughes Mathews Legal Group","Law Office of Peter Briskin, P.C.","CourtLaw.com","Jacoby & Meyers, LLP","Beninato & Matrafajlo Law","Oliveri & Schwartz P.C., Brooklyn Car Accident Lawyer","Mintz & Geftic, LLC","Ajlouny Injury Law","Macaluso & Fafinski, P.C.","The Rybak Firm, PLLC- Injury Lawyer - Accident Lawyer - Insurance Lawyer","Mark Chalfin, Attorney At Law",
