"Business:","The Cassisi Law Firm,10208 101st Ave, Ozone Park, NY 11416, USA"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-11 22:14:26
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.50"
"ATRP:","20.92"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.54110962806551","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.54110962806551,40.54110962806551","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Koenigsberg & Associates Law Offices","Frekhtman & Associates","Anthony A. Ferrante, Attorney at Law","Mark Chalfin, Attorney At Law","Ajlouny Injury Law","The Barillari Law Firm, P.C.","Cohen & Cohen Personal Injury Lawyers, P.C.","The O'Connor Law Firm","Michael J. Gaffney, Attorney at Law","Frekhtman & Associates Attorneys at Law","Chelli & Bush","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Frekhtman & Associates","Ribowsky Law","CourtLaw","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","D. Davydov Car Accident Lawyer","D. Davydov Car Accident Lawyer",
"20+","40.56176240977044","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.56176240977044,40.56176240977044","Koenigsberg & Associates Law Offices","Frekhtman & Associates","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Anthony A. Ferrante, Attorney at Law","Mark Chalfin, Attorney At Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Michael J. Gaffney, Attorney at Law","Ajlouny Injury Law","Law Office Of Timothy M. O'Donovan","The Barillari Law Firm, P.C.","Belushin Law Firm, P.C.","Frekhtman & Associates Attorneys at Law","Chelli & Bush","Ribowsky Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","D. Davydov Car Accident Lawyer","CourtLaw","D. Davydov Car Accident Lawyer","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.58241519147536","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.58241519147536,40.58241519147536","Koenigsberg & Associates Law Offices","Frekhtman & Associates","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Michael J. Gaffney, Attorney at Law","Mark Chalfin, Attorney At Law","D. Davydov Car Accident Lawyer","Anthony A. Ferrante, Attorney at Law","Ozeri Law Firm Injury & Accident Lawyers","Jacoby & Meyers, LLP","Sullivan & Galleshaw, LLP","Cohen & Cohen Personal Injury Lawyers, P.C.","Ajlouny Injury Law","D. Davydov Car Accident Lawyer","Frekhtman & Associates Attorneys at Law","Belushin Law Firm, P.C.","Ribowsky Law","Hughes Mathews Legal Group","Oliveri & Schwartz P.C., Injury & Accident Attorneys","CourtLaw",
"20+","40.603067973180295","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.603067973180295,40.603067973180295","Frekhtman & Associates","Koenigsberg & Associates Law Offices","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Mark Chalfin, Attorney At Law","Anthony A. Ferrante, Attorney at Law","Jacoby & Meyers, LLP","D. Davydov Car Accident Lawyer","Michael J. Gaffney, Attorney at Law","Sullivan & Galleshaw, LLP","Hughes Mathews Legal Group","Ozeri Law Firm Injury & Accident Lawyers","D. Davydov Car Accident Lawyer","Ajlouny Injury Law","Jacob Braude","Frekhtman & Associates Attorneys at Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Cohen & Cohen Personal Injury Lawyers, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw",
"20+","40.62372075488522","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.62372075488522,40.62372075488522","Jacoby & Meyers, LLP","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Koenigsberg & Associates Law Offices","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Sullivan & Galleshaw, LLP","Anthony A. Ferrante, Attorney at Law","D. Davydov Car Accident Lawyer","Ajlouny Injury Law","Michael J. Gaffney, Attorney at Law","Hughes Mathews Legal Group","Ozeri Law Firm Injury & Accident Lawyers","D. Davydov Car Accident Lawyer","Frekhtman & Associates Attorneys at Law","Jacob Braude","Oliveri & Schwartz P.C., Injury & Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw","Cohen & Cohen Personal Injury Lawyers, P.C.",
"20+","40.644373536590145","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.644373536590145,40.644373536590145","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Koenigsberg & Associates Law Offices","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Law Offices of David J. Hernandez & Associates","CourtLaw","Frekhtman & Associates Attorneys at Law","Ozeri Law Firm Injury & Accident Lawyers","The Rybak Firm, PLLC","The Platta Law Firm - Construction Accident Attorneys","Anthony A. Ferrante, Attorney at Law","Mirman, Markovits & Landau, PC","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","The Law Office of Richard M. Kenny","Michael J. Redenburg, Esq. P.C.","Frekhtman & Associates","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Office of William L. Teitler",
"20+","40.66502631829508","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.66502631829508,40.66502631829508","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Platta Law Firm - Construction Accident Attorneys","Mirman, Markovits & Landau, PC","CourtLaw","Anthony A. Ferrante, Attorney at Law","Kaplan Lawyers PC: Injury & Accident Lawyers","Law Offices of David J. Hernandez & Associates","The Law Offices of Michael S. Lamonsoff, PLLC","D. Davydov Car Accident Lawyer","Michael J. Redenburg, Esq. P.C.","Kaplan Lawyers, PC: Injury and Accident Lawyers","Law Offices of Gary R. Weinberg, P.C.","Frekhtman & Associates Attorneys at Law","Silberstein, Awad & Miklos, P.C. | Manhattan Medical Malpractice & Injury Lawyers","Hughes Mathews Legal Group","Weinstein, Chase, Messinger & Peters","Frekhtman & Associates",
"20+","40.6856791","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.6856791,40.6856791","Ajlouny Injury Law","CourtLaw","The Law Offices of Michael S. Lamonsoff, PLLC","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accident Attorneys","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Mark Chalfin, Attorney At Law","Michael J. Redenburg, Esq. P.C.","The Law Office of Richard M. Kenny","Law Offices of David J. Hernandez & Associates","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Frekhtman & Associates","Gersowitz Libo & Korek, P.C.","Hill & Moin LLP - Accident Attorneys","Raphaelson & Levine Law Firm, P.C.","Frekhtman & Associates","Weinstein, Chase, Messinger & Peters","Frekhtman & Associates Attorneys at Law","Oresky & Associates, pllc","Hach & Rose, LLP",
"20+","40.706331881704926","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.706331881704926,40.706331881704926","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Platta Law Firm - Construction Accident Attorneys","Ajlouny Injury Law","CourtLaw","Mirman, Markovits & Landau, PC","Mark Chalfin, Attorney At Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","The Law Office of Richard M. Kenny","Michael J. Redenburg, Esq. P.C.","Kaplan Lawyers PC: Injury & Accident Lawyers","David Resnick & Associates, P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Silberstein, Awad & Miklos, P.C. | Manhattan Medical Malpractice & Injury Lawyers","Hill & Moin LLP - Accident Attorneys","Gersowitz Libo & Korek, P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","Frekhtman & Associates","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP",
"20+","40.72698466340986","-74.0309759202963","https://www.google.com/maps/search/?api=1&query=40.72698466340986,40.72698466340986","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw","The Platta Law Firm - Construction Accident Attorneys","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","Oliveri & Schwartz P.C., Injury & Accident Attorneys","David Resnick & Associates, P.C.","The Perecman Firm, P.L.L.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Kaplan Lawyers PC: Injury & Accident Lawyers","Raphaelson & Levine Law Firm, P.C.","Michael J. Redenburg, Esq. P.C.","Law Offices of Jay S. Knispel Personal Injury Lawyers","The Law Offices of Michael S. Lamonsoff, PLLC","Wingate, Russotti, Shapiro & Halperin, LLP","Law Offices of Stuart DiMartini","Silberstein, Awad & Miklos, P.C. | Manhattan Medical Malpractice & Injury Lawyers","Mark Chalfin, Attorney At Law","Hill & Moin LLP - Accident Attorneys",
