"Business:","The Law Firm of Anidjar & Levine, P.A.,4767 New Broad St #309, Orlando, FL 32814"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-16 01:36:55
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.04"
"ATRP:","17.65"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","28.421515428065508","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.421515428065508,28.421515428065508","Dan Newlin Injury Attorneys","Florida Personal Injury Law Team","Florida Car Accident Lawyer Team","Law Offices of Jason Turchin","Tina Willis Law","Florida Injury Law Firm","Trial Pro, P.A.","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","Payer Law","Israoui Law - Orlando Accident Lawyer","The Jaspon Firm","Ernesto Gonzalez, P.A.","Joseph R. Greschner, Osceola Car Accident Lawyer","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Steinger, Greene & Feiner","Hughes Mathews Legal Group","Payas Payas & Payas LLP","Miller & Jacobs PA","Morgan & Morgan","The Cerasa Law Firm LLC",
"20+","28.442168209770436","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.442168209770436,28.442168209770436","Dan Newlin Injury Attorneys","Florida Personal Injury Law Team","Florida Car Accident Lawyer Team","Law Offices of Jason Turchin","Payer Law","Tina Willis Law","Florida Injury Law Firm","Steinger, Greene & Feiner","Trial Pro, P.A.","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","The Jaspon Firm","Israoui Law - Orlando Accident Lawyer","Miller & Jacobs PA","Ernesto Gonzalez, P.A.","1-800-INJURED","Hughes Mathews Legal Group","Farah & Farah","The Cerasa Law Firm LLC","Joseph R. Greschner, Osceola Car Accident Lawyer",
"20+","28.462820991475365","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.462820991475365,28.462820991475365","Dan Newlin Injury Attorneys","Florida Personal Injury Law Team","Florida Car Accident Lawyer Team","Tina Willis Law","Payer Law","Law Offices of Jason Turchin","Steinger, Greene & Feiner","Trial Pro, P.A.","Florida Injury Law Firm","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","The Jaspon Firm","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","Miller & Jacobs PA","1-800-INJURED","The Cerasa Law Firm LLC","Farah & Farah","The Orlando Injury Law Firm","Hughes Mathews Legal Group",
"20+","28.48347377318029","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.48347377318029,28.48347377318029","Florida Car Accident Lawyer Team","Dan Newlin Injury Attorneys","Florida Personal Injury Law Team","Payer Law","Tina Willis Law","Trial Pro, P.A.","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","Steinger, Greene & Feiner","The Jaspon Firm","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Law Offices of Jason Turchin","Florida Injury Law Firm","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","Miller & Jacobs PA","1-800-INJURED","Farah & Farah","The Cerasa Law Firm LLC","The Orlando Injury Law Firm","Rubenstein Law",
"20+","28.504126554885218","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.504126554885218,28.504126554885218","Florida Car Accident Lawyer Team","Dan Newlin Injury Attorneys","Florida Personal Injury Law Team","Payer Law","Tina Willis Law","Trial Pro, P.A.","The Jaspon Firm","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Steinger, Greene & Feiner","The Orlando Injury Law Firm","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","Law Offices of Jason Turchin","1-800-INJURED","Farah & Farah","Miller & Jacobs PA","The Cerasa Law Firm LLC","Overchuck Law Firm","Florida Injury Law Firm",
"20+","28.524779336590147","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.524779336590147,28.524779336590147","Florida Car Accident Lawyer Team","Florida Personal Injury Law Team","Tina Willis Law","Payer Law","Dan Newlin Injury Attorneys","Trial Pro, P.A.","The Jaspon Firm","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","The Orlando Injury Law Firm","Steinger, Greene & Feiner","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","1-800-INJURED","Overchuck Law Firm","Farah & Farah","The Cerasa Law Firm LLC","The Main Law Firm","Morgan & Morgan","Miller & Jacobs PA",
"20+","28.54543211829507","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.54543211829507,28.54543211829507","Tina Willis Law","Florida Car Accident Lawyer Team","Trial Pro, P.A.","Payer Law","The Jaspon Firm","Florida Personal Injury Law Team","Dan Newlin Injury Attorneys","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","Overchuck Law Firm","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Farah & Farah","The Main Law Firm","Morgan & Morgan","The Law Office of Jerry Jenkins, P.A.","Rubenstein Law","The Orlando Injury Law Firm","Presser Law, P.A.","The Pendas Law Firm","Michael T. Gibson, P.A.",
"20+","28.5660849","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.5660849,28.5660849","Tina Willis Law","Florida Car Accident Lawyer Team","The Jaspon Firm","Trial Pro, P.A.","Florida Personal Injury Law Team","Overchuck Law Firm","Ernesto Gonzalez, P.A.","Israoui Law - Orlando Accident Lawyer","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","The Main Law Firm","Farah & Farah","Dan Newlin Injury Attorneys","Presser Law, P.A.","Payer Law","Rubenstein Law","Morgan & Morgan","The Law Office of Jerry Jenkins, P.A.","The Pendas Law Firm","Michael T. Gibson, P.A.","The Orlando Injury Law Firm",
"20+","28.58673768170493","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.58673768170493,28.58673768170493","Florida Car Accident Lawyer Team","Tina Willis Law","Trial Pro, P.A.","The Jaspon Firm","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Ernesto Gonzalez, P.A.","Overchuck Law Firm","Israoui Law - Orlando Accident Lawyer","The Main Law Firm","Presser Law, P.A.","1-800-INJURED","Farah & Farah","Morgan & Morgan","The Cerasa Law Firm LLC","Florida Personal Injury Law Team","Dan Newlin Injury Attorneys","The Law Office of Jerry Jenkins, P.A.","Rubenstein Law","Hornsby Law",
"20+","28.607390463409853","-81.49329631054327","https://www.google.com/maps/search/?api=1&query=28.607390463409853,28.607390463409853","Florida Car Accident Lawyer Team","Tina Willis Law","Trial Pro, P.A.","The Jaspon Firm","Bengal Law: Florida Accident Lawyers and Personal Injury Attorneys PLLC","JUSTCALLMOE - ORLANDO PERSONAL INJURY LAWYERS, P.A.","Presser Law, P.A.","Ernesto Gonzalez, P.A.","Overchuck Law Firm","The Main Law Firm","Israoui Law - Orlando Accident Lawyer","1-800-INJURED","Farah & Farah","Florida Personal Injury Law Team","Morgan & Morgan","The Cerasa Law Firm LLC","Hornsby Law","Rubenstein Law","The Law Office of Jerry Jenkins, P.A.","The Law Office of Mark A. Risi",
