"Business:","The Levin Firm,1500 John F Kennedy Blvd # 620, Philadelphia, PA 19102"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 06:00:33
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","1.16"
"ATRP:","1.16"
"SoLV:","98.67"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"1","39.88110626403275","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.88110626403275,39.88110626403275","The Levin Firm","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Petrillo & Goldberg Law","Philadelphia Injury Lawyers P.C.","Lundy Law","Car Accident Lawyers Philadelphia LLC","Steven L. Chung, Esquire, LLC","Monheit Law","Justice Guardians","Reiff Law Firm","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","PhillyLaw Injury Lawyer","Carpey Law","Zavodnick, Zavodnick & Lasky, LLC",
"1","39.891432654885215","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.891432654885215,39.891432654885215","The Levin Firm","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Rosenbaum & Associates","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Steven L. Chung, Esquire, LLC","Petrillo & Goldberg Law","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Monheit Law","Carpey Law","PhillyLaw Injury Lawyer","Justice Guardians","KaplunMarx","Dan Doyle Law Group Personal Injury Attorney","Zavodnick, Zavodnick & Lasky, LLC",
"1","39.90175904573768","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.90175904573768,39.90175904573768","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Lundy Law","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Car Accident Lawyers Philadelphia LLC","Carpey Law","Petrillo & Goldberg Law","Monheit Law","Dan Doyle Law Group","KaplunMarx","Justice Guardians","Zavodnick, Zavodnick & Lasky, LLC",
"1","39.91208543659014","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.91208543659014,39.91208543659014","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Lundy Law","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Car Accident Lawyers Philadelphia LLC","Dan Doyle Law Group","Carpey Law","Monheit Law","Petrillo & Goldberg Law","KaplunMarx","Zavodnick, Zavodnick & Lasky, LLC","Morgan & Morgan",
"1","39.9224118274426","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.9224118274426,39.9224118274426","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","MyPhillyLawyer","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Dan Doyle Law Group","Carpey Law","Monheit Law","KaplunMarx","Zavodnick, Zavodnick & Lasky, LLC","Grutzmacher Law Firm","Morgan & Morgan",
"1","39.93273821829507","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.93273821829507,39.93273821829507","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Rosenbaum & Associates","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Lundy Law","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Philadelphia Injury Lawyers P.C.","KaplunMarx","KaplunMarx","Zavodnick, Zavodnick & Lasky, LLC","Morgan & Morgan","Steven L. Chung, Esquire, LLC","Gibbons Legal, P.C.","Reiff Law Firm","Soloff & Zervanos Personal Injury Attorney","The Rothenberg Law Firm LLP","Lowenthal & Abrams, PC Injury & Accident Attorneys","PhillyLaw Injury Lawyer",
"1","39.943064609147534","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.943064609147534,39.943064609147534","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Lundy Law","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Dan Doyle Law Group","Carpey Law","KaplunMarx","Monheit Law","KaplunMarx","Morgan & Morgan","Zavodnick, Zavodnick & Lasky, LLC",
"1","39.953390999999996","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.953390999999996,39.953390999999996","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","MyPhillyLawyer","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","KaplunMarx","Steven L. Chung, Esquire, LLC","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Dan Doyle Law Group","Carpey Law","KaplunMarx","Philly Injury Law","Zavodnick, Zavodnick & Lasky, LLC","Morgan & Morgan",
"1","39.96371739085246","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.96371739085246,39.96371739085246","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","KaplunMarx","Philly Injury Law","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Dan Doyle Law Group","Carpey Law","Philly Injury Law","TopDog Law","KaplunMarx","Katz Injury Law Firm",
"1","39.97404378170492","-75.25998468635865","https://www.google.com/maps/search/?api=1&query=39.97404378170492,39.97404378170492","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","KaplunMarx","Philly Injury Law","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","PhillyLaw Injury Lawyer","Car Accident Lawyers Philadelphia LLC","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Dan Doyle Law Group","Philly Injury Law","Carpey Law","TopDog Law","The Brod Law Firm","Katz Injury Law Firm",
