"Business:","The Brod Law Firm,7600 Stenton Ave, Philadelphia, PA 19118"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 06:26:19
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","4.31"
"ATRP:","5.65"
"SoLV:","54.22"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"8","40.000851264032754","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.000851264032754,40.000851264032754","The Levin Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","The Brod Law Firm","Soloff & Zervanos Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.","Lundy Law","Philadelphia Injury Lawyers P.C.","TopDog Law","Ciccarelli Law Offices","Philly Injury Law","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Dan Doyle Law Group Personal Injury Attorney","PhillyLaw Injury Lawyer","Katz Injury Law Firm",
"6","40.011177654885216","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.011177654885216,40.011177654885216","The Levin Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","The Brod Law Firm","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Soloff & Zervanos Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Lundy Law","TopDog Law","Ciccarelli Law Offices","Philly Injury Law","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Philly Injury Law","PhillyLaw Injury Lawyer","The Levin Firm",
"5","40.02150404573768","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.02150404573768,40.02150404573768","The Levin Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","The Brod Law Firm","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Ciccarelli Law Offices","TopDog Law","Philly Injury Law","Lundy Law","Villari, Brandes & Giannone, P.C.","Steven L. Chung, Esquire, LLC","Ostroff Injury Law","The Levin Firm","Reiff Law Firm",
"4","40.03183043659014","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.03183043659014,40.03183043659014","The Levin Firm","KaplunMarx","Spear Greenfield Personal Injury Attorneys","The Brod Law Firm","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Ciccarelli Law Offices","Soloff & Zervanos Personal Injury Attorney","Philly Injury Law","Philadelphia Injury Lawyers P.C.","TopDog Law","Villari, Brandes & Giannone, P.C.","Lundy Law","Ostroff Injury Law","The Levin Firm","Steven L. Chung, Esquire, LLC","Philly Injury Law",
"3","40.042156827442604","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.042156827442604,40.042156827442604","The Levin Firm","KaplunMarx","The Brod Law Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Ciccarelli Law Offices","Law Offices Of Jeffrey H. Penneys, P.C.","Ostroff Injury Law","Philly Injury Law","Villari, Brandes & Giannone, P.C.","The Levin Firm","TopDog Law","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Jon Ostroff, Personal Injury Attorney","Steven L. Chung, Esquire, LLC",
"3","40.05248321829507","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.05248321829507,40.05248321829507","The Levin Firm","KaplunMarx","The Brod Law Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","The Levin Firm","Villari, Brandes & Giannone, P.C.","Ostroff Injury Law","Rosenbaum & Associates","Ciccarelli Law Offices","Philly Injury Law","Philly Injury Law","TopDog Law","Law Offices Of Jeffrey H. Penneys, P.C.","Jon Ostroff, Personal Injury Attorney","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Philly Injury Law",
"2","40.062809609147536","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.062809609147536,40.062809609147536","The Levin Firm","The Brod Law Firm","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Spear Greenfield Personal Injury Attorneys","KaplunMarx","Ostroff Injury Law","Villari, Brandes & Giannone, P.C.","Munley Law Personal Injury Attorneys","Ciccarelli Law Offices","Jon Ostroff, Personal Injury Attorney","Philly Injury Law","Rosenbaum & Associates","TopDog Law","Worthington Law Group","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philly Injury Law","Benedum Law",
"3","40.073136","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.073136,40.073136","The Levin Firm","The Levin Firm","The Brod Law Firm","Ostroff Injury Law","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","Spear Greenfield Personal Injury Attorneys","Jon Ostroff, Personal Injury Attorney","Munley Law Personal Injury Attorneys","KaplunMarx","Ciccarelli Law Offices","Philly Injury Law","Carpey Law","Rosenbaum & Associates","Worthington Law Group","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Benedum Law","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney",
"4","40.08346239085246","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.08346239085246,40.08346239085246","Ostroff Injury Law","The Levin Firm","The Levin Firm","The Brod Law Firm","Car Accident Lawyers Philadelphia LLC","Villari, Brandes & Giannone, P.C.","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Carpey Law","Ciccarelli Law Offices","Philly Injury Law","Worthington Law Group","KaplunMarx","Rosenbaum & Associates","Philly Injury Law","Benedum Law","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Law Offices Of Jeffrey H. Penneys, P.C.",
"3","40.09378878170492","-75.28501127486619","https://www.google.com/maps/search/?api=1&query=40.09378878170492,40.09378878170492","Ostroff Injury Law","The Levin Firm","The Brod Law Firm","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Carpey Law","Villari, Brandes & Giannone, P.C.","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Philly Injury Law","Worthington Law Group","Ciccarelli Law Offices","Rosenbaum & Associates","KaplunMarx","Benedum Law","Philly Injury Law","Philly Injury Law","Patriot Firm","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney",
