"Business:","Spear Greenfield Personal Injury Attorneys,1500 John F Kennedy Blvd Suite #200, Philadelphia, PA 19102"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 12:48:10
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","5.58"
"ATRP:","6.40"
"SoLV:","36.89"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"3","39.80892942806551","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.80892942806551,39.80892942806551","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Spear Greenfield Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","Petrillo & Goldberg Law","Philly Injury Law","Justice Guardians","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","MyPhillyLawyer","Silverman, McDonald & Friedman","Delaware Injury lawyer","Lundy Law","Freibott Law Firm","Steven L. Chung, Esquire, LLC",
"2","39.829582209770436","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.829582209770436,39.829582209770436","The Levin Firm","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Petrillo & Goldberg Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","MyPhillyLawyer","Soloff & Zervanos Personal Injury Attorney","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Silverman, McDonald & Friedman","Lundy Law","Delaware Injury lawyer","Steven L. Chung, Esquire, LLC","Lundy Law","Freibott Law Firm",
"5","39.85023499147536","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.85023499147536,39.85023499147536","The Levin Firm","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","MyPhillyLawyer","Petrillo & Goldberg Law","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Donaghue & Labrum, LLP","Reiff Law Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Steven L. Chung, Esquire, LLC","KaplunMarx","Silverman, McDonald & Friedman","TopDog Law",
"20+","39.87088777318029","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.87088777318029,39.87088777318029","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Rosenbaum & Associates","Munley Law Personal Injury Attorneys","Philly Injury Law","Lundy Law","KaplunMarx","Philadelphia Injury Lawyers P.C.","Silverman, McDonald & Friedman","Zavodnick, Zavodnick & Lasky, LLC","Steven L. Chung, Esquire, LLC","Soloff & Zervanos Personal Injury Attorney","Car Accident Lawyers Philadelphia LLC","Ostroff Injury Law","Reiff Law Firm","The Rothenberg Law Firm LLP",
"4","39.89154055488522","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.89154055488522,39.89154055488522","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Petrillo & Goldberg Law","McCann & Wall, LLC","Steven L. Chung, Esquire, LLC","KaplunMarx","Reiff Law Firm","The Brod Law Firm",
"5","39.91219333659014","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.91219333659014,39.91219333659014","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Justice Guardians","TopDog Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","McCann & Wall, LLC","KaplunMarx","Lundy Law","Rosenbaum & Associates","Petrillo & Goldberg Law","The Brod Law Firm","Steven L. Chung, Esquire, LLC",
"5","39.932846118295075","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.932846118295075,39.932846118295075","Dan Doyle Law Group Personal Injury Attorney","TopDog Law","The Levin Firm","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","KaplunMarx","Lundy Law","McCann & Wall, LLC","Katz Injury Law Firm","The Brod Law Firm","Steven L. Chung, Esquire, LLC","Philly Injury Law",
"4","39.9534989","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.9534989,39.9534989","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","TopDog Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","MyPhillyLawyer","Justice Guardians","Law Offices Of Jeffrey H. Penneys, P.C.","KaplunMarx","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Katz Injury Law Firm","The Brod Law Firm","Lundy Law","Philly Injury Law","Steven L. Chung, Esquire, LLC","McCann & Wall, LLC",
"4","39.974151681704924","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.974151681704924,39.974151681704924","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","TopDog Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","KaplunMarx","Philly Injury Law","Katz Injury Law Firm","Philadelphia Injury Lawyers P.C.","The Brod Law Firm","Soloff & Zervanos Personal Injury Attorney","Donaghue & Labrum, LLP","Lundy Law","Law Offices Of Jeffrey H. Penneys, P.C.","Ciccarelli Law Offices","Philly Injury Law","Justice Guardians","Steven L. Chung, Esquire, LLC",
"2","39.99480446340986","-75.35448157024153","https://www.google.com/maps/search/?api=1&query=39.99480446340986,39.99480446340986","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Ciccarelli Law Offices","Car Accident Lawyers Philadelphia LLC","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","KaplunMarx","MyPhillyLawyer","The Brod Law Firm","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","TopDog Law","Lundy Law","Philly Injury Law","Katz Injury Law Firm","Ostroff Injury Law","The Levin Firm","Steven L. Chung, Esquire, LLC",
