"Business:","Reiff Law Firm,1500 John F Kennedy Blvd #501, Philadelphia, PA 19102"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 12:53:32
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.04"
"ATRP:","18.30"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","39.80894272806551","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.80894272806551,39.80894272806551","The Levin Firm","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Car Accident Lawyers Philadelphia LLC","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Rosenbaum & Associates","Petrillo & Goldberg Law","Philly Injury Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Silverman, McDonald & Friedman","Delaware Injury lawyer","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Lundy Law","Steven L. Chung, Esquire, LLC","Freibott Law Firm","Lundy Law","Philly Injury Law",
"20+","39.829595509770435","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.829595509770435,39.829595509770435","The Levin Firm","Spear Greenfield Personal Injury Attorneys","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Dan Doyle Law Group Personal Injury Attorney","Justice Guardians","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","Philly Injury Law","Petrillo & Goldberg Law","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","MyPhillyLawyer","Soloff & Zervanos Personal Injury Attorney","Steven L. Chung, Esquire, LLC","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Silverman, McDonald & Friedman","Lundy Law","Delaware Injury lawyer","Lundy Law","Freibott Law Firm",
"14","39.85024829147536","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.85024829147536,39.85024829147536","The Levin Firm","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Petrillo & Goldberg Law","Soloff & Zervanos Personal Injury Attorney","MyPhillyLawyer","Lundy Law","Reiff Law Firm","Donaghue & Labrum, LLP","TopDog Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Lundy Law","KaplunMarx","Steven L. Chung, Esquire, LLC",
"18","39.87090107318029","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.87090107318029,39.87090107318029","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Justice Guardians","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Lundy Law","Petrillo & Goldberg Law","TopDog Law","Steven L. Chung, Esquire, LLC","McCann & Wall, LLC","Reiff Law Firm","KaplunMarx","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.",
"19","39.89155385488522","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.89155385488522,39.89155385488522","Justice Guardians","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","TopDog Law","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Petrillo & Goldberg Law","McCann & Wall, LLC","Steven L. Chung, Esquire, LLC","KaplunMarx","Reiff Law Firm","The Brod Law Firm",
"20+","39.91220663659014","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.91220663659014,39.91220663659014","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","Justice Guardians","TopDog Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Rosenbaum & Associates","Car Accident Lawyers Philadelphia LLC","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","McCann & Wall, LLC","Lundy Law","KaplunMarx","Steven L. Chung, Esquire, LLC","Rosenbaum & Associates","Petrillo & Goldberg Law","The Brod Law Firm",
"15","39.932859418295074","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.932859418295074,39.932859418295074","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","TopDog Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Rosenbaum & Associates","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Justice Guardians","KaplunMarx","Philly Injury Law","Lundy Law","Philadelphia Injury Lawyers P.C.","Steven L. Chung, Esquire, LLC","Car Accident Lawyers Philadelphia LLC","Reiff Law Firm","Zavodnick, Zavodnick & Lasky, LLC","Soloff & Zervanos Personal Injury Attorney","Ostroff Injury Law","The Heslin Law Firm","The Rothenberg Law Firm LLP",
"20+","39.9535122","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.9535122,39.9535122","Dan Doyle Law Group Personal Injury Attorney","The Levin Firm","TopDog Law","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Donaghue & Labrum, LLP","Car Accident Lawyers Philadelphia LLC","Rosenbaum & Associates","MyPhillyLawyer","Justice Guardians","Law Offices Of Jeffrey H. Penneys, P.C.","KaplunMarx","Soloff & Zervanos Personal Injury Attorney","Philadelphia Injury Lawyers P.C.","Katz Injury Law Firm","The Brod Law Firm","Lundy Law","Philly Injury Law","Steven L. Chung, Esquire, LLC","McCann & Wall, LLC",
"19","39.974164981704924","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.974164981704924,39.974164981704924","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","KaplunMarx","MyPhillyLawyer","Rosenbaum & Associates","Law Offices Of Jeffrey H. Penneys, P.C.","Munley Law Personal Injury Attorneys","Philly Injury Law","Dan Doyle Law Group Personal Injury Attorney","Lundy Law","KaplunMarx","Ostroff Injury Law","TopDog Law","Philadelphia Injury Lawyers P.C.","Zavodnick, Zavodnick & Lasky, LLC","Car Accident Lawyers Philadelphia LLC","Steven L. Chung, Esquire, LLC","Soloff & Zervanos Personal Injury Attorney","Reiff Law Firm","Gibbons Legal, P.C.",
"20","39.994817763409856","-75.35425010691516","https://www.google.com/maps/search/?api=1&query=39.994817763409856,39.994817763409856","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","Ciccarelli Law Offices","Car Accident Lawyers Philadelphia LLC","Dan Doyle Law Group Personal Injury Attorney","Rosenbaum & Associates","KaplunMarx","MyPhillyLawyer","The Brod Law Firm","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","TopDog Law","Lundy Law","Philly Injury Law","Katz Injury Law Firm","The Levin Firm","Steven L. Chung, Esquire, LLC","Reiff Law Firm",
