"Business:","KaplunMarx,115 S 8th St Suite 5, Philadelphia, PA 19106"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-12 14:54:31
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","14.85"
"ATRP:","20.29"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","39.80440442806551","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.80440442806551,39.80440442806551","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Silverman, McDonald & Friedman","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","KaplunMarx","Law Office of Michael T. Malarick, Esq., PC","Lundy Law","Freibott Law Firm","Steven L. Chung, Esquire, LLC","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Gay & Chacker Personal Injury Attorneys","Richard J. Hollawell & Associates","Ostroff Injury Law","Reiff Law Firm","Soloff & Zervanos Personal Injury Attorney",
"20+","39.825057209770435","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.825057209770435,39.825057209770435","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Car Accident Lawyers Philadelphia LLC","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Rosenbaum & Associates","Law Office of Michael T. Malarick, Esq., PC","Soloff & Zervanos Personal Injury Attorney","Richard J. Hollawell & Associates","Silverman, McDonald & Friedman","KaplunMarx","Petrillo & Goldberg Law","Steven L. Chung, Esquire, LLC","Lundy Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Lundy Law",
"20+","39.84570999147536","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.84570999147536,39.84570999147536","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Spear Greenfield Personal Injury Attorneys","Car Accident Lawyers Philadelphia LLC","PhillyLaw Injury Lawyer","Munley Law Personal Injury Attorneys","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Soloff & Zervanos Personal Injury Attorney","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","Lundy Law","KaplunMarx","Law Office of Michael T. Malarick, Esq., PC","Reiff Law Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Ciccarelli Law Offices","Justice Guardians","Steven L. Chung, Esquire, LLC",
"20+","39.86636277318029","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.86636277318029,39.86636277318029","The Levin Firm","Car Accident Lawyers Philadelphia LLC","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Zavodnick & Lasky Personal Injury Lawyers","Donaghue & Labrum, LLP","Philly Injury Law","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Reiff Law Firm","Carpey Law","Law Office of Michael T. Malarick, Esq., PC","Lundy Law","Ciccarelli Law Offices","Steven L. Chung, Esquire, LLC","TopDog Law",
"20+","39.88701555488522","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.88701555488522,39.88701555488522","The Levin Firm","Car Accident Lawyers Philadelphia LLC","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Donaghue & Labrum, LLP","PhillyLaw Injury Lawyer","Justice Guardians","Zavodnick & Lasky Personal Injury Lawyers","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","TopDog Law","Philadelphia Injury Lawyers P.C.","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney","Rosenbaum & Associates","Lundy Law","Steven L. Chung, Esquire, LLC","Ciccarelli Law Offices","Reiff Law Firm","Carpey Law",
"20+","39.90766833659014","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.90766833659014,39.90766833659014","Car Accident Lawyers Philadelphia LLC","The Levin Firm","Munley Law Personal Injury Attorneys","TopDog Law","Spear Greenfield Personal Injury Attorneys","Donaghue & Labrum, LLP","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Rosenbaum & Associates","Justice Guardians","Lundy Law","Rosenbaum & Associates","Steven L. Chung, Esquire, LLC","The Pagano Law Firm, LLC","Ciccarelli Law Offices","Reiff Law Firm",
"20+","39.928321118295074","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.928321118295074,39.928321118295074","Car Accident Lawyers Philadelphia LLC","The Levin Firm","TopDog Law","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","Donaghue & Labrum, LLP","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Lundy Law","Steven L. Chung, Esquire, LLC","Ciccarelli Law Offices","The Pagano Law Firm, LLC","Dan Doyle Law Group","Reiff Law Firm","Gay & Chacker Personal Injury Attorneys",
"20+","39.9489739","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.9489739,39.9489739","The Levin Firm","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","KaplunMarx","TopDog Law","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","Lundy Law","Ostroff Injury Law","Gay & Chacker Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Steven L. Chung, Esquire, LLC","Reiff Law Firm","Soloff & Zervanos Personal Injury Attorney","The Heslin Law Firm","Morgan & Morgan","Wapner Newman",
"20+","39.96962668170492","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.96962668170492,39.96962668170492","Car Accident Lawyers Philadelphia LLC","The Levin Firm","Dan Doyle Law Group Personal Injury Attorney","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","TopDog Law","KaplunMarx","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","MyPhillyLawyer","Donaghue & Labrum, LLP","Law Offices Of Jeffrey H. Penneys, P.C.","Philadelphia Injury Lawyers P.C.","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney","Rosenbaum & Associates","The Brod Law Firm","Lundy Law","Philly Injury Law","Ostroff Injury Law",
"20+","39.990279463409856","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=39.990279463409856,39.990279463409856","Car Accident Lawyers Philadelphia LLC","The Levin Firm","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","KaplunMarx","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","The Brod Law Firm","Philadelphia Injury Lawyers P.C.","TopDog Law","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney","Ostroff Injury Law","Katz Injury Law Firm","Lundy Law","Philly Injury Law","Rosenbaum & Associates","The Levin Firm",
"20+","40.01093224511478","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=40.01093224511478,40.01093224511478","The Levin Firm","KaplunMarx","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Zavodnick & Lasky Personal Injury Lawyers","MyPhillyLawyer","Ostroff Injury Law","Rosenbaum & Associates","Philadelphia Injury Lawyers P.C.","Lundy Law","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Gay & Chacker Personal Injury Attorneys","Reiff Law Firm","Steven L. Chung, Esquire, LLC","Soloff & Zervanos Personal Injury Attorney","The Heslin Law Firm","Wapner Newman","Fox Law, P.C.","Car Accident Lawyers Philadelphia LLC",
"20+","40.031585026819705","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=40.031585026819705,40.031585026819705","The Levin Firm","Car Accident Lawyers Philadelphia LLC","KaplunMarx","Ostroff Injury Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Villari, Brandes & Giannone, P.C.","The Levin Firm","Spear Greenfield Personal Injury Attorneys","Munley Law Personal Injury Attorneys","The Brod Law Firm","PhillyLaw Injury Lawyer","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Zavodnick & Lasky Personal Injury Lawyers","Jon Ostroff, Personal Injury Attorney","Ciccarelli Law Offices","Philadelphia Injury Lawyers P.C.","Rosenbaum & Associates","Philly Injury Law","Soloff & Zervanos Personal Injury Attorney",
"20+","40.05223780852464","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=40.05223780852464,40.05223780852464","The Levin Firm","The Levin Firm","Ostroff Injury Law","Car Accident Lawyers Philadelphia LLC","KaplunMarx","Villari, Brandes & Giannone, P.C.","Jon Ostroff, Personal Injury Attorney","Neuwirth Law Office, LLC.","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","The Brod Law Firm","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","MyPhillyLawyer","Law Offices Of Jeffrey H. Penneys, P.C.","Zavodnick & Lasky Personal Injury Lawyers","Ciccarelli Law Offices","Philly Injury Law","Philly Injury Law","Philadelphia Injury Lawyers P.C.","Rosenbaum & Associates",
"20+","40.07289059022956","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=40.07289059022956,40.07289059022956","The Levin Firm","Ostroff Injury Law","The Levin Firm","Neuwirth Law Office, LLC.","Villari, Brandes & Giannone, P.C.","Car Accident Lawyers Philadelphia LLC","KaplunMarx","The Brod Law Firm","Munley Law Personal Injury Attorneys","Carpey Law","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Philly Injury Law","MyPhillyLawyer","Philadelphia Injury Lawyers P.C.","Law Offices Of Jeffrey H. Penneys, P.C.","Louis P. Lombardi II & Associates, P.C.","Soloff & Zervanos Personal Injury Attorney","Rosenbaum & Associates",
"20+","40.09354337193449","-75.34240709435349","https://www.google.com/maps/search/?api=1&query=40.09354337193449,40.09354337193449","The Levin Firm","Ostroff Injury Law","Neuwirth Law Office, LLC.","The Levin Firm","Villari, Brandes & Giannone, P.C.","Carpey Law","The Brod Law Firm","Louis P. Lombardi II & Associates, P.C.","Car Accident Lawyers Philadelphia LLC","Lundy Law","Munley Law Personal Injury Attorneys","Philly Injury Law","Spear Greenfield Personal Injury Attorneys","Patriot Firm","PhillyLaw Injury Lawyer","Zavodnick & Lasky Personal Injury Lawyers","Ethen Ostroff, Personal Injury Lawyer","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Picker Jonathan",
"20+","39.80440442806551","-75.31546692373156","https://www.google.com/maps/search/?api=1&query=39.80440442806551,39.80440442806551","The Levin Firm","Munley Law Personal Injury Attorneys","Spear Greenfield Personal Injury Attorneys","PhillyLaw Injury Lawyer","Car Accident Lawyers Philadelphia LLC","Zavodnick & Lasky Personal Injury Lawyers","Law Offices Of Jeffrey H. Penneys, P.C.","MyPhillyLawyer","Richard J. Hollawell & Associates","Philadelphia Injury Lawyers P.C.","Soloff & Zervanos Personal Injury Attorney","Petrillo & Goldberg Law","Rosenbaum & Associates","Lundy Law","The Pearce Law Firm, Personal Injury and Accident Lawyers P.C.","Reiff Law Firm","Steven L. Chung, Esquire, LLC","Ciccarelli Law Offices","KaplunMarx","Silverman, McDonald & Friedman",
