"Business:","Phillips Law Group,3101 N Central Ave #1500, Phoenix, AZ 85012"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 07:06:03
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","9.82"
"ATRP:","11.85"
"SoLV:","8.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"7","33.33969212806551","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.33969212806551,33.33969212806551","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Pros Phoenix","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys Tolleson","Rafi Law Group","Phillips Law Group","Lerner and Rowe Injury Attorneys Glendale","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Kelly Law Team","Goldberg & Osborne Injury Lawyers Maryvale","Hastings & Hastings PC","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Car Accident Lawyer Champs","Gary Phillips Accident Law Professionals, PLLC","Knapp & Roberts","Wattel & York Injury & Accident Attorneys Glendale",
"7","33.36034490977043","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.36034490977043,33.36034490977043","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Champs","Rafi Law Group","Phillips Law Group","Lerner and Rowe Injury Attorneys Glendale","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Goldberg & Osborne Injury Lawyers Maryvale","Kelly Law Team","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Hastings & Hastings PC","Gary Phillips Accident Law Professionals, PLLC","Car Accident Lawyer Champs","Knapp & Roberts","Wattel & York Injury & Accident Attorneys Glendale",
"8","33.38099769147536","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.38099769147536,33.38099769147536","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys Glendale","Phillips Law Group","Abels & Annes, P.C.","Goldberg & Osborne Injury Lawyers Maryvale","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Kelly Law Team","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Gary Phillips Accident Law Professionals, PLLC","Wattel & York Injury & Accident Attorneys Glendale","Hastings & Hastings PC","Knapp & Roberts","Car Accident Lawyer Champs",
"9","33.40165047318029","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.40165047318029,33.40165047318029","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Lerner and Rowe Injury Attorneys Glendale","Lerner and Rowe Injury Attorneys South Phoenix","Goldberg & Osborne Injury Lawyers Maryvale","Car Accident Lawyer Champs","Phillips Law Group","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Zachar Law Firm, P.C.","Law Offices of Michael Cordova","Kelly Law Team","Wattel & York Injury & Accident Attorneys Glendale","Gary Phillips Accident Law Professionals, PLLC","Knapp & Roberts","Hastings & Hastings PC","Goldberg & Osborne Injury Lawyers Peoria",
"8","33.422303254885215","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.422303254885215,33.422303254885215","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Goldberg & Osborne Injury Lawyers Maryvale","Lerner and Rowe Injury Attorneys Glendale","Lerner and Rowe Injury Attorneys South Phoenix","Phillips Law Group","Abels & Annes, P.C.","Car Accident Lawyer Champs","423HURT - Personal Injury Lawyer Phoenix","Wattel & York Injury & Accident Attorneys Glendale","Zachar Law Firm, P.C.","Hastings & Hastings PC - West Valley","Zanes Law Injury Lawyers","Law Offices of Michael Cordova","Gary Phillips Accident Law Professionals, PLLC","Escamilla Law Group, PLLC of Phoenix","Kelly Law Team","Goldberg & Osborne Injury Lawyers Peoria",
"11","33.44295603659014","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.44295603659014,33.44295603659014","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Lerner and Rowe Injury Attorneys Glendale","Hastings & Hastings PC - West Valley","Rafi Law Group","Escamilla Law Group, PLLC of Phoenix","Snyder & Wenner, P.C.","Abels & Annes, P.C.","Phillips Law Group","Wattel & York Injury & Accident Attorneys Glendale","Accident Law Group","Gerber Injury Law","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Champs","423HURT - Personal Injury Lawyer Phoenix","Zachar Law Firm, P.C.","Law Offices of Michael Cordova","Zanes Law Injury Lawyers",
"13","33.46360881829507","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.46360881829507,33.46360881829507","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Glendale","Car Accident Lawyer Pros Phoenix","Escamilla Law Group, PLLC of Phoenix","Hastings & Hastings PC - West Valley","Rafi Law Group","Wattel & York Injury & Accident Attorneys Glendale","Snyder & Wenner, P.C.","Gerber Injury Law","Abels & Annes, P.C.","Phillips Law Group","Car Accident Lawyer Champs","423HURT - Personal Injury Lawyer Phoenix","Lerner and Rowe Injury Attorneys South Phoenix","Zachar Law Firm, P.C.","Goldberg & Osborne Injury Lawyers Peoria","Accident Law Group","Law Offices of Michael Cordova",
"14","33.484261599999996","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.484261599999996,33.484261599999996","Lerner and Rowe Injury Attorneys Tolleson","Lerner and Rowe Injury Attorneys Glendale","Goldberg & Osborne Injury Lawyers Maryvale","Wattel & York Injury & Accident Attorneys Glendale","Hastings & Hastings PC - West Valley","Goldberg & Osborne Injury Lawyers Goodyear","Escamilla Law Group, PLLC of Phoenix","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Snyder & Wenner, P.C.","Gerber Injury Law","Goldberg & Osborne Injury Lawyers Peoria","Abels & Annes, P.C.","Phillips Law Group","Car Accident Lawyer Champs","Zachar Law Firm, P.C.","423HURT - Personal Injury Lawyer Phoenix","Lerner and Rowe Injury Attorneys Arrowhead","Lerner and Rowe Injury Attorneys South Phoenix","Accident Law Group",
"14","33.50491438170492","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.50491438170492,33.50491438170492","Lerner and Rowe Injury Attorneys Glendale","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Wattel & York Injury & Accident Attorneys Glendale","Hastings & Hastings PC - West Valley","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Escamilla Law Group, PLLC of Phoenix","Rafi Law Group","Abels & Annes, P.C.","Goldberg & Osborne Injury Lawyers Peoria","Snyder & Wenner, P.C.","Gerber Injury Law","Phillips Law Group","Lerner and Rowe Injury Attorneys Arrowhead","423HURT - Personal Injury Lawyer Phoenix","Zachar Law Firm, P.C.","Brad Johnson Injury Law","Car Accident Lawyer Champs","Gerber Injury Law",
"19","33.52556716340985","-112.24673001733002","https://www.google.com/maps/search/?api=1&query=33.52556716340985,33.52556716340985","Lerner and Rowe Injury Attorneys Glendale","Goldberg & Osborne Injury Lawyers Maryvale","Wattel & York Injury & Accident Attorneys Glendale","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Gerber Injury Law","Hastings & Hastings PC - West Valley","Goldberg & Osborne Injury Lawyers Goodyear","Rafi Law Group","Goldberg & Osborne Injury Lawyers Peoria","Lerner and Rowe Injury Attorneys Arrowhead","Abels & Annes, P.C.","Goldberg & Osborne Injury Lawyers Glendale","Wade and Nysather P.C. AZ Accident Attorneys","Escamilla Law Group, PLLC of Phoenix","Gerber Injury Law","Brad Johnson Injury Law","Snyder & Wenner, P.C.","Phillips Law Group","Car Accident Lawyer Champs",
