"Business:","Kelly Law Team,1 E Washington St #1520, Phoenix, AZ 85004"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 07:08:46
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","11.00"
"ATRP:","16.24"
"SoLV:","3.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"11","33.30343082806551","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.30343082806551,33.30343082806551","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys South Phoenix","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Lerner and Rowe Injury Attorneys Tolleson","Phillips Law Group","Rafi Law Group","Lerner and Rowe Injury Attorneys Glendale","Zanes Law Injury Lawyers","Law Offices of Michael Cordova","Kelly Law Team","Goldberg & Osborne Injury Lawyers Maryvale","Zachar Law Firm, P.C.","Gary Phillips Accident Law Professionals, PLLC","Abels & Annes, P.C.","Car Accident Lawyer Champs","Lerner And Rowe Injury Attorneys","Hirsch & Lyon","Goldberg & Osborne Injury Lawyers Mesa","Goldberg & Osborne Injury Lawyers Phoenix",
"16","33.32408360977043","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.32408360977043,33.32408360977043","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Champs","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Lerner and Rowe Injury Attorneys Tolleson","Rafi Law Group","Phillips Law Group","Abels & Annes, P.C.","Zanes Law Injury Lawyers","Lerner and Rowe Injury Attorneys Glendale","423HURT - Personal Injury Lawyer Phoenix","Hastings & Hastings PC","Goldberg & Osborne Injury Lawyers Maryvale","Law Offices of Michael Cordova","Car Accident Lawyer Champs","Kelly Law Team","Zachar Law Firm, P.C.","Gary Phillips Accident Law Professionals, PLLC","Knapp & Roberts","Wattel & York Injury & Accident Attorneys Glendale",
"13","33.34473639147536","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.34473639147536,33.34473639147536","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Pros Phoenix","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys Tolleson","Rafi Law Group","Phillips Law Group","Lerner and Rowe Injury Attorneys Glendale","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Goldberg & Osborne Injury Lawyers Maryvale","Kelly Law Team","Hastings & Hastings PC","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Car Accident Lawyer Champs","Gary Phillips Accident Law Professionals, PLLC","Knapp & Roberts","Wattel & York Injury & Accident Attorneys Glendale",
"13","33.36538917318029","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.36538917318029,33.36538917318029","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Lerner and Rowe Injury Attorneys South Phoenix","Rafi Law Group","Car Accident Lawyer Champs","Phillips Law Group","Lerner and Rowe Injury Attorneys Glendale","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Goldberg & Osborne Injury Lawyers Maryvale","Kelly Law Team","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Gary Phillips Accident Law Professionals, PLLC","Hastings & Hastings PC","Car Accident Lawyer Champs","Wattel & York Injury & Accident Attorneys Glendale","Goldberg & Osborne Injury Lawyers Peoria",
"15","33.386041954885215","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.386041954885215,33.386041954885215","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Tolleson","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys South Phoenix","Lerner and Rowe Injury Attorneys Glendale","Phillips Law Group","Goldberg & Osborne Injury Lawyers Maryvale","Abels & Annes, P.C.","423HURT - Personal Injury Lawyer Phoenix","Zanes Law Injury Lawyers","Law Offices of Michael Cordova","Zachar Law Firm, P.C.","Kelly Law Team","Gary Phillips Accident Law Professionals, PLLC","Wattel & York Injury & Accident Attorneys Glendale","Hastings & Hastings PC","Knapp & Roberts","Car Accident Lawyer Champs",
"13","33.40669473659014","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.40669473659014,33.40669473659014","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Lerner and Rowe Injury Attorneys Glendale","Phillips Law Group","Goldberg & Osborne Injury Lawyers Maryvale","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys South Phoenix","Zachar Law Firm, P.C.","Law Offices of Michael Cordova","Zanes Law Injury Lawyers","Kelly Law Team","Abels & Annes, P.C.","Gary Phillips Accident Law Professionals, PLLC","Hastings & Hastings PC - West Valley","Goldberg & Osborne Injury Lawyers Peoria","Lerner And Rowe Injury Attorneys","423HURT - Personal Injury Lawyer Phoenix","Lerner and Rowe Injury Attorneys Arrowhead",
"18","33.42734751829507","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.42734751829507,33.42734751829507","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Rafi Law Group","Lerner and Rowe Injury Attorneys Glendale","Goldberg & Osborne Injury Lawyers Maryvale","Abels & Annes, P.C.","Escamilla Law Group, PLLC of Phoenix","Phillips Law Group","Lerner and Rowe Injury Attorneys South Phoenix","Car Accident Lawyer Champs","Wattel & York Injury & Accident Attorneys Glendale","423HURT - Personal Injury Lawyer Phoenix","Hastings & Hastings PC - West Valley","Zachar Law Firm, P.C.","Zanes Law Injury Lawyers","Law Offices of Michael Cordova","Kelly Law Team","Gary Phillips Accident Law Professionals, PLLC","Goldberg & Osborne Injury Lawyers Peoria",
"20+","33.4480003","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.4480003,33.4480003","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Gerber Injury Law","Lerner and Rowe Injury Attorneys Glendale","Hastings & Hastings PC - West Valley","Rafi Law Group","Escamilla Law Group, PLLC of Phoenix","Snyder & Wenner, P.C.","Abels & Annes, P.C.","Wattel & York Injury & Accident Attorneys Glendale","Accident Law Group","Phillips Law Group","Car Accident Lawyer Champs","Lerner and Rowe Injury Attorneys South Phoenix","423HURT - Personal Injury Lawyer Phoenix","Zachar Law Firm, P.C.","Law Offices of Michael Cordova","Zanes Law Injury Lawyers",
"20+","33.46865308170492","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.46865308170492,33.46865308170492","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Goldberg & Osborne Injury Lawyers Goodyear","Lerner and Rowe Injury Attorneys Glendale","Hastings & Hastings PC - West Valley","Car Accident Lawyer Pros Phoenix","Escamilla Law Group, PLLC of Phoenix","Rafi Law Group","Wattel & York Injury & Accident Attorneys Glendale","Snyder & Wenner, P.C.","Abels & Annes, P.C.","Gerber Injury Law","Phillips Law Group","Car Accident Lawyer Champs","423HURT - Personal Injury Lawyer Phoenix","Lerner and Rowe Injury Attorneys South Phoenix","Zachar Law Firm, P.C.","Goldberg & Osborne Injury Lawyers Peoria","Accident Law Group","Breyer Law Offices",
"20+","33.489305863409854","-112.24629621600143","https://www.google.com/maps/search/?api=1&query=33.489305863409854,33.489305863409854","Lerner and Rowe Injury Attorneys Glendale","Lerner and Rowe Injury Attorneys Tolleson","Goldberg & Osborne Injury Lawyers Maryvale","Hastings & Hastings PC - West Valley","Wattel & York Injury & Accident Attorneys Glendale","Goldberg & Osborne Injury Lawyers Goodyear","Car Accident Lawyer Pros Phoenix","Escamilla Law Group, PLLC of Phoenix","Rafi Law Group","Abels & Annes, P.C.","Snyder & Wenner, P.C.","Gerber Injury Law","Goldberg & Osborne Injury Lawyers Peoria","Phillips Law Group","423HURT - Personal Injury Lawyer Phoenix","Car Accident Lawyer Champs","Zachar Law Firm, P.C.","Lerner and Rowe Injury Attorneys Arrowhead","Lerner and Rowe Injury Attorneys South Phoenix","Breyer Law Offices",
