"Business:","The Law Firm of Davidoff & Associates,108-18 Queens Blvd Suite 404, Queens, NY 11375"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 07:31:20
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.00"
"ATRP:","20.95"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.57635282806551","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.57635282806551,40.57635282806551","Koenigsberg & Associates Law Offices","Frekhtman & Associates","The Rybak Firm, PLLC","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","Personal Injury Lawyer - Tanya Gendelman, P.C.","Michael J. Gaffney, Attorney at Law","Cohen & Cohen Personal Injury Lawyers, P.C.","Anthony A. Ferrante, Attorney at Law","Mark Chalfin, Attorney At Law","Jacoby & Meyers, LLP","Sullivan & Galleshaw, LLP","D. Davydov Car Accident Lawyer","Ajlouny Injury Law","Ozeri Law Firm Injury & Accident Lawyers","D. Davydov Car Accident Lawyer","Frekhtman & Associates Attorneys at Law","Law Office Of Timothy M. O'Donovan","The Barillari Law Firm, P.C.","Belushin Law Firm, P.C.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.597005609770434","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.597005609770434,40.597005609770434","Frekhtman & Associates","Koenigsberg & Associates Law Offices","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Jacoby & Meyers, LLP","Mark Chalfin, Attorney At Law","D. Davydov Car Accident Lawyer","Michael J. Gaffney, Attorney at Law","Anthony A. Ferrante, Attorney at Law","Sullivan & Galleshaw, LLP","Ozeri Law Firm Injury & Accident Lawyers","Jacob Braude","Ajlouny Injury Law","D. Davydov Car Accident Lawyer","Cohen & Cohen Personal Injury Lawyers, P.C.","Hughes Mathews Legal Group","Frekhtman & Associates Attorneys at Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Oliveri & Schwartz P.C., Injury & Accident Attorneys",
"20+","40.61765839147536","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.61765839147536,40.61765839147536","Sullivan & Galleshaw, LLP","Mark Chalfin, Attorney At Law","Frekhtman & Associates","Koenigsberg & Associates Law Offices","Jacoby & Meyers, LLP","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","The Rybak Firm, PLLC","Personal Injury Lawyer - Tanya Gendelman, P.C.","Anthony A. Ferrante, Attorney at Law","Ajlouny Injury Law","D. Davydov Car Accident Lawyer","Michael J. Gaffney, Attorney at Law","Ozeri Law Firm Injury & Accident Lawyers","Jacob Braude","Hughes Mathews Legal Group","D. Davydov Car Accident Lawyer","Cohen & Cohen Personal Injury Lawyers, P.C.","Frekhtman & Associates Attorneys at Law","Oliveri & Schwartz P.C., Injury & Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.63831117318029","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.63831117318029,40.63831117318029","Frekhtman & Associates","Mark Chalfin, Attorney At Law","Koenigsberg & Associates Law Offices","Ajlouny Injury Law","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","The Rybak Firm, PLLC","Ozeri Law Firm Injury & Accident Lawyers","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Frekhtman & Associates Attorneys at Law","CourtLaw Injury Lawyers","Personal Injury Lawyer - Tanya Gendelman, P.C.","The Platta Law Firm - Construction Accident Attorneys","Anthony A. Ferrante, Attorney at Law","Law Offices of David J. Hernandez & Associates","Mirman, Markovits & Landau, PC","Weinstein, Chase, Messinger & Peters","The Law Offices of Michael S. Lamonsoff, PLLC","Frekhtman & Associates","Goldstein and Bashner","Gersowitz Libo & Korek, P.C.",
"20+","40.658963954885216","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.658963954885216,40.658963954885216","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","The Platta Law Firm - Construction Accident Attorneys","Oliveri & Schwartz P.C., Injury & Accident Attorneys","CourtLaw Injury Lawyers","Frekhtman & Associates","The Law Offices of Michael S. Lamonsoff, PLLC","Gersowitz Libo & Korek, P.C.","Michael J. Redenburg, Esq. P.C.","Koenigsberg & Associates Law Offices","Law Offices of David J. Hernandez & Associates","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mirman, Markovits & Landau, PC","Weinstein, Chase, Messinger & Peters","Ozeri Law Firm Injury & Accident Lawyers","Hill & Moin LLP - Accident Attorneys","Frekhtman & Associates Attorneys at Law","Anthony A. Ferrante, Attorney at Law","Law Offices Of Denis Davydov | Car Accident Lawyer And Personal Injury Attorney","The Law Office of Richard M. Kenny",
"20+","40.67961673659014","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.67961673659014,40.67961673659014","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","CourtLaw Injury Lawyers","The Platta Law Firm - Construction Accident Attorneys","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Mirman, Markovits & Landau, PC","Kaplan Lawyers PC: Injury & Accident Lawyers","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Michael J. Redenburg, Esq. P.C.","Gersowitz Libo & Korek, P.C.","Anthony A. Ferrante, Attorney at Law","Kaplan Lawyers, PC: Injury and Accident Lawyers","Law Offices of David J. Hernandez & Associates","The Law Offices of Michael S. Lamonsoff, PLLC","D. Davydov Car Accident Lawyer","Weinstein, Chase, Messinger & Peters","Frekhtman & Associates Attorneys at Law","Hill & Moin LLP - Accident Attorneys","John M. DeProspo & Associates",
"20+","40.70026951829507","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.70026951829507,40.70026951829507","Ajlouny Injury Law","The Platta Law Firm - Construction Accident Attorneys","CourtLaw Injury Lawyers","Mirman, Markovits & Landau, PC","The Law Office of Richard M. Kenny","Mark Chalfin, Attorney At Law","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Oliveri & Schwartz P.C., Injury & Accident Attorneys","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Hill & Moin LLP - Accident Attorneys","Gersowitz Libo & Korek, P.C.","Hach & Rose, LLP","Law Offices of David J. Hernandez & Associates","David Resnick & Associates, P.C.","Silberstein, Awad & Miklos, P.C. | Manhattan Medical Malpractice & Injury Lawyers","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Kaplan Lawyers PC: Injury & Accident Lawyers","Dansker & Aspromonte Associates",
"20+","40.7209223","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.7209223,40.7209223","Ajlouny Injury Law","CourtLaw Injury Lawyers","The Platta Law Firm - Construction Accident Attorneys","The Law Office of Richard M. Kenny","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Gersowitz Libo & Korek, P.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","Michael J. Redenburg, Esq. P.C.","The Law Offices of Michael S. Lamonsoff, PLLC","Raphaelson & Levine Law Firm, P.C.","David Resnick & Associates, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Hill & Moin LLP - Accident Attorneys","Hach & Rose, LLP","Mark Chalfin, Attorney At Law","Law Offices of David J. Hernandez & Associates","Dansker & Aspromonte Associates","Kaplan Lawyers PC: Injury & Accident Lawyers",
"20+","40.74157508170492","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.74157508170492,40.74157508170492","Ajlouny Injury Law","CourtLaw Injury Lawyers","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The Law Office of Richard M. Kenny","The Platta Law Firm - Construction Accident Attorneys","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","The Perecman Firm, P.L.L.C.","Oliveri & Schwartz P.C., Injury & Accident Attorneys","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Kaplan Lawyers PC: Injury & Accident Lawyers","Raphaelson & Levine Law Firm, P.C.","Wingate, Russotti, Shapiro & Halperin, LLP","Gersowitz Libo & Korek, P.C.","Krivitzky, Springer & Feldman","Michael J. Redenburg, Esq. P.C.","Hach & Rose, LLP","The Law Offices of Michael S. Lamonsoff, PLLC","Law Offices of Jay S. Knispel Personal Injury Lawyers","Kaplan Lawyers, PC: Injury and Accident Lawyers",
"20+","40.762227863409855","-74.03463122752822","https://www.google.com/maps/search/?api=1&query=40.762227863409855,40.762227863409855","CourtLaw Injury Lawyers","The Law Office of Richard M. Kenny","The Perecman Firm, P.L.L.C.","David Resnick & Associates, P.C.","Mirman, Markovits & Landau, PC","Raphaelson & Levine Law Firm, P.C.","D. Davydov Car Accident Lawyer / Slip and Fall Attorney / Motorcycle Accident Lawyer / Construction Accident Attorney | Truck Accident Law Office","Wingate, Russotti, Shapiro & Halperin, LLP","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Oresky & Associates, pllc","The Platta Law Firm - Construction Accident Attorneys","Hach & Rose, LLP","Ajlouny Injury Law","Greenstein & Milbauer, LLP","Law Offices of Jay S. Knispel Personal Injury Lawyers","Kaplan Lawyers PC: Injury & Accident Lawyers","F&A Injury Lawyers","Law Office of William L. Teitler","Krivitzky, Springer & Feldman","The Law Offices of Darren T. Moore PC",
