"Business:","Gersowitz Libo & Korek, P.C.,111 Broadway # 1204, New York, NY 10006"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 07:32:57
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.67"
"ATRP:","19.78"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.56412952806551","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.56412952806551,40.56412952806551","The Barillari Law Firm, P.C.","The O'Connor Law Firm","Cohen & Cohen Personal Injury Lawyers, P.C.","Jonathan D'Agostino & Associates","Anthony Bisignano, Esq.","Palmisano & Goodman, P.A.","CourtLaw Injury Lawyers","Michael J. Gaffney, Attorney at Law","Beninato & Matrafajlo Law","The Bisignano Law Firm","Law Offices of Louis Grandelli, P.C.","Chelli & Bush","CourtLaw Injury Lawyers","Frekhtman & Associates","Di Giovanni & Ephraim Personal Injury Lawyers","Schreck Personal Injury Lawyers","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Jacoby & Meyers, LLP",
"20+","40.58478230977043","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.58478230977043,40.58478230977043","The Barillari Law Firm, P.C.","Cohen & Cohen Personal Injury Lawyers, P.C.","The O'Connor Law Firm","Jonathan D'Agostino & Associates","Palmisano & Goodman, P.A.","Law Offices of Louis Grandelli, P.C.","Anthony Bisignano, Esq.","Beninato & Matrafajlo Law","Michael J. Gaffney, Attorney at Law","Di Giovanni & Ephraim Personal Injury Lawyers","CourtLaw Injury Lawyers","Schreck Personal Injury Lawyers","The Bisignano Law Firm","CourtLaw Injury Lawyers","Ajlouny Injury Law","Chelli & Bush","Mark Chalfin, Attorney At Law","Frekhtman & Associates","My NJ Injury Lawyer Howard P. Lesnik, Esq.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛",
"20+","40.60543509147536","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.60543509147536,40.60543509147536","Cohen & Cohen Personal Injury Lawyers, P.C.","Beninato & Matrafajlo Law","Law Offices of Louis Grandelli, P.C.","The Barillari Law Firm, P.C.","Di Giovanni & Ephraim Personal Injury Lawyers","Jonathan D'Agostino & Associates","The O'Connor Law Firm","Michael J. Gaffney, Attorney at Law","CourtLaw","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Palmisano & Goodman, P.A.","Ajlouny Injury Law","Mark Chalfin, Attorney At Law","My NJ Injury Lawyer Howard P. Lesnik, Esq.","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Anthony Bisignano, Esq.","Frekhtman & Associates","Chelli & Bush","Mintz & Geftic, LLC",
"20+","40.62608787318029","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.62608787318029,40.62608787318029","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Cohen & Cohen Personal Injury Lawyers, P.C.","Law Offices of Louis Grandelli, P.C.","Schreck Personal Injury Lawyers","Mintz & Geftic, LLC","CourtLaw Injury Lawyers","CourtLaw","Michael J. Gaffney, Attorney at Law","Rispoli & Borneo, P.C.","The Barillari Law Firm, P.C.","Ajlouny Injury Law","Wade Suthard, P.C.","Law Offices of Jeffrey S. Charney, LLC","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","The O'Connor Law Firm","Mark Chalfin, Attorney At Law","My NJ Injury Lawyer Howard P. Lesnik, Esq.","Console and Associates P.C.","Hughes Mathews Legal Group",
"20+","40.646740654885214","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.646740654885214,40.646740654885214","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Mintz & Geftic, LLC","CourtLaw Injury Lawyers","Druckman & Hernandez","Ajlouny Injury Law","Console and Associates P.C.","My NJ Injury Lawyer Howard P. Lesnik, Esq.","Schreck Personal Injury Lawyers","Frekhtman & Associates","Rispoli & Borneo, P.C.","Goldstein & Goldstein, LLP","The Law Office of Richard M. Kenny","Macaluso & Fafinski, P.C.","The Barillari Law Firm, P.C.","Ginarte Gallardo Gonzalez Winograd L.L.P.","Mark Chalfin, Attorney At Law","Mirman, Markovits & Landau, PC","The Platta Law Firm - Construction Accident Attorneys","Oresky & Associates, pllc",
"20+","40.66739343659014","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.66739343659014,40.66739343659014","Beninato & Matrafajlo Law","Di Giovanni & Ephraim Personal Injury Lawyers","Mintz & Geftic, LLC","Schreck Personal Injury Lawyers","Hughes Mathews Legal Group","Rispoli & Borneo, P.C.","CourtLaw Injury Lawyers","CourtLaw.com","Console and Associates P.C.","Clark Law Firm, P.C.","Wade Suthard, P.C.","Cohen & Cohen Personal Injury Lawyers, P.C.","Druckman & Hernandez","CourtLaw","Michael J. Gaffney, Attorney at Law","Robert A. Solomon, P.C.","SELEM ANTONUCCI LAW","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Law Offices of Louis Grandelli, P.C.",
"20+","40.68804621829507","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.68804621829507,40.68804621829507","Beninato & Matrafajlo Law","Mintz & Geftic, LLC","Schreck Personal Injury Lawyers","Di Giovanni & Ephraim Personal Injury Lawyers","Console and Associates P.C.","CourtLaw Injury Lawyers","Goldstein & Goldstein, LLP","Hughes Mathews Legal Group","Law Office of Peter Briskin, P.C.","Law Office of Peter Briskin, P.C.","Druckman & Hernandez","Clark Law Firm, P.C.","SELEM ANTONUCCI LAW","Ajlouny Injury Law","My NJ Injury Lawyer Howard P. Lesnik, Esq.","Macaluso & Fafinski, P.C.","Goldstein and Bashner","Frekhtman & Associates","The Law Office of Richard M. Kenny","Rispoli & Borneo, P.C.",
"20+","40.708698999999996","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.708698999999996,40.708698999999996","Schreck Personal Injury Lawyers","Console and Associates P.C.","Hughes Mathews Legal Group","Beninato & Matrafajlo Law","Clark Law Firm, P.C.","Di Giovanni & Ephraim Personal Injury Lawyers","Goldstein & Goldstein, LLP","Law Office of Peter Briskin, P.C.","Robert A. Solomon, P.C.","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","Mintz & Geftic, LLC","CourtLaw Injury Lawyers","CourtLaw Injury Lawyers","Rispoli & Borneo, P.C.","SELEM ANTONUCCI LAW","Ajlouny Injury Law","Druckman & Hernandez","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","Mark Chalfin, Attorney At Law",
"20+","40.72935178170492","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.72935178170492,40.72935178170492","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","Clark Law Firm, P.C.","Hughes Mathews Legal Group","Law Office of Peter Briskin, P.C.","Robert A. Solomon, P.C.","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","CourtLaw Injury Lawyers","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","Mintz & Geftic, LLC","CourtLaw.com","Di Giovanni & Ephraim Personal Injury Lawyers","Ajlouny Injury Law","🏛 Kucher Law Group | Car Accident Lawyers | Slip and Fall Attorney | Elevator Accident Law Firm | Construction Accidents NYC 🏛","SELEM ANTONUCCI LAW","Macaluso & Fafinski, P.C.","Finkelstein & Partners, LLP",
"20+","40.75000456340985","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.75000456340985,40.75000456340985","Schreck Personal Injury Lawyers","Console and Associates P.C.","Goldstein & Goldstein, LLP","CourtLaw Injury Lawyers","Clark Law Firm, P.C.","Law Office of Peter Briskin, P.C.","Rinaldo Law Group LLC","Law Office of Peter Briskin, P.C.","Hughes Mathews Legal Group","Robert A. Solomon, P.C.","CourtLaw Injury Lawyers","Beninato & Matrafajlo Law","CourtLaw.com","Ajlouny Injury Law","Macaluso & Fafinski, P.C.","Jacoby & Meyers, LLP","Brach Eichler Injury Lawyers","Team Law","Mintz & Geftic, LLC","My NJ Injury Lawyer Howard P. Lesnik, Esq.",
"20+","40.77065734511478","-74.20238200988595","https://www.google.com/maps/search/?api=1&query=40.77065734511478,40.77065734511478","Goldstein & Goldstein, LLP","Console and Associates P.C.","Schreck Personal Injury Lawyers","CourtLaw Injury Lawyers","Law Office of Peter Briskin, P.C.","CourtLaw Injury Lawyers","Law Office of Peter Briskin, P.C.","Clark Law Firm, P.C.","Brach Eichler Injury Lawyers","Macaluso & Fafinski, P.C.","Ajlouny Injury Law","Beninato & Matrafajlo Law","The Law Office of Richard M. Kenny","Oresky & Associates, pllc","Brandon J. Broderick, Personal Injury Attorney at Law","Birkhold & Maider, LLC","The Perecman Firm, P.L.L.C.","Corradino and Papa, LLC","Law Office Of Evan W. Kohn","Mirman, Markovits & Landau, PC",
