"Business:","Reid Goodwin - Personal Injury Lawyer Richmond,4116 Fitzhugh Ave, Richmond, VA 23230"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 11:30:34
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","17.33"
"ATRP:","20.17"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"19","37.42922932806551","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.42922932806551,37.42922932806551","Marks & Harrison","Marks & Harrison","Geoff McDonald & Associates PC","Allen, Allen, Allen & Allen","Christina Pendleton & Associates","Emroch & Kilduff, LLP","Allen, Allen, Allen & Allen","Tronfeld West & Durrett","Commonwealth Accident Injury Law, PC","Burnett & Williams PC","Portner & Shure, P.A.","Corey Pollard Law","Paullin Law Firm","Commonwealth Law Group","Halperin Law Center","Meade Law Firm","Marks & Harrison","THE JOEL BIEBER FIRM","Reid Goodwin - Personal Injury Lawyer Richmond","BoobergLaw, P.C.",
"20+","37.449882109770435","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.449882109770435,37.449882109770435","Marks & Harrison","Paullin Law Firm","Burnett & Williams PC","Marks & Harrison","Geoff McDonald & Associates PC","The Jeff Brooke Team","Allen, Allen, Allen & Allen","Emroch & Kilduff, LLP","Tronfeld West & Durrett","Christina Pendleton & Associates","Allen, Allen, Allen & Allen","Halperin Law Center","Hughes Mathews Legal Group","Price Benowitz LLP","Commonwealth Accident Injury Law, PC","Portner & Shure, P.A.","Burnett & Williams, PC","Tronfeld West & Durrett","Corey Pollard Law","Schilling & Esposito PLLC",
"20+","37.47053489147536","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.47053489147536,37.47053489147536","Marks & Harrison","Burnett & Williams PC","Marks & Harrison","Paullin Law Firm","Geoff McDonald & Associates PC","Allen, Allen, Allen & Allen","Emroch & Kilduff, LLP","The Jeff Brooke Team","Christina Pendleton & Associates","Halperin Law Center","Tronfeld West & Durrett","Hughes Mathews Legal Group","Price Benowitz LLP","Portner & Shure, P.A.","Commonwealth Accident Injury Law, PC","Tronfeld West & Durrett","Burnett & Williams, PC","Corey Pollard Law","River Run Law Injury Attorneys","Schilling & Esposito PLLC",
"20+","37.49118767318029","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.49118767318029,37.49118767318029","Burnett & Williams PC","Marks & Harrison","Marks & Harrison","Geoff McDonald & Associates PC","Paullin Law Firm","Allen, Allen, Allen & Allen","Emroch & Kilduff, LLP","Christina Pendleton & Associates","Halperin Law Center","Portner & Shure, P.A.","The Jeff Brooke Team","Tronfeld West & Durrett","Hughes Mathews Legal Group","Price Benowitz LLP","Commonwealth Accident Injury Law, PC","Tronfeld West & Durrett","Burnett & Williams, PC","River Run Law Injury Attorneys","Corey Pollard Law","Schilling & Esposito PLLC",
"20+","37.51184045488522","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.51184045488522,37.51184045488522","Burnett & Williams PC","Marks & Harrison","Geoff McDonald & Associates PC","Marks & Harrison","Paullin Law Firm","Allen, Allen, Allen & Allen","Emroch & Kilduff, LLP","Portner & Shure, P.A.","Christina Pendleton & Associates","Halperin Law Center","Tronfeld West & Durrett","River Run Law Injury Attorneys","Tronfeld West & Durrett","Hughes Mathews Legal Group","Price Benowitz LLP","Burnett & Williams, PC","The Jeff Brooke Team","Commonwealth Accident Injury Law, PC","Schilling & Esposito PLLC","Halperin Law Center",
"20+","37.53249323659014","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.53249323659014,37.53249323659014","Burnett & Williams PC","Marks & Harrison","Geoff McDonald & Associates PC","Paullin Law Firm","Marks & Harrison","Allen, Allen, Allen & Allen","Portner & Shure, P.A.","River Run Law Injury Attorneys","Emroch & Kilduff, LLP","Christina Pendleton & Associates","Halperin Law Center","Tronfeld West & Durrett","Tronfeld West & Durrett","Hughes Mathews Legal Group","Price Benowitz LLP","Burnett & Williams, PC","Halperin Law Center","Commonwealth Accident Injury Law, PC","The Jeff Brooke Team","Schilling & Esposito PLLC",
"20+","37.553146018295074","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.553146018295074,37.553146018295074","Marks & Harrison","Burnett & Williams PC","Geoff McDonald & Associates PC","River Run Law Injury Attorneys","Allen, Allen, Allen & Allen","Portner & Shure, P.A.","Marks & Harrison","Emroch & Kilduff, LLP","Paullin Law Firm","Christina Pendleton & Associates","Halperin Law Center","Tronfeld West & Durrett","Tronfeld West & Durrett","Halperin Law Center","Hughes Mathews Legal Group","Price Benowitz LLP","Burnett & Williams, PC","Commonwealth Accident Injury Law, PC","Douglas A. Lines, PC","Schilling & Esposito PLLC",
"20+","37.5737988","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.5737988,37.5737988","Marks & Harrison","River Run Law Injury Attorneys","Geoff McDonald & Associates PC","Burnett & Williams PC","Allen, Allen, Allen & Allen","Portner & Shure, P.A.","Emroch & Kilduff, LLP","Christina Pendleton & Associates","Marks & Harrison","Halperin Law Center","Halperin Law Center","Tronfeld West & Durrett","Commonwealth Accident Injury Law, PC","Douglas A. Lines, PC","Hughes Mathews Legal Group","Price Benowitz LLP","Paullin Law Firm","Burnett & Williams, PC","Tronfeld West & Durrett","Schilling & Esposito PLLC",
"20+","37.594451581704924","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.594451581704924,37.594451581704924","Marks & Harrison","River Run Law Injury Attorneys","Geoff McDonald & Associates PC","Allen, Allen, Allen & Allen","Halperin Law Center","Portner & Shure, P.A.","Emroch & Kilduff, LLP","Christina Pendleton & Associates","Burnett & Williams PC","Halperin Law Center","Tronfeld West & Durrett","Commonwealth Accident Injury Law, PC","Douglas A. Lines, PC","Hughes Mathews Legal Group","Price Benowitz LLP","Burnett & Williams, PC","Schilling & Esposito PLLC","Tronfeld West & Durrett","Paullin Law Firm","Corey Pollard Law",
"20+","37.615104363409856","-77.66750446226423","https://www.google.com/maps/search/?api=1&query=37.615104363409856,37.615104363409856","Marks & Harrison","Halperin Law Center","River Run Law Injury Attorneys","Geoff McDonald & Associates PC","Portner & Shure, P.A.","Allen, Allen, Allen & Allen","Emroch & Kilduff, LLP","Christina Pendleton & Associates","Burnett & Williams PC","Halperin Law Center","Tronfeld West & Durrett","Douglas A. Lines, PC","Commonwealth Accident Injury Law, PC","Hughes Mathews Legal Group","Price Benowitz LLP","Schilling & Esposito PLLC","Burnett & Williams, PC","Personal Injury Attorney : Broughton Injury Law","Corey Pollard Law","Tronfeld West & Durrett",
