"Business:","Craig Swapp & Associates,175 S Main St #500, Salt Lake City, UT 84111"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 10:48:37
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","3.36"
"ATRP:","3.36"
"SoLV:","69.33"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"7","40.62437222806551","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.62437222806551,40.62437222806551","Fielding Law - Accident Attorneys","Symkoviak Law Firm","The Advocates","Siegfried & Jensen","Brian Hills Law","Utah Personal Injury Lawyers","Craig Swapp & Associates","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","William R. Rawlings & Associates","William Enoch Andrews, Injury Lawyer PC","Larson Law","Handy & Handy Attorneys At Law","Lowe Law Group","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","Valiente Mott Injury Attorneys","Good Guys Legal - Christensen & Hymas",
"5","40.645025009770436","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.645025009770436,40.645025009770436","Symkoviak Law Firm","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Craig Swapp & Associates","Brian Hills Law","Utah Personal Injury Lawyers","Robert J. DeBry & Associates","William Enoch Andrews, Injury Lawyer PC","Craig Swapp & Associates","Kramer Law Group","William R. Rawlings & Associates","Handy & Handy Attorneys At Law","Larson Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Valiente Mott Injury Attorneys","Law Office of Ralph C Petty Injury Lawyers",
"5","40.66567779147536","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.66567779147536,40.66567779147536","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Brian Hills Law","Utah Personal Injury Lawyers","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","Lowe Law Group","William R. Rawlings & Associates","Handy & Handy Attorneys At Law","Larson Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","801-INJURED","Good Guys Legal - Christensen & Hymas",
"5","40.68633057318029","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.68633057318029,40.68633057318029","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Brian Hills Law","Robert J. DeBry & Associates","William Enoch Andrews, Injury Lawyer PC","Utah Personal Injury Lawyers","Kramer Law Group","Craig Swapp & Associates","Lowe Law Group","Handy & Handy Attorneys At Law","William R. Rawlings & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Larson Law","801-INJURED","Ipson Law Firm","Valiente Mott Injury Attorneys",
"4","40.70698335488522","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.70698335488522,40.70698335488522","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","Craig Swapp & Associates","The Advocates","Brian Hills Law","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Utah Personal Injury Lawyers","Lowe Law Group","Craig Swapp & Associates","Handy & Handy Attorneys At Law","Kramer Law Group","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William R. Rawlings & Associates","801-INJURED","Larson Law","Ipson Law Firm","Good Guys Legal - Christensen & Hymas",
"3","40.72763613659014","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.72763613659014,40.72763613659014","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Brian Hills Law","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Utah Personal Injury Lawyers","Lowe Law Group","Craig Swapp & Associates","Kramer Law Group","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","801-INJURED","William R. Rawlings & Associates","Ipson Law Firm","Larson Law","Good Guys Legal - Christensen & Hymas",
"3","40.748288918295074","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.748288918295074,40.748288918295074","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Utah Personal Injury Lawyers","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Craig Swapp & Associates","801-INJURED","Kramer Law Group","William R. Rawlings & Associates","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Law Office of Ralph C Petty Injury Lawyers",
"2","40.7689417","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.7689417,40.7689417","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Symkoviak Law Firm","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Utah Personal Injury Lawyers","801-INJURED","Craig Swapp & Associates","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Kramer Law Group","Ipson Law Firm","William R. Rawlings & Associates",
"2","40.789594481704924","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.789594481704924,40.789594481704924","Fielding Law - Accident Attorneys","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","Symkoviak Law Firm","Siegfried & Jensen","The Advocates","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Good Guys Legal - Christensen & Hymas","Lowe Law Group","Symkoviak Law Firm","801-INJURED","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Utah Personal Injury Lawyers","Craig Swapp & Associates","Ipson Law Firm","Kramer Law Group","William R. Rawlings & Associates",
"1","40.810247263409856","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.810247263409856,40.810247263409856","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Symkoviak Law Firm","Lowe Law Group","801-INJURED","Good Guys Legal - Christensen & Hymas","Utah Personal Injury Lawyers","Craig Swapp & Associates","Ipson Law Firm","Feller & Wendt, LLC","G & R Injury Lawyers",
"1","40.83090004511478","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.83090004511478,40.83090004511478","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","Brian Hills Law","801-INJURED","Symkoviak Law Firm","Lowe Law Group","Feller & Wendt, LLC","Utah Personal Injury Lawyers","Craig Swapp & Associates","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson",
"1","40.851552826819706","-112.07798370354155","https://www.google.com/maps/search/?api=1&query=40.851552826819706,40.851552826819706","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","801-INJURED","Brian Hills Law","Symkoviak Law Firm","Feller & Wendt, LLC","Lowe Law Group","Utah Personal Injury Lawyers","Craig Swapp & Associates","G & R Injury Lawyers","Peter W. Summerill",
