"Business:","Good Guys Legal - Christensen & Hymas,32 200 W, Salt Lake City, UT 84101"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 10:51:55
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","10.26"
"ATRP:","12.32"
"SoLV:","7.11"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20","40.62085352806551","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.62085352806551,40.62085352806551","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Brian Hills Law","Utah Personal Injury Lawyers","Craig Swapp & Associates","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","William R. Rawlings & Associates","William Enoch Andrews, Injury Lawyer PC","Larson Law","Lowe Law Group","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Valiente Mott Injury Attorneys","Ipson Law Firm","Good Guys Legal - Christensen & Hymas",
"17","40.641506309770435","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.641506309770435,40.641506309770435","Symkoviak Law Firm","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Brian Hills Law","Craig Swapp & Associates","Utah Personal Injury Lawyers","Robert J. DeBry & Associates","William Enoch Andrews, Injury Lawyer PC","Craig Swapp & Associates","Kramer Law Group","William R. Rawlings & Associates","Larson Law","Lowe Law Group","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","Valiente Mott Injury Attorneys",
"17","40.66215909147536","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.66215909147536,40.66215909147536","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Brian Hills Law","Craig Swapp & Associates","Utah Personal Injury Lawyers","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","William R. Rawlings & Associates","Lowe Law Group","Handy & Handy Attorneys At Law","Larson Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","801-INJURED","Good Guys Legal - Christensen & Hymas",
"16","40.68281187318029","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.68281187318029,40.68281187318029","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Brian Hills Law","Robert J. DeBry & Associates","William Enoch Andrews, Injury Lawyer PC","Utah Personal Injury Lawyers","Kramer Law Group","Craig Swapp & Associates","Lowe Law Group","Handy & Handy Attorneys At Law","William R. Rawlings & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Larson Law","801-INJURED","Ipson Law Firm","Valiente Mott Injury Attorneys",
"20+","40.70346465488522","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.70346465488522,40.70346465488522","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Robert J. DeBry & Associates","Brian Hills Law","Craig Swapp & Associates","Handy & Handy Attorneys At Law","Kramer Law Group","Lowe Law Group","William R. Rawlings & Associates","William Enoch Andrews, Injury Lawyer PC","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Eisenberg, Cutt, Kendell & Olson","TJ Auto Law","Lance Andrew, P.C.","Larson Law","Robert J. DeBry & Associates",
"15","40.72411743659014","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.72411743659014,40.72411743659014","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Brian Hills Law","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Utah Personal Injury Lawyers","Lowe Law Group","Craig Swapp & Associates","Kramer Law Group","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William R. Rawlings & Associates","801-INJURED","Ipson Law Firm","Larson Law","Valiente Mott Injury Attorneys",
"12","40.74477021829507","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.74477021829507,40.74477021829507","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Utah Personal Injury Lawyers","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Craig Swapp & Associates","Kramer Law Group","801-INJURED","William R. Rawlings & Associates","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Law Office of Ralph C Petty Injury Lawyers",
"11","40.765423","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.765423,40.765423","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Symkoviak Law Firm","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Utah Personal Injury Lawyers","801-INJURED","Craig Swapp & Associates","Kramer Law Group","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","William R. Rawlings & Associates","Ipson Law Firm",
"11","40.78607578170492","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.78607578170492,40.78607578170492","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Symkoviak Law Firm","William Enoch Andrews, Injury Lawyer PC","Siegfried & Jensen","The Advocates","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","801-INJURED","Utah Personal Injury Lawyers","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Craig Swapp & Associates","Ipson Law Firm","Kramer Law Group","William R. Rawlings & Associates",
"10","40.806728563409855","-112.08306369646851","https://www.google.com/maps/search/?api=1&query=40.806728563409855,40.806728563409855","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Symkoviak Law Firm","Lowe Law Group","801-INJURED","Good Guys Legal - Christensen & Hymas","Utah Personal Injury Lawyers","Craig Swapp & Associates","Feller & Wendt, LLC","Kramer Law Group","G & R Injury Lawyers",
